Problem,M,D,REMO,SSDE,PCSAEA,SAMOEATL2M,CSEA,HES_EA,REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,BestAlg,cnt_REMO,cnt_SSDE,cnt_PC-SAEA,cnt_SAMOEA-TL2M,cnt_CSEA,cnt_HES-EA
DTLZ1,10,30,1.4606e+2 (2.18e+1) =,3.0211e+2 (2.10e+1) -,3.3949e+2 (3.24e+1) -,2.9795e+2 (4.89e+1) -,1.5222e+2 (1.85e+1) =,2.5062e+2 (3.26e+1) -,1.2916e+2 (3.19e+1),PACDIS,1/9/6,0/14/2,0/16/0,2/13/1,0/10/6,6/7/3
DTLZ2,10,30,7.4097e-1 (6.69e-2) =,1.9617e+0 (1.80e-1) -,1.3459e+0 (8.04e-2) -,7.2735e-1 (2.82e-2) -,8.5732e-1 (1.02e-1) -,7.3168e-1 (9.40e-2) =,6.8238e-1 (6.34e-2),PACDIS,1/9/6,0/14/2,0/16/0,2/13/1,0/10/6,6/7/3
DTLZ3,10,30,5.4413e+2 (8.53e+1) =,1.2248e+3 (1.45e+2) -,1.2994e+3 (9.87e+1) -,1.1773e+3 (9.94e+1) -,5.3806e+2 (1.14e+2) =,1.1503e+3 (8.14e+1) -,5.6803e+2 (1.14e+2),CSEA,1/9/6,0/14/2,0/16/0,2/13/1,0/10/6,6/7/3
DTLZ4,10,30,6.3066e-1 (5.54e-2) =,1.5922e+0 (1.55e-1) -,1.4222e+0 (7.87e-2) -,9.1688e-1 (2.96e-2) -,7.0850e-1 (9.85e-2) -,9.7286e-1 (1.69e-1) -,5.9364e-1 (1.05e-1),PACDIS,1/9/6,0/14/2,0/16/0,2/13/1,0/10/6,6/7/3
DTLZ5,10,30,4.1997e-1 (6.49e-2) =,1.4271e+0 (1.48e-1) -,9.5414e-1 (7.96e-2) -,2.6392e-1 (4.58e-2) +,4.5372e-1 (1.05e-1) =,2.1598e-1 (4.60e-2) +,4.0483e-1 (6.77e-2),HES-EA,1/9/6,0/14/2,0/16/0,2/13/1,0/10/6,6/7/3
DTLZ6,10,30,1.5421e+1 (1.09e+0) -,1.4437e+1 (8.30e-1) =,1.7453e+1 (3.22e-1) -,1.7945e+1 (1.47e-1) -,1.4145e+1 (1.26e+0) =,1.5606e+1 (1.20e+0) -,1.3343e+1 (1.19e+0),PACDIS,1/9/6,0/14/2,0/16/0,2/13/1,0/10/6,6/7/3
DTLZ7,10,30,1.0321e+1 (1.17e+0) -,2.2578e+1 (3.68e+0) -,2.7157e+1 (1.53e+0) -,2.8545e+1 (1.03e+0) -,1.8062e+1 (3.69e+0) -,1.3562e+0 (6.92e-2) +,7.5574e+0 (7.97e-1),HES-EA,1/9/6,0/14/2,0/16/0,2/13/1,0/10/6,6/7/3
WFG1,10,30,2.7953e+0 (9.53e-2) =,3.2178e+0 (4.78e-2) -,3.1136e+0 (2.05e-2) -,3.1279e+0 (3.62e-2) -,2.8408e+0 (1.21e-1) =,2.9795e+0 (3.33e-2) -,2.7974e+0 (5.76e-2),REMO,1/9/6,0/14/2,0/16/0,2/13/1,0/10/6,6/7/3
WFG2,10,31,2.4748e+0 (9.35e-1) -,2.6962e+0 (4.02e-1) -,3.0611e+0 (4.88e-1) -,2.8814e+0 (8.80e-1) -,3.0477e+0 (1.32e+0) -,1.6643e+0 (3.87e-1) =,1.5715e+0 (1.02e+0),PACDIS,1/9/6,0/14/2,0/16/0,2/13/1,0/10/6,6/7/3
WFG3,10,31,1.2363e+0 (1.51e-1) +,1.8145e+0 (1.67e-1) -,1.6180e+0 (1.52e-2) -,8.9377e-1 (7.19e-2) +,1.4098e+0 (1.15e-1) =,1.6379e+0 (3.05e-2) -,1.4011e+0 (1.44e-1),SAMOEA-TL2M,1/9/6,0/14/2,0/16/0,2/13/1,0/10/6,6/7/3
WFG4,10,30,6.9663e+0 (7.88e-1) -,3.5409e+0 (7.36e-1) =,7.6626e+0 (3.15e-1) -,8.2332e+0 (4.01e-1) -,7.2816e+0 (9.78e-1) -,3.8945e+0 (1.62e+0) =,3.7742e+0 (7.70e-1),SSDE,1/9/6,0/14/2,0/16/0,2/13/1,0/10/6,6/7/3
WFG5,10,30,5.7040e+0 (5.32e-1) -,5.4889e+0 (3.80e-1) -,5.7314e+0 (3.30e-1) -,5.8930e+0 (3.46e-1) -,5.9850e+0 (4.08e-1) -,3.3166e+0 (4.99e-1) +,4.0381e+0 (6.51e-1),HES-EA,1/9/6,0/14/2,0/16/0,2/13/1,0/10/6,6/7/3
WFG6,10,30,5.2293e+0 (6.38e-1) -,5.1656e+0 (4.99e-1) -,6.3237e+0 (2.18e-1) -,6.7134e+0 (3.67e-1) -,6.4654e+0 (3.50e-1) -,2.4041e+0 (1.81e-1) +,2.8271e+0 (2.59e-1),HES-EA,1/9/6,0/14/2,0/16/0,2/13/1,0/10/6,6/7/3
