Problem,M,D,SSDE,PCSAEA,SAMOEATL2M,CSEA,HES_EA,REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,BestAlg,cnt_SSDE,cnt_PC-SAEA,cnt_SAMOEA-TL2M,cnt_CSEA,cnt_HES-EA
DTLZ1,15,30,1.9178e+2 (2.87e+1) -,2.5142e+2 (2.46e+1) -,2.1516e+2 (3.60e+1) -,8.4399e+1 (8.97e+0) =,1.7335e+2 (2.78e+1) -,8.6131e+1 (2.09e+1),CSEA,0/15/1,1/15/0,1/13/2,1/9/6,4/7/5
DTLZ2,15,30,1.7094e+0 (1.88e-1) -,1.3889e+0 (3.73e-2) -,1.0480e+0 (1.53e-2) =,1.0896e+0 (5.76e-2) -,9.1655e-1 (5.01e-2) =,9.7274e-1 (8.20e-2),HES-EA,0/15/1,1/15/0,1/13/2,1/9/6,4/7/5
DTLZ3,15,30,8.5434e+2 (9.03e+1) -,8.9081e+2 (9.45e+1) -,8.2898e+2 (6.35e+1) -,3.3123e+2 (5.61e+1) =,6.5950e+2 (1.13e+2) -,3.4347e+2 (3.94e+1),CSEA,0/15/1,1/15/0,1/13/2,1/9/6,4/7/5
DTLZ4,15,30,1.6282e+0 (8.44e-2) -,1.4141e+0 (4.16e-2) -,1.3209e+0 (5.78e-2) -,1.0137e+0 (4.90e-2) =,1.1339e+0 (7.80e-2) -,9.6862e-1 (6.44e-2),PACDIS,0/15/1,1/15/0,1/13/2,1/9/6,4/7/5
DTLZ5,15,30,9.8673e-1 (1.08e-1) -,6.7122e-1 (6.04e-2) -,3.1124e-1 (8.71e-2) =,3.7094e-1 (1.01e-1) =,1.9354e-1 (4.94e-2) +,3.1423e-1 (4.75e-2),HES-EA,0/15/1,1/15/0,1/13/2,1/9/6,4/7/5
DTLZ6,15,30,1.1133e+1 (8.46e-1) -,1.3067e+1 (3.43e-1) -,1.3626e+1 (9.71e-2) -,1.0284e+1 (1.82e+0) =,1.1880e+1 (7.04e-1) -,9.1131e+0 (1.10e+0),PACDIS,0/15/1,1/15/0,1/13/2,1/9/6,4/7/5
DTLZ7,15,30,3.0112e+1 (8.26e+0) -,3.8199e+1 (7.37e+0) -,3.8453e+1 (6.22e+0) -,3.2968e+1 (4.12e+0) -,1.9625e+0 (7.94e-2) +,1.3380e+1 (1.34e+0),HES-EA,0/15/1,1/15/0,1/13/2,1/9/6,4/7/5
WFG1,15,30,4.4635e+0 (6.59e-2) -,4.2367e+0 (2.88e-2) -,4.2759e+0 (3.58e-2) -,4.0591e+0 (1.05e-1) =,4.1922e+0 (3.57e-2) -,4.0037e+0 (7.66e-2),PACDIS,0/15/1,1/15/0,1/13/2,1/9/6,4/7/5
WFG2,15,30,4.4156e+0 (5.35e-1) -,5.8070e+0 (7.81e-1) -,6.0761e+0 (7.81e-1) -,5.7863e+0 (1.65e+0) -,2.9652e+0 (2.89e-1) =,2.9478e+0 (1.10e+0),PACDIS,0/15/1,1/15/0,1/13/2,1/9/6,4/7/5
WFG3,15,30,2.3869e+0 (1.91e-1) -,2.0582e+0 (3.63e-2) +,1.2851e+0 (1.44e-1) +,1.6965e+0 (1.75e-1) +,2.0952e+0 (3.95e-2) +,2.1828e+0 (8.87e-2),SAMOEA-TL2M,0/15/1,1/15/0,1/13/2,1/9/6,4/7/5
WFG4,15,30,1.1774e+1 (8.50e-1) =,1.6675e+1 (7.16e-1) -,1.7877e+1 (7.73e-1) -,1.7591e+1 (1.32e+0) -,1.2947e+1 (7.35e-1) -,1.1712e+1 (8.95e-1),PACDIS,0/15/1,1/15/0,1/13/2,1/9/6,4/7/5
WFG5,15,30,1.2933e+1 (5.62e-1) -,1.3390e+1 (4.56e-1) -,1.3641e+1 (7.74e-1) -,1.5163e+1 (6.18e-1) -,9.9916e+0 (4.36e-1) +,1.0758e+1 (7.43e-1),HES-EA,0/15/1,1/15/0,1/13/2,1/9/6,4/7/5
WFG6,15,30,1.2364e+1 (1.09e+0) -,1.3852e+1 (4.22e-1) -,1.4643e+1 (4.94e-1) -,1.5024e+1 (1.13e+0) -,9.5962e+0 (7.06e-1) =,9.3381e+0 (5.40e-1),PACDIS,0/15/1,1/15/0,1/13/2,1/9/6,4/7/5
WFG7,15,30,1.3299e+1 (7.96e-1) -,1.4590e+1 (3.00e-1) -,1.5501e+1 (5.90e-1) -,1.6176e+1 (1.22e+0) -,1.2736e+1 (5.11e-1) -,9.5325e+0 (6.72e-1),PACDIS,0/15/1,1/15/0,1/13/2,1/9/6,4/7/5
WFG8,15,30,1.2466e+1 (8.67e-1) -,1.3943e+1 (4.63e-1) -,1.4958e+1 (3.08e-1) -,1.6030e+1 (9.12e-1) -,9.7719e+0 (6.43e-1) =,1.0443e+1 (8.45e-1),HES-EA,0/15/1,1/15/0,1/13/2,1/9/6,4/7/5
WFG9,15,30,1.4147e+1 (7.98e-1) -,1.4156e+1 (2.97e-1) -,1.3124e+1 (1.20e+0) -,1.6177e+1 (5.48e-1) -,1.0820e+1 (7.91e-1) =,1.1849e+1 (1.14e+0),HES-EA,0/15/1,1/15/0,1/13/2,1/9/6,4/7/5
