Problem,mean,std,symbol,txt
DTLZ1,3.1726244264e+02,4.5008512255e+01,-,3.1726e+2 (4.50e+1)
DTLZ2,7.7945834530e-01,5.3766539278e-02,+,7.7946e-1 (5.38e-2)
DTLZ3,1.1532239864e+03,1.3064658905e+02,-,1.1532e+3 (1.31e+2)
DTLZ4,9.8073812056e-01,9.6423452696e-02,-,9.8074e-1 (9.64e-2)
DTLZ5,4.0432942433e-01,7.8029750223e-02,+,4.0433e-1 (7.80e-2)
DTLZ6,1.7050543136e+01,1.0522346577e+00,-,1.7051e+1 (1.05e+0)
DTLZ7,2.7692523253e+01,3.8320057901e+00,-,2.7693e+1 (3.83e+0)
WFG1,3.1619703580e+00,4.0237692882e-02,-,3.1620e+0 (4.02e-2)
WFG2,3.2253317759e+00,6.9421234750e-01,-,3.2253e+0 (6.94e-1)
WFG3,9.7819397921e-01,1.3172445615e-01,+,9.7819e-1 (1.32e-1)
WFG4,8.5018329238e+00,7.7645673664e-01,-,8.5018e+0 (7.76e-1)
WFG5,5.7245542045e+00,5.6838773271e-01,-,5.7246e+0 (5.68e-1)
WFG6,6.8665419266e+00,4.4438588350e-01,-,6.8665e+0 (4.44e-1)
WFG7,7.2411696364e+00,5.4299938556e-01,-,7.2412e+0 (5.43e-1)
WFG8,7.1182021824e+00,4.9308212131e-01,-,7.1182e+0 (4.93e-1)
WFG9,5.4987132104e+00,1.1055503652e+00,=,5.4987e+0 (1.11e+0)
