algorithm,problem,n,mean,sd,median,min,max,FE_min,FE_max,overshoot_runs,metadata_runs,run_ids
Lambdat030,DTLZ2,10,1.142419372598361,0.10180307249338696,1.1481452188176975,0.992662307205201,1.3307494853695812,300.0,300.0,0,10,"19,20,21,22,23,24,25,26,27,28"
Lambdat030,DTLZ4,10,1.1960947540081084,0.11314185846524445,1.2119280983647298,0.994869449617953,1.3933364656359444,300.0,300.0,0,10,"19,20,21,22,23,24,25,26,27,28"
Lambdat030,DTLZ5,10,0.7090299835814224,0.09703585994299735,0.6792975581818941,0.5535999261306948,0.8529802799407751,300.0,300.0,0,10,"19,20,21,22,23,24,25,26,27,28"
Lambdat030,DTLZ7,10,10.271725049513112,1.393180584663908,9.819793942794957,8.226606487657346,12.287818441305696,300.0,300.0,0,10,"19,20,21,22,23,24,25,26,27,28"
Lambda020,DTLZ2,10,1.16952979561384,0.09130150902410872,1.1742466904484652,0.9968003067985689,1.2963980371457595,300.0,300.0,0,10,"19,20,21,22,23,24,25,26,27,28"
Lambda020,DTLZ4,10,1.2532206317648096,0.08380375660379025,1.2654438535552903,1.071355622800806,1.3427361147991341,300.0,300.0,0,10,"19,20,21,22,23,24,25,26,27,28"
Lambda020,DTLZ5,10,0.7386160231822414,0.1062673575681627,0.7376490209571629,0.5079858626999786,0.8956853388728642,300.0,300.0,0,10,"19,20,21,22,23,24,25,26,27,28"
Lambda020,DTLZ7,10,8.789936300881603,2.185686379213642,7.8377789785390926,6.618511419336216,12.826613445396932,300.0,300.0,0,10,"19,20,21,22,23,24,25,26,27,28"
Weighted,DTLZ2,30,1.194494427706754,0.09999650178331827,1.2027461122723218,1.0170573430281629,1.3806175875794877,300.0,300.0,0,12,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
Weighted,DTLZ4,30,1.3062508358362943,0.11575717291365918,1.289146066035188,1.1130136937632231,1.5049322051286578,300.0,300.0,0,12,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
Weighted,DTLZ5,30,0.801508608408058,0.11538587520629968,0.7928098621273196,0.6030329122710492,1.02003346617305,300.0,300.0,0,12,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
Weighted,DTLZ7,30,8.727375847794601,1.2502012240416773,8.390038600988353,6.592670083072615,11.22488509558357,300.0,300.0,0,12,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
Original,DTLZ2,18,1.094627221548273,0.08879662358653115,1.1083318517528,0.9620373702031966,1.2874821337266995,300.0,300.0,0,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
Original,DTLZ4,18,1.1814016383622314,0.11240769011193652,1.1962975327248315,1.017318584820738,1.3647876506626717,300.0,300.0,0,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
