algorithm,problem,FE_checkpoint,n,mean_IGD,sd_IGD
Lambdat030,DTLZ2,120,10,1.5877586768544854,0.08864574462038825
Lambdat030,DTLZ2,150,10,1.4259493849196807,0.07245723936992424
Lambdat030,DTLZ2,200,10,1.2910462953660249,0.11387892882634651
Lambdat030,DTLZ2,250,10,1.2024727260182824,0.09556939852786732
Lambdat030,DTLZ2,300,10,1.142419372598361,0.10180307249338696
Lambdat030,DTLZ4,120,10,1.7066850275267533,0.12462324543583865
Lambdat030,DTLZ4,150,10,1.5511360954049995,0.1093879055510111
Lambdat030,DTLZ4,200,10,1.402027815269237,0.1013157590299256
Lambdat030,DTLZ4,250,10,1.294139648467365,0.10104002135636025
Lambdat030,DTLZ4,300,10,1.1960947540081084,0.11314185846524445
Lambdat030,DTLZ5,120,10,0.9788664396955558,0.09301685010287586
Lambdat030,DTLZ5,150,10,0.9322483051437007,0.1081749388693661
Lambdat030,DTLZ5,200,10,0.8619646552459539,0.10825755882164208
Lambdat030,DTLZ5,250,10,0.7567733602447838,0.10370098096258483
Lambdat030,DTLZ5,300,10,0.7090299835814224,0.09703585994299735
Lambdat030,DTLZ7,120,10,28.202329088219084,1.438853257116142
Lambdat030,DTLZ7,150,10,22.922787112508434,2.533490867106999
Lambdat030,DTLZ7,200,10,16.543437933929578,1.8607406010766567
Lambdat030,DTLZ7,250,10,12.298828228245684,1.6815595152823561
Lambdat030,DTLZ7,300,10,10.271725049513112,1.393180584663908
Lambda020,DTLZ2,120,10,1.5901556960154313,0.09542864264116824
Lambda020,DTLZ2,150,10,1.4941990154391473,0.09975674869152848
Lambda020,DTLZ2,200,10,1.3199609471816978,0.06889546829319873
Lambda020,DTLZ2,250,10,1.2449526964327808,0.08406105370186877
Lambda020,DTLZ2,300,10,1.16952979561384,0.09130150902410872
Lambda020,DTLZ4,120,10,1.7830741707136475,0.07437633111386484
Lambda020,DTLZ4,150,10,1.6245843116924235,0.08747447725282965
Lambda020,DTLZ4,200,10,1.4695516023811854,0.048689305595419764
Lambda020,DTLZ4,250,10,1.3346364556476664,0.05960983796497914
Lambda020,DTLZ4,300,10,1.2532206317648096,0.08380375660379025
Lambda020,DTLZ5,120,10,1.0034342668336074,0.08538288802035192
Lambda020,DTLZ5,150,10,0.9655002968732246,0.0890165806922894
Lambda020,DTLZ5,200,10,0.8926821581691108,0.07610710962848145
Lambda020,DTLZ5,250,10,0.8239670702387587,0.11891197637916485
Lambda020,DTLZ5,300,10,0.7386160231822414,0.1062673575681627
Lambda020,DTLZ7,120,10,27.274289063326744,2.6339500946262944
Lambda020,DTLZ7,150,10,21.720948115083104,2.6836941189220758
Lambda020,DTLZ7,200,10,14.906849101552165,1.995759081379059
Lambda020,DTLZ7,250,10,11.131425123985656,2.056350440262433
Lambda020,DTLZ7,300,10,8.789936300881603,2.185686379213642
Weighted,DTLZ2,120,30,1.5773267158132067,0.07694513868784685
