run_global,problem,M,D,N,maxFE,final_FE,total_gen,skip_gen,eval_gen,rel_conservative_cnt,rel_curriculum_cnt,rel_weighted_cnt,rel_conservative_ratio,rel_curriculum_ratio,rel_weighted_ratio,cand_conservative_cnt,cand_explore_cnt,cand_indicator_cnt,cand_conservative_ratio,cand_explore_ratio,cand_indicator_ratio
1,DTLZ1,10,30,100,300,300,34,0,34,28,1,5,0.823529411764706,0.0294117647058824,0.147058823529412,0,34,0,0,1,0
2,DTLZ1,10,30,100,300,300,34,0,34,31,1,2,0.911764705882353,0.0294117647058824,0.0588235294117647,0,34,0,0,1,0
3,DTLZ1,10,30,100,300,300,34,0,34,25,1,8,0.735294117647059,0.0294117647058824,0.235294117647059,0,34,0,0,1,0
4,DTLZ1,20,30,100,300,300,34,0,34,23,3,8,0.676470588235294,0.0882352941176471,0.235294117647059,2,8,24,0.0588235294117647,0.235294117647059,0.705882352941177
5,DTLZ1,20,30,100,300,300,34,0,34,19,3,12,0.558823529411765,0.0882352941176471,0.352941176470588,2,0,32,0.0588235294117647,0,0.941176470588235
6,DTLZ1,20,30,100,300,300,34,0,34,31,2,1,0.911764705882353,0.0588235294117647,0.0294117647058824,1,0,33,0.0294117647058824,0,0.970588235294118
7,DTLZ2,10,30,100,300,300,34,0,34,31,1,2,0.911764705882353,0.0294117647058824,0.0588235294117647,0,34,0,0,1,0
8,DTLZ2,10,30,100,300,300,34,0,34,29,1,4,0.852941176470588,0.0294117647058824,0.117647058823529,0,34,0,0,1,0
9,DTLZ2,10,30,100,300,300,34,0,34,30,1,3,0.882352941176471,0.0294117647058824,0.0882352941176471,0,34,0,0,1,0
10,DTLZ2,20,30,100,300,300,34,0,34,31,1,2,0.911764705882353,0.0294117647058824,0.0588235294117647,0,0,34,0,0,1
11,DTLZ2,20,30,100,300,300,34,0,34,33,1,0,0.970588235294118,0.0294117647058824,0,0,0,34,0,0,1
12,DTLZ2,20,30,100,300,300,34,0,34,27,1,6,0.794117647058823,0.0294117647058824,0.176470588235294,0,0,34,0,0,1
13,DTLZ4,10,30,100,300,300,34,0,34,18,1,15,0.529411764705882,0.0294117647058824,0.441176470588235,0,34,0,0,1,0
14,DTLZ4,10,30,100,300,300,34,0,34,26,1,7,0.764705882352941,0.0294117647058824,0.205882352941176,0,34,0,0,1,0
15,DTLZ4,10,30,100,300,300,34,0,34,22,1,11,0.647058823529412,0.0294117647058824,0.323529411764706,0,34,0,0,1,0
16,DTLZ4,20,30,100,300,300,34,0,34,32,1,1,0.941176470588235,0.0294117647058824,0.0294117647058824,0,34,0,0,1,0
17,DTLZ4,20,30,100,300,300,34,0,34,32,2,0,0.941176470588235,0.0588235294117647,0,1,33,0,0.0294117647058824,0.970588235294118,0
18,DTLZ4,20,30,100,300,300,34,0,34,33,1,0,0.970588235294118,0.0294117647058824,0,0,34,0,0,1,0
19,DTLZ7,10,30,100,300,300,34,0,34,11,1,22,0.323529411764706,0.0294117647058824,0.647058823529412,0,34,0,0,1,0
20,DTLZ7,10,30,100,300,300,34,0,34,10,1,23,0.294117647058824,0.0294117647058824,0.676470588235294,0,34,0,0,1,0
21,DTLZ7,10,30,100,300,300,34,0,34,11,1,22,0.323529411764706,0.0294117647058824,0.647058823529412,0,34,0,0,1,0
22,DTLZ7,20,30,100,300,300,34,0,34,33,1,0,0.970588235294118,0.0294117647058824,0,0,34,0,0,1,0
23,DTLZ7,20,30,100,300,300,34,0,34,3,1,30,0.0882352941176471,0.0294117647058824,0.882352941176471,0,34,0,0,1,0
