run_global,problem,M,D,N,maxFE,final_FE,total_gen,skip_gen,eval_gen,rel_conservative_cnt,rel_curriculum_cnt,rel_weighted_cnt,rel_conservative_ratio,rel_curriculum_ratio,rel_weighted_ratio,cand_conservative_cnt,cand_explore_cnt,cand_indicator_cnt,cand_conservative_ratio,cand_explore_ratio,cand_indicator_ratio
1,DTLZ1,10,30,100,300,300,34,0,34,10,3,21,0.294117647058824,0.0882352941176471,0.617647058823529,2,32,0,0.0588235294117647,0.941176470588235,0
2,DTLZ1,10,30,100,300,300,34,0,34,22,3,9,0.647058823529412,0.0882352941176471,0.264705882352941,2,32,0,0.0588235294117647,0.941176470588235,0
3,DTLZ1,10,30,100,300,300,35,0,35,3,6,26,0.0857142857142857,0.171428571428571,0.742857142857143,5,30,0,0.142857142857143,0.857142857142857,0
4,DTLZ1,10,30,100,300,300,34,0,34,32,1,1,0.941176470588235,0.0294117647058824,0.0294117647058824,0,34,0,0,1,0
5,DTLZ1,10,30,100,300,300,34,0,34,23,2,9,0.676470588235294,0.0588235294117647,0.264705882352941,1,33,0,0.0294117647058824,0.970588235294118,0
6,DTLZ1,10,30,100,300,300,35,0,35,14,5,16,0.4,0.142857142857143,0.457142857142857,4,31,0,0.114285714285714,0.885714285714286,0
7,DTLZ1,10,30,100,300,300,35,0,35,9,4,22,0.257142857142857,0.114285714285714,0.628571428571429,3,32,0,0.0857142857142857,0.914285714285714,0
8,DTLZ1,10,30,100,300,300,34,0,34,23,3,8,0.676470588235294,0.0882352941176471,0.235294117647059,2,32,0,0.0588235294117647,0.941176470588235,0
9,DTLZ1,10,30,100,300,300,35,0,35,5,4,26,0.142857142857143,0.114285714285714,0.742857142857143,3,32,0,0.0857142857142857,0.914285714285714,0
10,DTLZ1,10,30,100,300,300,34,0,34,14,2,18,0.411764705882353,0.0588235294117647,0.529411764705882,1,33,0,0.0294117647058824,0.970588235294118,0
11,DTLZ1,20,30,100,300,300,35,0,35,21,6,8,0.6,0.171428571428571,0.228571428571429,5,0,30,0.142857142857143,0,0.857142857142857
12,DTLZ1,20,30,100,300,300,35,0,35,14,5,16,0.4,0.142857142857143,0.457142857142857,4,0,31,0.114285714285714,0,0.885714285714286
13,DTLZ1,20,30,100,300,300,34,0,34,29,2,3,0.852941176470588,0.0588235294117647,0.0882352941176471,1,0,33,0.0294117647058824,0,0.970588235294118
14,DTLZ1,20,30,100,300,300,34,0,34,32,1,1,0.941176470588235,0.0294117647058824,0.0294117647058824,0,0,34,0,0,1
15,DTLZ1,20,30,100,300,300,34,0,34,22,2,10,0.647058823529412,0.0588235294117647,0.294117647058824,1,0,33,0.0294117647058824,0,0.970588235294118
16,DTLZ1,20,30,100,300,300,34,0,34,33,1,0,0.970588235294118,0.0294117647058824,0,0,0,34,0,0,1
17,DTLZ1,20,30,100,300,300,34,0,34,32,1,1,0.941176470588235,0.0294117647058824,0.0294117647058824,0,0,34,0,0,1
18,DTLZ1,20,30,100,300,300,34,0,34,33,1,0,0.970588235294118,0.0294117647058824,0,0,3,31,0,0.0882352941176471,0.911764705882353
19,DTLZ1,20,30,100,300,300,34,0,34,32,1,1,0.941176470588235,0.0294117647058824,0.0294117647058824,0,0,34,0,0,1
20,DTLZ1,20,30,100,300,300,34,0,34,24,3,7,0.705882352941177,0.0882352941176471,0.205882352941176,2,30,2,0.0588235294117647,0.882352941176471,0.0588235294117647
21,DTLZ2,10,30,100,300,300,34,0,34,29,1,4,0.852941176470588,0.0294117647058824,0.117647058823529,0,34,0,0,1,0
22,DTLZ2,10,30,100,300,300,34,0,34,25,1,8,0.735294117647059,0.0294117647058824,0.235294117647059,0,34,0,0,1,0
23,DTLZ2,10,30,100,300,300,34,0,34,18,1,15,0.529411764705882,0.0294117647058824,0.441176470588235,0,34,0,0,1,0
24,DTLZ2,10,30,100,300,300,34,0,34,33,1,0,0.970588235294118,0.0294117647058824,0,0,34,0,0,1,0
25,DTLZ2,10,30,100,300,300,34,0,34,27,1,6,0.794117647058823,0.0294117647058824,0.176470588235294,0,34,0,0,1,0
26,DTLZ2,10,30,100,300,300,34,0,34,29,1,4,0.852941176470588,0.0294117647058824,0.117647058823529,0,34,0,0,1,0
27,DTLZ2,10,30,100,300,300,34,0,34,26,1,7,0.764705882352941,0.0294117647058824,0.205882352941176,0,34,0,0,1,0
28,DTLZ2,10,30,100,300,300,34,0,34,29,1,4,0.852941176470588,0.0294117647058824,0.117647058823529,0,34,0,0,1,0
29,DTLZ2,10,30,100,300,300,34,0,34,31,1,2,0.911764705882353,0.0294117647058824,0.0588235294117647,0,29,5,0,0.852941176470588,0.147058823529412
30,DTLZ2,10,30,100,300,300,34,0,34,17,1,16,0.5,0.0294117647058824,0.470588235294118,0,34,0,0,1,0
31,DTLZ2,20,30,100,300,300,34,0,34,32,1,1,0.941176470588235,0.0294117647058824,0.0294117647058824,0,0,34,0,0,1
32,DTLZ2,20,30,100,300,300,34,0,34,33,1,0,0.970588235294118,0.0294117647058824,0,0,16,18,0,0.470588235294118,0.529411764705882
33,DTLZ2,20,30,100,300,300,34,0,34,33,1,0,0.970588235294118,0.0294117647058824,0,0,0,34,0,0,1
34,DTLZ2,20,30,100,300,300,34,0,34,30,1,3,0.882352941176471,0.0294117647058824,0.0882352941176471,0,0,34,0,0,1
35,DTLZ2,20,30,100,300,300,34,0,34,31,1,2,0.911764705882353,0.0294117647058824,0.0588235294117647,0,0,34,0,0,1
36,DTLZ2,20,30,100,300,300,34,0,34,33,1,0,0.970588235294118,0.0294117647058824,0,0,0,34,0,0,1
37,DTLZ2,20,30,100,300,300,34,0,34,33,1,0,0.970588235294118,0.0294117647058824,0,0,0,34,0,0,1
38,DTLZ2,20,30,100,300,300,34,0,34,33,1,0,0.970588235294118,0.0294117647058824,0,0,0,34,0,0,1
39,DTLZ2,20,30,100,300,300,34,0,34,33,1,0,0.970588235294118,0.0294117647058824,0,0,0,34,0,0,1
40,DTLZ2,20,30,100,300,300,34,0,34,28,1,5,0.823529411764706,0.0294117647058824,0.147058823529412,0,1,33,0,0.0294117647058824,0.970588235294118
41,DTLZ4,10,30,100,300,300,34,0,34,10,1,23,0.294117647058824,0.0294117647058824,0.676470588235294,0,34,0,0,1,0
42,DTLZ4,10,30,100,300,300,34,0,34,21,1,12,0.617647058823529,0.0294117647058824,0.352941176470588,0,34,0,0,1,0
43,DTLZ4,10,30,100,300,300,34,0,34,30,1,3,0.882352941176471,0.0294117647058824,0.0882352941176471,0,34,0,0,1,0
44,DTLZ4,10,30,100,300,300,34,0,34,12,1,21,0.352941176470588,0.0294117647058824,0.617647058823529,0,34,0,0,1,0
45,DTLZ4,10,30,100,300,300,34,0,34,7,1,26,0.205882352941176,0.0294117647058824,0.764705882352941,0,34,0,0,1,0
46,DTLZ4,10,30,100,300,300,34,0,34,17,1,16,0.5,0.0294117647058824,0.470588235294118,0,34,0,0,1,0
47,DTLZ4,10,30,100,300,300,34,0,34,30,1,3,0.882352941176471,0.0294117647058824,0.0882352941176471,0,34,0,0,1,0
48,DTLZ4,10,30,100,300,300,34,0,34,12,1,21,0.352941176470588,0.0294117647058824,0.617647058823529,0,34,0,0,1,0
49,DTLZ4,10,30,100,300,300,34,0,34,19,1,14,0.558823529411765,0.0294117647058824,0.411764705882353,0,34,0,0,1,0
50,DTLZ4,10,30,100,300,300,34,0,34,19,1,14,0.558823529411765,0.0294117647058824,0.411764705882353,0,34,0,0,1,0
51,DTLZ4,20,30,100,300,300,34,0,34,33,1,0,0.970588235294118,0.0294117647058824,0,0,34,0,0,1,0
52,DTLZ4,20,30,100,300,300,34,0,34,33,1,0,0.970588235294118,0.0294117647058824,0,0,34,0,0,1,0
53,DTLZ4,20,30,100,300,300,34,0,34,32,1,1,0.941176470588235,0.0294117647058824,0.0294117647058824,0,34,0,0,1,0
54,DTLZ4,20,30,100,300,300,34,0,34,30,1,3,0.882352941176471,0.0294117647058824,0.0882352941176471,0,34,0,0,1,0
55,DTLZ4,20,30,100,300,300,34,0,34,33,1,0,0.970588235294118,0.0294117647058824,0,0,34,0,0,1,0
56,DTLZ4,20,30,100,300,300,34,0,34,33,1,0,0.970588235294118,0.0294117647058824,0,0,34,0,0,1,0
57,DTLZ4,20,30,100,300,300,34,0,34,31,1,2,0.911764705882353,0.0294117647058824,0.0588235294117647,0,34,0,0,1,0
58,DTLZ4,20,30,100,300,300,34,0,34,33,1,0,0.970588235294118,0.0294117647058824,0,0,34,0,0,1,0
59,DTLZ4,20,30,100,300,300,34,0,34,32,1,1,0.941176470588235,0.0294117647058824,0.0294117647058824,0,34,0,0,1,0
60,DTLZ4,20,30,100,300,300,34,0,34,33,1,0,0.970588235294118,0.0294117647058824,0,0,34,0,0,1,0
61,DTLZ7,10,30,100,300,300,34,0,34,7,1,26,0.205882352941176,0.0294117647058824,0.764705882352941,0,34,0,0,1,0
62,DTLZ7,10,30,100,300,300,34,0,34,5,1,28,0.147058823529412,0.0294117647058824,0.823529411764706,0,34,0,0,1,0
63,DTLZ7,10,30,100,300,300,34,0,34,16,1,17,0.470588235294118,0.0294117647058824,0.5,0,34,0,0,1,0
64,DTLZ7,10,30,100,300,300,34,0,34,6,1,27,0.176470588235294,0.0294117647058824,0.794117647058823,0,34,0,0,1,0
65,DTLZ7,10,30,100,300,300,34,0,34,9,1,24,0.264705882352941,0.0294117647058824,0.705882352941177,0,34,0,0,1,0
66,DTLZ7,10,30,100,300,300,34,0,34,10,1,23,0.294117647058824,0.0294117647058824,0.676470588235294,0,34,0,0,1,0
67,DTLZ7,10,30,100,300,300,34,0,34,16,1,17,0.470588235294118,0.0294117647058824,0.5,0,34,0,0,1,0
68,DTLZ7,10,30,100,300,300,34,0,34,10,1,23,0.294117647058824,0.0294117647058824,0.676470588235294,0,34,0,0,1,0
69,DTLZ7,10,30,100,300,300,34,0,34,13,1,20,0.382352941176471,0.0294117647058824,0.588235294117647,0,34,0,0,1,0
70,DTLZ7,10,30,100,300,300,34,0,34,10,1,23,0.294117647058824,0.0294117647058824,0.676470588235294,0,34,0,0,1,0
71,DTLZ7,20,30,100,300,300,34,0,34,0,1,33,0,0.0294117647058824,0.970588235294118,0,34,0,0,1,0
72,DTLZ7,20,30,100,300,300,34,0,34,32,1,1,0.941176470588235,0.0294117647058824,0.0294117647058824,0,34,0,0,1,0
73,DTLZ7,20,30,100,300,300,34,0,34,32,1,1,0.941176470588235,0.0294117647058824,0.0294117647058824,0,34,0,0,1,0
74,DTLZ7,20,30,100,300,300,34,0,34,5,1,28,0.147058823529412,0.0294117647058824,0.823529411764706,0,34,0,0,1,0
75,DTLZ7,20,30,100,300,300,34,0,34,5,1,28,0.147058823529412,0.0294117647058824,0.823529411764706,0,34,0,0,1,0
76,DTLZ7,20,30,100,300,300,34,0,34,30,1,3,0.882352941176471,0.0294117647058824,0.0882352941176471,0,34,0,0,1,0
77,DTLZ7,20,30,100,300,300,34,0,34,29,1,4,0.852941176470588,0.0294117647058824,0.117647058823529,0,34,0,0,1,0
78,DTLZ7,20,30,100,300,300,34,0,34,27,1,6,0.794117647058823,0.0294117647058824,0.176470588235294,0,34,0,0,1,0
79,DTLZ7,20,30,100,300,300,34,0,34,5,1,28,0.147058823529412,0.0294117647058824,0.823529411764706,0,34,0,0,1,0
80,DTLZ7,20,30,100,300,300,34,0,34,2,1,31,0.0588235294117647,0.0294117647058824,0.911764705882353,0,34,0,0,1,0
81,WFG3,10,31,100,300,300,34,0,34,29,1,4,0.852941176470588,0.0294117647058824,0.117647058823529,0,0,34,0,0,1
82,WFG3,10,31,100,300,300,34,0,34,32,1,1,0.941176470588235,0.0294117647058824,0.0294117647058824,0,0,34,0,0,1
83,WFG3,10,31,100,300,300,34,0,34,30,1,3,0.882352941176471,0.0294117647058824,0.0882352941176471,0,0,34,0,0,1
84,WFG3,10,31,100,300,300,34,0,34,26,1,7,0.764705882352941,0.0294117647058824,0.205882352941176,0,0,34,0,0,1
85,WFG3,10,31,100,300,300,34,0,34,33,1,0,0.970588235294118,0.0294117647058824,0,0,0,34,0,0,1
86,WFG3,10,31,100,300,300,34,0,34,31,1,2,0.911764705882353,0.0294117647058824,0.0588235294117647,0,0,34,0,0,1
87,WFG3,10,31,100,300,300,34,0,34,33,1,0,0.970588235294118,0.0294117647058824,0,0,0,34,0,0,1
88,WFG3,10,31,100,300,300,34,0,34,31,1,2,0.911764705882353,0.0294117647058824,0.0588235294117647,0,0,34,0,0,1
89,WFG3,10,31,100,300,300,34,0,34,32,1,1,0.941176470588235,0.0294117647058824,0.0294117647058824,0,0,34,0,0,1
90,WFG3,10,31,100,300,300,34,0,34,31,1,2,0.911764705882353,0.0294117647058824,0.0588235294117647,0,0,34,0,0,1
91,WFG3,20,31,100,300,300,34,0,34,22,1,11,0.647058823529412,0.0294117647058824,0.323529411764706,0,0,34,0,0,1
92,WFG3,20,31,100,300,300,34,0,34,14,1,19,0.411764705882353,0.0294117647058824,0.558823529411765,0,0,34,0,0,1
93,WFG3,20,31,100,300,300,34,0,34,25,1,8,0.735294117647059,0.0294117647058824,0.235294117647059,0,0,34,0,0,1
94,WFG3,20,31,100,300,300,34,0,34,11,1,22,0.323529411764706,0.0294117647058824,0.647058823529412,0,0,34,0,0,1
