problem,M,run,stage,ratio,variant,mean_conf,gate_weighted,delta_mean_conf,spearman_vs_base,jaccard_vs_base
DTLZ1,10,1,1,0.333333333333333,base,0.31067518653506,0,0,1,1
DTLZ1,10,1,1,0.333333333333333,x0.1,0.316648530626908,0,0.00597334409184852,1,1
DTLZ1,10,1,1,0.333333333333333,x10,0.310067623770333,0,-0.000607562764727121,1,1
DTLZ1,10,1,1,0.333333333333333,x100,0.310006763430015,0,-0.00066842310504428,1,1
DTLZ1,10,1,1,0.333333333333333,wfg_style,0.360031260560251,0,0.0493560740251913,0.873471347134714,0.851851851851852
DTLZ1,10,1,1,0.333333333333333,de_wfg,0.474709064058659,0,0.1640338775236,0.537761776177618,0.612903225806452
DTLZ1,10,1,1,0.333333333333333,minmax,0.520633950447355,0,0.209958763912295,0.0118451845184518,0.315789473684211
DTLZ1,10,1,2,0.5,base,0.420356150179306,0,0,1,1
DTLZ1,10,1,2,0.5,x0.1,0.42349490630026,0,0.00313875612095427,1,1
DTLZ1,10,1,2,0.5,x10,0.420035683017885,0,-0.00032046716142109,1,1
DTLZ1,10,1,2,0.5,x100,0.420003568983223,0,-0.000352581196082502,1,1
DTLZ1,10,1,2,0.5,wfg_style,0.450017163374346,0,0.0296610131950401,0.891989198919892,0.612903225806452
DTLZ1,10,1,2,0.5,de_wfg,0.481904326123877,0,0.0615481759445707,0.905502550255026,0.5625
DTLZ1,10,1,2,0.5,minmax,0.513614713645713,0,0.0932585634664073,-0.289228922892289,0.315789473684211
DTLZ1,10,1,3,0.666666666666667,base,0.629657960574299,1,0,1,1
DTLZ1,10,1,3,0.666666666666667,x0.1,0.626608148855447,1,-0.00304981171885199,1,1
DTLZ1,10,1,3,0.666666666666667,x10,0.629965767693791,1,0.000307807119491632,1,1
DTLZ1,10,1,3,0.666666666666667,x100,0.629996576485945,1,0.000338615911645301,1,1
DTLZ1,10,1,3,0.666666666666667,wfg_style,0.62998030771014,1,0.000322347135840784,0.828442844284429,0.724137931034483
DTLZ1,10,1,3,0.666666666666667,de_wfg,0.587124884143437,1,-0.0425330764308625,0.785418541854186,0.612903225806452
DTLZ1,10,1,3,0.666666666666667,minmax,0.503950814143939,0,-0.125707146430361,-0.351959195919592,0.515151515151515
DTLZ1,10,1,4,0.833333333333333,base,0.609732283437624,1,0,1,1
DTLZ1,10,1,4,0.833333333333333,x0.1,0.607317045759444,1,-0.00241523767818008,1,1
DTLZ1,10,1,4,0.833333333333333,x10,0.609973236464001,1,0.000240953026377388,1,1
DTLZ1,10,1,4,0.833333333333333,x100,0.609997323730078,1,0.000265040292454,1,1
DTLZ1,10,1,4,0.833333333333333,wfg_style,0.550004717307379,1,-0.0597275661302449,0.841452145214522,0.666666666666667
