target,comparator,problem,nx,ny,meanTarget,sdTarget,meanComparator,sdComparator,relativePercent,pDefault,pExact,pHolm,delta,ciLow,ciHigh
Weighted,REMO,DTLZ1,18,18,217.730125831145,37.0865716301407,207.482153735974,43.4628493358694,4.93920653446245,0.623852080962324,0.627909807361219,0.627909807361219,-0.0987654320987654,NaN,NaN
Weighted,REMO,DTLZ2,18,18,1.2060106276405,0.0995191561167723,1.09022715852309,0.092633432179091,10.6201233579851,0.00226471665994665,0.00163580150700343,0.00654320602801371,-0.598765432098765,NaN,NaN
Weighted,REMO,DTLZ3,18,18,905.142726492718,104.111836808928,808.130849272057,150.011883480119,12.0044764171603,0.0218020762238895,0.0204636413519917,0.0409272827039835,-0.450617283950617,NaN,NaN
Weighted,REMO,DTLZ4,18,18,1.2836625767578,0.114935977716299,1.14867404878008,0.104682411788654,11.7516825700975,0.0011829627696507,0.000757768316688347,0.00378884158344174,-0.635802469135803,NaN,NaN
Weighted,REMO,DTLZ5,18,18,0.829392805717201,0.115744586087465,0.620522648686418,0.146988845921471,33.6603599357638,0.000201175737838301,8.13506328660466e-05,0.000569454430062326,-0.728395061728395,NaN,NaN
Weighted,REMO,DTLZ6,18,18,13.8114655089274,1.1675639247422,16.3776022902555,0.730132049944893,-15.6685742873054,8.66316812133417e-07,6.61147167690161e-09,8.59491317997209e-08,0.962962962962963,NaN,NaN
Weighted,REMO,DTLZ7,18,18,8.79711007305126,1.28488270210331,21.2518180901241,2.43748680097494,-58.6053765576915,3.22783701065875e-07,2.20382389230054e-10,3.52611822768086e-09,1,NaN,NaN
Weighted,REMO,WFG1,18,18,3.16682453098127,0.0377317923319269,3.23537869225207,0.0874215130842846,-2.11889141246339,0.00419262283297916,0.00332594842966143,0.00997784528898429,0.561728395061728,NaN,NaN
Weighted,REMO,WFG2,18,18,2.1567679114684,0.472719925874462,3.51079137735651,1.08120506596143,-38.5674715570151,0.000419180801315981,0.000210508156280601,0.00126304893768361,0.691358024691358,NaN,NaN
Weighted,REMO,WFG3,18,18,1.73193241588636,0.0701863365093176,1.51881854245939,0.100965292667139,14.0315559409668,7.36660007156096e-07,4.18726539537102e-09,5.86217155351943e-08,-0.969135802469136,NaN,NaN
Weighted,REMO,WFG4,18,18,6.6111798854443,0.835830687812274,8.17698301257427,0.993170716928524,-19.1489101141844,2.7636646531025e-05,4.88786101073336e-06,4.88786101073336e-05,0.820987654320988,NaN,NaN
Weighted,REMO,WFG5,18,18,5.69300009992074,0.38053964176015,6.94437207906939,0.514445765327788,-18.0199442786243,1.40083032829993e-06,2.13770917553152e-08,2.35148009308467e-07,0.944444444444444,NaN,NaN
Weighted,REMO,WFG6,18,18,5.25057572465492,0.273749442846537,6.42551728233579,0.479173019677145,-18.2855559491041,8.66316812133417e-07,6.61147167690161e-09,8.59491317997209e-08,0.962962962962963,NaN,NaN
Weighted,REMO,WFG7,18,18,5.33024907468348,0.299073382266525,6.28118400623337,0.741717106086908,-15.1394216537231,8.18199926302783e-05,2.38923159635978e-05,0.00021503084367238,0.771604938271605,NaN,NaN
Weighted,REMO,WFG8,18,18,5.77108512321372,0.252802602392417,7.05594896443765,0.506420480293286,-18.2096532684648,3.8143817467701e-07,4.40764778460107e-10,6.61147167690161e-09,0.993827160493827,NaN,NaN
Weighted,REMO,WFG9,18,18,6.51674422595857,0.623542989165887,7.64756572353056,0.760526696062636,-14.7866855735885,8.18199926302783e-05,2.38923159635978e-05,0.00021503084367238,0.771604938271605,NaN,NaN
Weighted,PIEA,DTLZ1,18,18,217.730125831145,37.0865716301407,242.07486618249,73.2410286518174,-10.0566988780209,0.275038993200909,0.27878391256602,0.836351737698059,0.216049382716049,NaN,NaN
Weighted,PIEA,DTLZ2,18,18,1.2060106276405,0.0995191561167723,0.968708106834636,0.0569295889898747,24.4968034366176,1.01780894191117e-06,9.91720751535242e-09,1.09089282668877e-07,-0.95679012345679,NaN,NaN
Weighted,PIEA,DTLZ3,18,18,905.142726492718,104.111836808928,554.590263764357,106.359410693313,63.2092709938576,1.01780894191117e-06,9.91720751535242e-09,1.09089282668877e-07,-0.95679012345679,NaN,NaN
Weighted,PIEA,DTLZ4,18,18,1.2836625767578,0.114935977716299,1.24523371308056,0.0405382204179741,3.08607639462051,0.692486835516168,0.695997500555171,0.836351737698059,-0.0802469135802469,NaN,NaN
Weighted,PIEA,DTLZ5,18,18,0.829392805717201,0.115744586087465,0.290158791151389,0.035420511116537,185.841005342647,3.22783701065875e-07,2.20382389230054e-10,3.52611822768086e-09,-1,NaN,NaN
Weighted,PIEA,DTLZ6,18,18,13.8114655089274,1.1675639247422,5.48513059555348,1.809808203628,151.798298478502,3.22783701065875e-07,2.20382389230054e-10,3.52611822768086e-09,-1,NaN,NaN
Weighted,PIEA,DTLZ7,18,18,8.79711007305126,1.28488270210331,18.5881182694127,5.79265128047088,-52.6734769730449,8.78006297221654e-06,7.69575303191347e-07,6.15660242553078e-06,0.87037037037037,NaN,NaN
Weighted,PIEA,WFG1,18,18,3.16682453098127,0.0377317923319269,3.34325261631853,0.0495719718548288,-5.27713892979883,3.22783701065875e-07,2.20382389230054e-10,3.52611822768086e-09,1,NaN,NaN
Weighted,PIEA,WFG2,18,18,2.1567679114684,0.472719925874462,2.37098066717001,0.468508456719228,-9.03477445715711,0.149992972572782,0.151644108490592,0.606576433962367,0.283950617283951,NaN,NaN
Weighted,PIEA,WFG3,18,18,1.73193241588636,0.0701863365093176,1.18229162903454,0.148946366811153,46.4894424821957,3.22783701065875e-07,2.20382389230054e-10,3.52611822768086e-09,-1,NaN,NaN
Weighted,PIEA,WFG4,18,18,6.6111798854443,0.835830687812274,5.77660333603372,0.585725524380487,14.4475308561451,0.00132127687399942,0.000865276576096888,0.00432638288048444,-0.62962962962963,NaN,NaN
Weighted,PIEA,WFG5,18,18,5.69300009992074,0.38053964176015,5.7543690698306,0.25876779932967,-1.06647608391348,0.401793234685523,0.406417505643139,0.836351737698059,0.166666666666667,NaN,NaN
Weighted,PIEA,WFG6,18,18,5.25057572465492,0.273749442846537,5.93603451376871,0.403327173873444,-11.5474191991952,5.62171333027931e-06,3.51950675600396e-07,3.16755608040356e-06,0.888888888888889,NaN,NaN
Weighted,PIEA,WFG7,18,18,5.33024907468348,0.299073382266525,6.91388595164652,0.50437173380455,-22.905163435418,3.22783701065875e-07,2.20382389230054e-10,3.52611822768086e-09,1,NaN,NaN
Weighted,PIEA,WFG8,18,18,5.77108512321372,0.252802602392417,6.35733781353818,0.49917518316697,-9.22166962837823,3.64602307188997e-05,7.42490307554974e-06,5.19743215288482e-05,0.808641975308642,NaN,NaN
Weighted,PIEA,WFG9,18,18,6.51674422595857,0.623542989165887,5.7930084055476,0.372340327051004,12.4932637715128,0.000597408836943277,0.000328531520626475,0.00197118912375885,-0.672839506172839,NaN,NaN
Weighted,MCEAD,DTLZ1,18,18,217.730125831145,37.0865716301407,235.30752004398,45.3677661697798,-7.46996704973566,0.141238417811925,0.142691228856941,0.285382457713881,0.290123456790123,NaN,NaN
