problem,REMO_meanIGD,PIEA_meanIGD,MCEAD_meanIGD,R2AEA_meanIGD,CSEA_meanIGD,PCSAEA_N100_meanIGD,KRVEA_100_meanIGD,Original_meanIGD,Weighted_meanIGD,REMO_rank,PIEA_rank,MCEAD_rank,R2AEA_rank,CSEA_rank,PCSAEA_N100_rank,KRVEA_100_rank,Original_rank,Weighted_rank
DTLZ1,207.4821537359743,242.07486618248984,235.30752004398047,272.05806287510586,222.80718805479847,361.6267579728708,274.1786692741872,229.44263387716754,217.730125831145,1,6,5,7,3,9,8,4,2
DTLZ2,1.090227158523088,0.9687081068346358,1.0974211464808241,1.4611191676628175,1.3228619421036931,1.501904674478378,1.425014409529077,1.094627221548273,1.206010627640496,2,1,4,8,6,9,7,3,5
DTLZ3,808.1308492720569,554.5902637643566,574.9902362277537,563.5258416112009,900.8249623094995,1287.970539069111,1040.5268633539047,939.1860018761872,905.1427264927182,4,1,3,2,5,9,8,7,6
DTLZ4,1.1486740487800757,1.245233713080562,1.248667427242431,1.5943828728221479,1.2197573316991286,1.6503521150988023,1.634032710035204,1.1814016383622314,1.2836625767577976,1,4,5,7,3,9,8,2,6
DTLZ5,0.6205226486864182,0.29015879115138876,0.37432208483033974,0.9865033808313866,0.7641547745716362,0.9984112604769437,0.896781407385111,0.6604909494495319,0.8293928057172013,3,1,2,8,5,9,7,4,6
DTLZ6,16.377602290255528,5.485130595553482,8.974397436489596,13.116062530709055,16.063902415339722,17.39393596290487,15.60559951714505,14.462776158816098,13.811465508927412,8,1,2,3,7,9,6,5,4
DTLZ7,21.25181809012406,18.588118269412707,20.444591913693362,6.203800626066898,27.61105315959707,28.41584051957867,1.6513410492823617,12.122418678692757,8.797110073051261,7,5,6,2,8,9,1,4,3
WFG1,3.2353786922520666,3.3432526163185305,3.45870869668368,3.198601006703308,3.272262791474523,3.387795380733671,3.291124777946279,3.1933330392297226,3.166824530981268,4,7,9,3,5,8,6,2,1
WFG2,3.51079137735651,2.370980667170007,3.4836290349289114,2.2469478020925346,3.5554344817968992,3.3237128592885496,2.056039392620369,2.1211040570019426,2.156767911468398,8,5,7,4,9,6,1,2,3
WFG3,1.5188185424593947,1.1822916290345356,1.255052360342888,1.5946226024728078,1.5722885758872398,1.6973726964557085,1.783222262644315,1.7006294138286833,1.731932415886361,3,1,2,5,4,6,9,7,8
WFG4,8.17698301257427,5.776603336033719,7.162614447607011,5.790094198987124,9.080312976608363,8.940935368693946,6.543750052925079,6.63109836013158,6.611179885444295,7,1,6,2,9,8,3,5,4
WFG5,6.944372079069387,5.7543690698306005,6.619266572377874,6.58342537857842,7.102192420677515,6.928177592321719,5.121005047544322,5.9731534798388015,5.6930000999207415,8,3,6,5,9,7,1,4,2
WFG6,6.425517282335789,5.936034513768705,7.251176597818053,5.255960158605104,7.455308839555332,7.305572389763942,5.019229613145228,5.277303834205413,5.250575724654925,6,5,7,3,9,8,1,4,2
WFG7,6.281184006233368,6.913885951646524,8.158072645591886,6.487474585304017,7.390394601084383,7.546732661930378,6.364243889148463,5.296864012570785,5.330249074683484,3,6,9,5,7,8,4,1,2
WFG8,7.055948964437653,6.357337813538177,7.467134498397085,5.56014465975903,7.787727686892069,7.385265055402289,6.080054783379882,5.69304894544652,5.771085123213721,6,5,8,1,9,7,4,2,3
WFG9,7.64756572353056,5.7930084055476,7.08245627462648,6.441218447364658,8.183533651557594,7.873696182811813,6.571906327201621,6.378762422211864,6.516744225958572,7,1,6,3,9,8,5,2,4
