algorithm,problem,D,run,FE,firstFE,nFinal,IGD,HV,runtime,file
REMO,DTLZ1,30,1,303,100,303,159.315657643732,0,438.2827533,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_1.mat
REMO,DTLZ1,30,10,300,100,300,261.473255245676,0,396.376543,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_10.mat
REMO,DTLZ1,30,11,301,100,301,209.36839480253,0,364.0168268,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_11.mat
REMO,DTLZ1,30,12,303,100,303,127.581820876466,0,377.306049,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_12.mat
REMO,DTLZ1,30,13,306,100,306,248.305801316039,0,341.9955178,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_13.mat
REMO,DTLZ1,30,14,303,100,303,275.515748000144,0,315.9796103,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_14.mat
REMO,DTLZ1,30,15,304,100,304,141.273566736124,0,321.5280131,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_15.mat
REMO,DTLZ1,30,16,302,100,302,217.953378500479,0,352.9845508,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_16.mat
REMO,DTLZ1,30,17,301,100,301,228.526641695397,0,324.6000076,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_17.mat
REMO,DTLZ1,30,18,300,100,300,217.530987910767,0,328.8595436,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_18.mat
REMO,DTLZ1,30,2,303,100,303,216.037632083353,0,360.8290002,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_2.mat
REMO,DTLZ1,30,3,300,100,300,207.288142604224,0,432.7464365,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_3.mat
REMO,DTLZ1,30,4,307,100,307,147.304200404657,0,383.423843,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_4.mat
REMO,DTLZ1,30,5,303,100,303,230.296009761973,0,416.1735033,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_5.mat
REMO,DTLZ1,30,6,300,100,300,162.54528512591,0,330.2726974,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_6.mat
REMO,DTLZ1,30,7,301,100,301,209.316165409514,0,356.9277324,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_7.mat
