algorithm,problem,D,run,FE,firstFE,nFinal,IGD,HV,runtime,file,qKeep,seed
REMO,DTLZ1,30,1,305,100,305,74.4948482005283,NaN,478.2245569,C:\Users\lsx\Desktop\REMOandDREMO测试集\20目标\REMO\REMO_DTLZ1_M20_D30_1.mat,NaN,NaN
REMO,DTLZ1,30,10,305,100,305,44.2402397389635,NaN,376.9291502,C:\Users\lsx\Desktop\REMOandDREMO测试集\20目标\REMO\REMO_DTLZ1_M20_D30_10.mat,NaN,NaN
REMO,DTLZ1,30,11,303,100,303,72.3589391534472,NaN,410.664199,C:\Users\lsx\Desktop\REMOandDREMO测试集\20目标\REMO\REMO_DTLZ1_M20_D30_11.mat,NaN,NaN
REMO,DTLZ1,30,12,301,100,301,49.1826216214891,NaN,417.5292799,C:\Users\lsx\Desktop\REMOandDREMO测试集\20目标\REMO\REMO_DTLZ1_M20_D30_12.mat,NaN,NaN
REMO,DTLZ1,30,13,304,100,304,52.4447552053296,NaN,376.4065284,C:\Users\lsx\Desktop\REMOandDREMO测试集\20目标\REMO\REMO_DTLZ1_M20_D30_13.mat,NaN,NaN
REMO,DTLZ1,30,14,302,100,302,92.5716489258603,NaN,428.477394,C:\Users\lsx\Desktop\REMOandDREMO测试集\20目标\REMO\REMO_DTLZ1_M20_D30_14.mat,NaN,NaN
REMO,DTLZ1,30,15,300,100,300,64.5453164105342,NaN,432.196548,C:\Users\lsx\Desktop\REMOandDREMO测试集\20目标\REMO\REMO_DTLZ1_M20_D30_15.mat,NaN,NaN
REMO,DTLZ1,30,16,300,100,300,62.4828627581518,NaN,389.5725122,C:\Users\lsx\Desktop\REMOandDREMO测试集\20目标\REMO\REMO_DTLZ1_M20_D30_16.mat,NaN,NaN
REMO,DTLZ1,30,17,301,100,301,97.4328794199498,NaN,445.3682977,C:\Users\lsx\Desktop\REMOandDREMO测试集\20目标\REMO\REMO_DTLZ1_M20_D30_17.mat,NaN,NaN
REMO,DTLZ1,30,18,302,100,302,88.045867130043,NaN,455.0057271,C:\Users\lsx\Desktop\REMOandDREMO测试集\20目标\REMO\REMO_DTLZ1_M20_D30_18.mat,NaN,NaN
REMO,DTLZ1,30,2,305,100,305,64.8542395377751,NaN,420.8217802,C:\Users\lsx\Desktop\REMOandDREMO测试集\20目标\REMO\REMO_DTLZ1_M20_D30_2.mat,NaN,NaN
REMO,DTLZ1,30,3,306,100,306,97.2296634278261,NaN,453.9408889,C:\Users\lsx\Desktop\REMOandDREMO测试集\20目标\REMO\REMO_DTLZ1_M20_D30_3.mat,NaN,NaN
REMO,DTLZ1,30,4,303,100,303,74.9746084981601,NaN,470.313039,C:\Users\lsx\Desktop\REMOandDREMO测试集\20目标\REMO\REMO_DTLZ1_M20_D30_4.mat,NaN,NaN
REMO,DTLZ1,30,5,302,100,302,40.9111171650774,NaN,455.150134,C:\Users\lsx\Desktop\REMOandDREMO测试集\20目标\REMO\REMO_DTLZ1_M20_D30_5.mat,NaN,NaN
REMO,DTLZ1,30,6,300,100,300,54.1849896091606,NaN,460.3234179,C:\Users\lsx\Desktop\REMOandDREMO测试集\20目标\REMO\REMO_DTLZ1_M20_D30_6.mat,NaN,NaN
REMO,DTLZ1,30,7,302,100,302,81.1917928893833,NaN,439.1808927,C:\Users\lsx\Desktop\REMOandDREMO测试集\20目标\REMO\REMO_DTLZ1_M20_D30_7.mat,NaN,NaN
