algorithm,problem,M,D,runId,state,actualFE,IGD,provenance,note,file
REMO,DTLZ1,10,30,1,existing,303,159.315657643732,legacy-unverified, Historical final-batch FE overshoot retained.,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_1.mat
REMO,DTLZ1,10,30,2,existing,303,216.037632083353,legacy-unverified, Historical final-batch FE overshoot retained.,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_2.mat
REMO,DTLZ1,10,30,3,existing,300,207.288142604224,legacy-unverified,,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_3.mat
REMO,DTLZ1,10,30,4,existing,307,147.304200404657,legacy-unverified, Historical final-batch FE overshoot retained.,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_4.mat
REMO,DTLZ1,10,30,5,existing,303,230.296009761973,legacy-unverified, Historical final-batch FE overshoot retained.,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_5.mat
REMO,DTLZ1,10,30,6,existing,300,162.54528512591,legacy-unverified,,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_6.mat
REMO,DTLZ1,10,30,7,existing,301,209.316165409514,legacy-unverified, Historical final-batch FE overshoot retained.,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_7.mat
REMO,DTLZ1,10,30,8,existing,302,213.903602997773,legacy-unverified, Historical final-batch FE overshoot retained.,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_8.mat
REMO,DTLZ1,10,30,9,existing,301,261.142476132779,legacy-unverified, Historical final-batch FE overshoot retained.,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_9.mat
REMO,DTLZ1,10,30,10,existing,300,261.473255245676,legacy-unverified,,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_10.mat
REMO,DTLZ1,10,30,11,existing,301,209.36839480253,legacy-unverified, Historical final-batch FE overshoot retained.,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_11.mat
REMO,DTLZ1,10,30,12,existing,303,127.581820876466,legacy-unverified, Historical final-batch FE overshoot retained.,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_12.mat
REMO,DTLZ1,10,30,13,existing,306,248.305801316039,legacy-unverified, Historical final-batch FE overshoot retained.,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_13.mat
REMO,DTLZ1,10,30,14,existing,303,275.515748000144,legacy-unverified, Historical final-batch FE overshoot retained.,C:\Users\lsx\Desktop\REMOandDREMO测试集\10目标\n30\REMO\REMO_DTLZ1_M10_D30_14.mat
