N=100 (configured), maxFE=300; D=30 requested; runs=1:30.
Weighted parameters: {3000,0.50,0.25,0.70,6}; mode run=1.
Local scope: six baselines DTLZ1-7/WFG1-9; Weighted DTLZ1-7 only.
Checking existing results. No optimization during this stage.
M=10 existing: 3090 / 3090 local runs
M=15 existing: 2816 / 3090 local runs
M=20 existing: 2430 / 3090 local runs
           REMO    PIEA    CSEA    PCSAEA_N100    KRVEA_100    MCEAD    Weighted
           ____    ____    ____    ___________    _________    _____    ________

    M10    480     480     480         480           480        480       210   
    M15    480     480     480         360           360        480       176   
    M20    480     480     480         288           288        288       126   

Existing=8336; pending=934; conflicts=0; local total=9270; Weighted WFG excluded=810.
Legacy files without per-run metadata are marked legacy-unverified.
Actual FE above 300 is retained and reported, not called equal-budget.
Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to parallel pool with 2 workers.
Pool has 2 workers; this runner uses at most 2.
[1/934] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ6 M15 run 27 FE=300 IGD=11.296254 saved
[2/934] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ6 M15 run 28 FE=300 IGD=9.3087494 saved
[3/934] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ6 M15 run 29 FE=300 IGD=10.069696 saved
[4/934] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ6 M15 run 30 FE=300 IGD=10.561659 saved
[5/934] PCSAEA_N100 DTLZ7 M15 run 20 FE=300 IGD=44.204274 saved
[6/934] PCSAEA_N100 DTLZ7 M15 run 19 FE=300 IGD=40.168386 saved
[7/934] PCSAEA_N100 DTLZ7 M15 run 22 FE=300 IGD=42.309625 saved
[8/934] PCSAEA_N100 DTLZ7 M15 run 21 FE=300 IGD=33.930012 saved
[9/934] PCSAEA_N100 DTLZ7 M15 run 24 FE=300 IGD=45.221653 saved
[10/934] PCSAEA_N100 DTLZ7 M15 run 23 FE=300 IGD=40.912736 saved
[11/934] PCSAEA_N100 DTLZ7 M15 run 26 FE=300 IGD=37.130463 saved
[12/934] PCSAEA_N100 DTLZ7 M15 run 25 FE=300 IGD=40.185602 saved
[13/934] PCSAEA_N100 DTLZ7 M15 run 27 FE=300 IGD=39.971543 saved
[14/934] PCSAEA_N100 DTLZ7 M15 run 28 FE=300 IGD=45.822225 saved
[15/934] PCSAEA_N100 DTLZ7 M15 run 29 FE=300 IGD=37.75126 saved
[16/934] PCSAEA_N100 DTLZ7 M15 run 30 FE=300 IGD=41.130907 saved
[17/934] KRVEA_100 DTLZ7 M15 run 20 FE=300 IGD=3.4188078 saved
[18/934] KRVEA_100 DTLZ7 M15 run 19 FE=300 IGD=2.8248057 saved
[19/934] KRVEA_100 DTLZ7 M15 run 22 FE=300 IGD=2.7507804 saved
[20/934] KRVEA_100 DTLZ7 M15 run 21 FE=300 IGD=3.4519089 saved
[21/934] KRVEA_100 DTLZ7 M15 run 23 FE=300 IGD=3.824942 saved
[22/934] KRVEA_100 DTLZ7 M15 run 24 FE=300 IGD=1.9784374 saved
[23/934] KRVEA_100 DTLZ7 M15 run 26 FE=300 IGD=4.1734047 saved
[24/934] KRVEA_100 DTLZ7 M15 run 25 FE=300 IGD=4.0880616 saved
[25/934] KRVEA_100 DTLZ7 M15 run 28 FE=300 IGD=5.2281499 saved
[26/934] KRVEA_100 DTLZ7 M15 run 27 FE=300 IGD=4.9991071 saved
[27/934] KRVEA_100 DTLZ7 M15 run 30 FE=300 IGD=7.5935172 saved
[28/934] KRVEA_100 DTLZ7 M15 run 29 FE=300 IGD=3.0293672 saved
