Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to parallel pool with 2 workers.
Pool has 2 workers; this runner uses at most 2.
[1/2208] PCSAEA_N100 DTLZ1 M10 run 20 FE=300 IGD=358.18844 saved
[2/2208] PCSAEA_N100 DTLZ1 M10 run 19 FE=300 IGD=428.61374 saved
[3/2208] PCSAEA_N100 DTLZ1 M10 run 22 FE=300 IGD=336.4649 saved
[4/2208] PCSAEA_N100 DTLZ1 M10 run 21 FE=300 IGD=383.16146 saved
[5/2208] PCSAEA_N100 DTLZ1 M10 run 24 FE=300 IGD=316.56214 saved
[6/2208] PCSAEA_N100 DTLZ1 M10 run 23 FE=300 IGD=311.81908 saved
[7/2208] PCSAEA_N100 DTLZ1 M10 run 25 FE=300 IGD=321.34141 saved
[8/2208] PCSAEA_N100 DTLZ1 M10 run 26 FE=300 IGD=371.23986 saved
[9/2208] PCSAEA_N100 DTLZ1 M10 run 27 FE=300 IGD=386.67836 saved
[10/2208] PCSAEA_N100 DTLZ1 M10 run 28 FE=300 IGD=278.50715 saved
[11/2208] PCSAEA_N100 DTLZ1 M10 run 30 FE=300 IGD=350.47632 saved
[12/2208] PCSAEA_N100 DTLZ1 M10 run 29 FE=300 IGD=433.91581 saved
[13/2208] KRVEA_100 DTLZ1 M10 run 20 FE=300 IGD=289.2644 saved
[14/2208] KRVEA_100 DTLZ1 M10 run 19 FE=300 IGD=249.67467 saved
[15/2208] KRVEA_100 DTLZ1 M10 run 22 FE=300 IGD=301.8341 saved
[16/2208] KRVEA_100 DTLZ1 M10 run 21 FE=300 IGD=314.85645 saved
[17/2208] KRVEA_100 DTLZ1 M10 run 24 FE=300 IGD=313.64569 saved
[18/2208] KRVEA_100 DTLZ1 M10 run 23 FE=300 IGD=245.82514 saved
[19/2208] KRVEA_100 DTLZ1 M10 run 25 FE=300 IGD=239.51864 saved
[20/2208] KRVEA_100 DTLZ1 M10 run 26 FE=300 IGD=252.46837 saved
[21/2208] KRVEA_100 DTLZ1 M10 run 27 FE=300 IGD=271.67178 saved
[22/2208] KRVEA_100 DTLZ1 M10 run 28 FE=300 IGD=264.02215 saved
[23/2208] KRVEA_100 DTLZ1 M10 run 30 FE=300 IGD=312.76473 saved
[24/2208] KRVEA_100 DTLZ1 M10 run 29 FE=300 IGD=299.86933 saved
[25/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ1 M10 run 20 FE=300 IGD=279.23954 saved
[26/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ1 M10 run 19 FE=300 IGD=269.6879 saved
[27/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ1 M10 run 22 FE=300 IGD=200.10982 saved
[28/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ1 M10 run 21 FE=300 IGD=148.0638 saved
[29/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ1 M10 run 23 FE=300 IGD=229.33833 saved
[30/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ1 M10 run 24 FE=300 IGD=258.9048 saved
[31/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ1 M10 run 25 FE=300 IGD=237.91044 saved
[32/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ1 M10 run 26 FE=300 IGD=260.99051 saved
[33/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ1 M10 run 27 FE=300 IGD=172.35208 saved
[34/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ1 M10 run 28 FE=300 IGD=228.72219 saved
