Algorithm: REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted
qKeep: 0.70; M=20; requested D=30; N=100; maxFE=300
Problems: DTLZ1, DTLZ2, DTLZ3, DTLZ4, DTLZ5, DTLZ6, DTLZ7, WFG1, WFG2, WFG3, WFG4, WFG5, WFG6, WFG7, WFG8, WFG9
Jobs: 288; workers: 6
Save folder: C:\Users\lsx\Desktop\REMOandDREMO测试集\20目标\REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted
Already complete: 0; remaining: 288
Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to parallel pool with 6 workers.
[1/288] DTLZ1 run 04: IGD=83.30679; saved
[2/288] DTLZ1 run 01: IGD=55.7047; saved
[3/288] DTLZ1 run 03: IGD=105.9242; saved
[4/288] DTLZ1 run 02: IGD=78.41719; saved
[5/288] DTLZ1 run 05: IGD=92.31564; saved
[6/288] DTLZ1 run 06: IGD=77.19054; saved
[7/288] DTLZ1 run 07: IGD=125.5837; saved
[8/288] DTLZ1 run 08: IGD=94.35986; saved
[9/288] DTLZ1 run 09: IGD=61.68355; saved
[10/288] DTLZ1 run 10: IGD=86.35662; saved
[11/288] DTLZ1 run 12: IGD=108.5477; saved
[12/288] DTLZ1 run 11: IGD=116.8146; saved
[13/288] DTLZ1 run 14: IGD=74.46064; saved
[14/288] DTLZ1 run 13: IGD=92.83407; saved
[15/288] DTLZ1 run 16: IGD=84.46423; saved
[16/288] DTLZ1 run 15: IGD=78.65811; saved
[17/288] DTLZ1 run 17: IGD=89.54781; saved
[18/288] DTLZ1 run 18: IGD=75.9366; saved
[19/288] DTLZ2 run 02: IGD=1.068939; saved
[20/288] DTLZ2 run 03: IGD=1.181544; saved
[21/288] DTLZ2 run 04: IGD=1.125703; saved
[22/288] DTLZ2 run 01: IGD=1.11622; saved
[23/288] DTLZ2 run 05: IGD=1.094969; saved
[24/288] DTLZ2 run 06: IGD=1.170762; saved
[25/288] DTLZ2 run 07: IGD=1.243348; saved
[26/288] DTLZ2 run 09: IGD=1.220529; saved
[27/288] DTLZ2 run 08: IGD=1.064846; saved
[28/288] DTLZ2 run 11: IGD=1.190429; saved
[29/288] DTLZ2 run 10: IGD=1.122895; saved
[30/288] DTLZ2 run 12: IGD=1.04197; saved
[31/288] DTLZ2 run 13: IGD=1.136285; saved
[32/288] DTLZ2 run 14: IGD=1.115345; saved
[33/288] DTLZ2 run 16: IGD=1.187764; saved
[34/288] DTLZ2 run 17: IGD=1.202633; saved
[35/288] DTLZ2 run 15: IGD=1.144494; saved
[36/288] DTLZ2 run 18: IGD=1.233979; saved
[37/288] DTLZ3 run 03: IGD=332.4897; saved
[38/288] DTLZ3 run 04: IGD=356.6416; saved
[39/288] DTLZ3 run 01: IGD=238.9684; saved
[40/288] DTLZ3 run 02: IGD=279.287; saved
[41/288] DTLZ3 run 05: IGD=198.3765; saved
[42/288] DTLZ3 run 06: IGD=465.1646; saved
[43/288] DTLZ3 run 09: IGD=406.5137; saved
[44/288] DTLZ3 run 07: IGD=255.8117; saved
[45/288] DTLZ3 run 10: IGD=396.0305; saved
[46/288] DTLZ3 run 08: IGD=316.3218; saved
[47/288] DTLZ3 run 11: IGD=347.0567; saved
[48/288] DTLZ3 run 12: IGD=330.0432; saved
[49/288] DTLZ3 run 13: IGD=353.7851; saved
[50/288] DTLZ3 run 16: IGD=333.5773; saved
[51/288] DTLZ3 run 15: IGD=364.6016; saved
[52/288] DTLZ3 run 14: IGD=268.6143; saved
[53/288] DTLZ3 run 17: IGD=321.8629; saved
[54/288] DTLZ3 run 18: IGD=331.1661; saved
[55/288] DTLZ4 run 01: IGD=1.110018; saved
[56/288] DTLZ4 run 02: IGD=1.064572; saved
[57/288] DTLZ4 run 03: IGD=1.031031; saved
