round,FEbefore,nCandidates,nRetained,target,lambdaT,meanReward,overlap,meanAbsRankShift,firstChanged,setChanged,orderChanged
1,100,3024,907,6,0.133333333333333,0.396502819711874,0.166666666666667,121.442116868798,1,1,1
2,124,3024,907,6,0.117333333333333,0.325409818864175,0,20.6174200661521,1,1,1
3,130,3024,907,6,0.113333333333333,0.347023979066131,0.333333333333333,20.0926130099228,1,1,1
4,148,3024,907,6,0.101333333333333,0.315758353448348,0.166666666666667,47.2635060639471,1,1,1
5,172,3024,907,6,0.0853333333333333,0.209366726590052,0,44.8445424476295,1,1,1
6,178,3024,907,6,0.0813333333333333,0.389436328941138,0,11.8897464167585,1,1,1
7,184,3024,907,6,0.0773333333333334,0.412936306804468,0,36.8092613009923,1,1,1
8,208,3024,907,6,0.0613333333333333,0.426766820887878,0.333333333333333,38.4630650496141,1,1,1
9,214,3024,907,6,0.0573333333333333,0.406684309520774,0.5,16.1146637265711,1,1,1
10,220,3024,907,6,0.0533333333333333,0.423217071772867,0.333333333333333,14.6504961411246,1,1,1
11,226,3024,907,6,0.0493333333333333,0.437602133512374,0,34.4564498346196,1,1,1
12,232,3024,907,6,0.0453333333333333,0.497296586794685,0,11.03197353914,1,1,1
13,250,3024,907,6,0.0333333333333333,0.593633313529268,1,1.64277839029768,0,0,0
14,256,3024,907,6,0.0293333333333333,0.397531979803829,0.166666666666667,3.09371554575524,1,1,1
15,262,3024,907,6,0.0253333333333333,0.408046667493262,0.166666666666667,8.08158765159868,1,1,1
16,268,3024,907,6,0.0213333333333333,0.506975111250453,1,1.56560088202867,0,0,0
17,274,3024,907,6,0.0173333333333333,0.188864838391921,0.166666666666667,6.39691289966924,1,1,1
18,286,3024,907,6,0.00933333333333333,0.299311157434951,0.166666666666667,5.7199558985667,1,1,1
19,298,3024,907,2,0.00133333333333334,0.370045570110027,1,0.846747519294377,0,0,0
