========== REMO_new2_PIEA4 启动 ==========
时间=2026-05-06 02:34:31 | 问题=WFG9 | M=10 | D=30 | maxFE=300
日志文件=D:\PlatEMO-master\PlatEMO-master\PlatEMO\Algorithms\Multi-objective optimization\REMO_new2_PIEA4\REMO_new2_PIEA4_debug.log
==========================================
[Gen  25 | FE= 300/ 300] p_err=0.176 | 指标=SDE    | score=1(中  ) | Pw=[SDE=0.281 I+=0.382 MD=0.337] | Lp=6.50 | n_eval=8
[Gen   1 | FE= 108/ 300] p_err=0.004 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   1 | FE= 108/ 300] p_err=0.013 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   1 | FE= 108/ 300] p_err=0.004 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   1 | FE= 108/ 300] p_err=0.016 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=4.20 | n_eval=8
[Gen   1 | FE= 108/ 300] p_err=0.010 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=4.20 | n_eval=8
[Gen   1 | FE= 108/ 300] p_err=0.006 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   1 | FE= 108/ 300] p_err=0.007 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.40 | n_eval=8
[Gen   2 | FE= 116/ 300] p_err=0.034 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   2 | FE= 116/ 300] p_err=0.016 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   2 | FE= 116/ 300] p_err=0.013 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   2 | FE= 116/ 300] p_err=0.019 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=4.20 | n_eval=8
[Gen   2 | FE= 116/ 300] p_err=0.019 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   2 | FE= 116/ 300] p_err=0.021 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   2 | FE= 116/ 300] p_err=0.011 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   3 | FE= 124/ 300] p_err=0.031 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   3 | FE= 124/ 300] p_err=0.009 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
