Problem,REMO_mean,REMO_std,REMO_sym,PCSAEA_mean,PCSAEA_std,PCSAEA_sym,CSEA_mean,CSEA_std,CSEA_sym,HES_EA_mean,HES_EA_std,HES_EA_sym,SSDE_mean,SSDE_std,SSDE_sym,SAMOEATL2M_mean,SAMOEATL2M_std,SAMOEATL2M_sym,PACDIS_mean,PACDIS_std,PACDIS_sym
DTLZ1,3.7402e+1,1.12e+1,=,1.4050e+2,1.82e+1,-,4.4542e+1,7.53e+0,=,8.3908e+1,1.43e+1,-,1.1953e+2,1.39e+1,-,1.2461e+2,2.05e+1,-,4.9810e+1,1.00e+1,
DTLZ2,7.0441e-1,3.53e-2,=,1.0340e+0,3.37e-2,-,7.3843e-1,5.47e-2,-,6.9808e-1,3.19e-2,=,1.2211e+0,8.81e-2,-,8.4458e-1,2.01e-2,-,6.9630e-1,3.25e-2,
DTLZ3,1.4822e+2,3.97e+1,=,5.2129e+2,5.68e+1,-,1.5316e+2,4.46e+1,=,4.0579e+2,5.08e+1,-,5.3096e+2,8.36e+1,-,4.6957e+2,1.40e+2,-,1.7243e+2,3.97e+1,
DTLZ4,5.6065e-1,4.60e-2,=,9.2592e-1,2.70e-2,-,5.6869e-1,4.21e-2,=,6.8934e-1,6.95e-2,-,1.0899e+0,6.28e-2,-,8.8890e-1,5.51e-2,-,5.5457e-1,3.53e-2,
DTLZ5,1.3989e-1,4.02e-2,=,3.7402e-1,2.04e-2,-,2.2548e-1,6.17e-2,=,7.4357e-2,1.80e-2,+,6.1112e-1,1.12e-1,-,2.3616e-1,4.12e-2,=,1.7597e-1,6.69e-2,
DTLZ6,6.4356e+0,8.98e-1,-,8.8198e+0,4.05e-1,-,6.2318e+0,1.03e+0,=,7.2199e+0,5.80e-1,-,6.9981e+0,7.94e-1,-,9.0752e+0,2.82e-1,-,5.3853e+0,9.12e-1,
DTLZ7,1.8218e+1,1.76e+0,-,4.5896e+1,4.80e+0,-,3.9827e+1,8.52e+0,-,2.0247e+0,5.29e-2,+,3.3075e+1,6.67e+0,-,3.6144e+1,1.58e+1,-,1.6505e+1,1.29e+0,
WFG1,3.7778e+0,2.22e-1,=,4.3029e+0,1.12e-2,-,3.8666e+0,1.01e-1,=,4.2327e+0,3.93e-2,-,4.3695e+0,1.01e-1,-,4.2936e+0,4.58e-2,-,3.8571e+0,1.84e-1,
WFG2,6.4875e+0,1.40e+0,-,6.5019e+0,1.22e+0,-,7.2099e+0,1.24e+0,-,3.6167e+0,6.56e-1,-,5.3320e+0,9.57e-1,-,6.8393e+0,1.47e+0,-,2.2220e+0,7.69e-1,
WFG3,1.6701e+0,3.12e-1,+,2.3181e+0,8.05e-2,=,1.8017e+0,2.57e-1,+,2.3691e+0,7.68e-2,=,2.6262e+0,2.34e-1,-,1.6533e+0,1.28e-1,+,2.3022e+0,1.41e-1,
WFG4,2.3559e+1,1.99e+0,-,2.3966e+1,9.15e-1,-,2.5903e+1,1.12e+0,-,1.8899e+1,2.01e+0,=,1.5278e+1,1.92e+0,+,2.5328e+1,8.84e-1,-,1.7894e+1,2.38e+0,
WFG5,2.1725e+1,1.11e+0,-,2.0774e+1,6.61e-1,-,2.3169e+1,1.55e+0,-,1.6032e+1,6.42e-1,=,2.0482e+1,9.39e-1,-,2.0737e+1,9.06e-1,-,1.7340e+1,1.51e+0,
WFG6,1.9611e+1,1.80e+0,-,2.1073e+1,6.47e-1,-,2.3712e+1,8.11e-1,-,1.3858e+1,2.48e+0,=,1.8430e+1,1.40e+0,-,2.2063e+1,8.11e-1,-,1.4593e+1,7.87e-1,
WFG7,2.0341e+1,2.17e+0,-,2.1812e+1,8.04e-1,-,2.3074e+1,2.00e+0,-,2.0278e+1,4.33e-1,-,1.9913e+1,1.54e+0,-,2.2882e+1,7.21e-1,-,1.5405e+1,1.31e+0,
WFG8,2.1136e+1,1.64e+0,-,2.1290e+1,7.37e-1,-,2.3609e+1,1.34e+0,-,1.5536e+1,1.01e+0,+,1.8437e+1,1.42e+0,-,2.2553e+1,6.47e-1,-,1.6228e+1,5.23e-1,
WFG9,2.2399e+1,1.37e+0,-,2.2319e+1,7.56e-1,-,2.3565e+1,1.90e+0,-,1.8069e+1,9.89e-1,=,2.1801e+1,4.39e-1,-,2.1408e+1,1.22e+0,-,1.8752e+1,1.76e+0,
