problem,M,conflict_type,count,pct,mean_w_F,mean_mu_F,mean_mu_S,acc_F,acc_S,acc_winner,mean_true_quality,pct_dominated
DTLZ2,10,agree,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DTLZ2,10,conflict,48600,100.0,0.4669,0.2344,-0.1147,0.5627,0.4718,F,0.6456,18.6
DTLZ2,10,abstain,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DTLZ2,10,subwin,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DTLZ2,15,agree,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DTLZ2,15,conflict,46450,100.0,0.4700,0.1652,0.1864,0.5549,0.5024,F,0.7207,14.3
DTLZ2,15,abstain,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DTLZ2,15,subwin,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DTLZ2,5,agree,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DTLZ2,5,conflict,43150,100.0,0.4368,0.1866,0.0774,0.5780,0.4618,F,0.4698,29.7
DTLZ2,5,abstain,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DTLZ2,5,subwin,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DTLZ3,10,agree,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DTLZ3,10,conflict,46850,100.0,0.5105,0.5663,-0.0740,0.5256,0.4858,F,0.2652,39.8
DTLZ3,10,abstain,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DTLZ3,10,subwin,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DTLZ3,15,agree,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DTLZ3,15,conflict,47000,100.0,0.4940,0.4099,0.0872,0.5405,0.4865,F,0.4317,29.5
DTLZ3,15,abstain,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DTLZ3,15,subwin,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DTLZ3,5,agree,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DTLZ3,5,conflict,47800,100.0,0.4663,0.4254,0.3821,0.4717,0.4944,S,0.0277,66.2
DTLZ3,5,abstain,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DTLZ3,5,subwin,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
