problem,M,run,gen,cand_idx,mu_F,sigma2_F,tildeS_F,mu_S,sigma2_S,tildeS_S,w_F,base_score,sign_F,sign_S,true_quality,dominated_by_pop,dominates_pop,catalog_F,catalog_S,conflict_type
DTLZ2,3,1,1,1,2.62643,0.932915,3.52766,3.72668,0.0400238,3.98454,0.0411379,3.96575,1,1,1,1,1,1,0,agree
DTLZ2,3,1,1,2,3.2059,0.222373,3.84747,3.49667,0.0221215,3.86395,0.0904817,3.86246,1,1,1,1,1,1,1,agree
DTLZ2,3,1,1,3,2.74552,0.00700145,3.59339,-3.67364,0.0434091,0.10471,0.861097,3.1088,1,-1,1,0,1,1,1,conflict
DTLZ2,3,1,1,4,0.665114,7.74593,2.44523,-3.09977,0.260698,0.405579,0.0325604,0.47199,1,-1,1,1,1,1,1,conflict
DTLZ2,3,1,1,5,2.37148,0.575401,3.38696,-2.58274,0.963938,0.676644,0.626202,2.37385,1,-1,1,0,1,0,0,conflict
DTLZ2,3,1,1,6,-2.80871,0.209252,0.528047,-3.62817,0.0949714,0.128545,0.312177,0.253261,-1,-1,-1,1,0,0,0,agree
DTLZ2,3,1,1,7,0.324631,6.44455,2.25732,2.42647,0.303969,3.30287,0.0450425,3.25578,1,1,1,1,1,1,0,agree
DTLZ2,3,1,1,8,3.13658,0.348173,3.80921,2.7106,0.0548307,3.45183,0.136057,3.50046,1,1,1,1,1,1,0,agree
DTLZ2,3,1,1,9,-1.49457,0.266784,1.25331,-3.79835,0.00833295,0.0393277,0.0302922,0.0761019,-1,-1,-1,1,0,0,0,agree
DTLZ2,3,1,1,10,3.20363,0.0438091,3.84622,-3.79451,0.0514022,0.0413387,0.539874,2.09549,1,-1,1,1,1,0,1,conflict
DTLZ2,3,1,1,11,0.240776,0.420543,2.21104,-3.75664,0.0311049,0.0611948,0.0688717,0.209258,1,-1,-1,1,0,1,0,conflict
DTLZ2,3,1,1,12,-1.9459,0.680931,1.00423,-3.68619,0.00235883,0.0981283,0.00345362,0.101258,-1,-1,1,1,1,0,1,agree
DTLZ2,3,1,1,13,-2.86843,0.209781,0.495087,3.30258,0.333168,3.7622,0.613626,1.75741,-1,1,-1,1,0,0,0,conflict
DTLZ2,3,1,1,14,2.70083,0.339525,3.56872,-3.36834,0.451379,0.264773,0.570712,2.15038,1,-1,1,1,1,1,0,conflict
DTLZ2,3,1,1,15,-3.7655,0.0137801,0,3.62545,0.00219127,3.93147,0.137245,3.39189,-1,1,-1,1,0,0,1,conflict
DTLZ2,3,1,1,16,2.63305,0.123776,3.53132,3.74154,0.0466567,3.99233,0.273757,3.86613,1,1,1,0,1,1,1,agree
DTLZ2,3,1,1,17,2.50772,0.038778,3.46215,3.75616,0.0394506,4,0.504299,3.72876,1,1,1,1,1,0,0,agree
DTLZ2,3,1,1,18,2.94892,1.16846,3.70564,-3.7448,0.00942173,0.0674002,0.00799973,0.0965051,1,-1,1,0,1,1,1,conflict
DTLZ2,3,1,1,19,-2.05039,0.451743,0.946554,-2.40095,0.0727938,0.771956,0.138779,0.796186,-1,-1,1,0,1,1,0,agree
DTLZ2,3,1,1,20,2.03329,1.83762,3.20031,3.04919,0.365943,3.62935,0.166069,3.5581,1,1,1,0,1,1,1,agree
DTLZ2,3,1,1,21,-1.06911,0.994735,1.48812,-3.65076,0.016038,0.116704,0.0158681,0.138466,-1,-1,1,1,1,0,1,agree
DTLZ2,3,1,1,22,-3.53377,0.0911871,0.127888,-3.87336,0.00166848,0,0.017979,0.0022993,-1,-1,1,1,1,0,0,agree
DTLZ2,3,1,1,23,-2.00689,0.147135,0.970563,3.62993,0.0332969,3.93382,0.184543,3.38697,-1,1,-1,1,0,0,0,conflict
DTLZ2,3,1,1,24,-3.06611,0.00492693,0.385985,-2.92537,0.667887,0.49701,0.992676,0.386798,-1,-1,-1,1,0,0,0,agree
DTLZ2,3,1,1,25,-2.20449,0.764218,0.861511,2.93094,0.225009,3.56735,0.22746,2.95188,-1,1,1,0,1,1,1,conflict
DTLZ2,3,1,1,26,0.829357,0.9533,2.53587,-3.8667,0.00286673,0.00349369,0.00299918,0.0110888,1,-1,1,0,1,1,1,conflict
DTLZ2,3,1,1,27,1.98205,0.591252,3.17203,3.65157,0.0625851,3.94516,0.095721,3.87116,1,1,1,1,1,1,1,agree
DTLZ2,3,1,1,28,1.97804,0.869652,3.16982,-1.67883,0.61114,1.15054,0.412712,0,1,-1,-1,1,0,1,1,abstain
DTLZ2,3,1,1,29,1.78694,0.249026,3.06436,-3.81669,0.0074792,0.0297112,0.0291618,0.118207,1,-1,1,0,1,1,0,conflict
DTLZ2,3,1,1,30,-2.34266,0.112137,0.785258,2.7303,1.01732,3.46216,0.900715,1.05103,-1,1,-1,1,0,0,0,conflict
DTLZ2,3,1,1,31,0.143694,1.90394,2.15746,-2.7024,0.403039,0.613909,0.174705,0,1,-1,1,0,0,1,1,abstain
DTLZ2,3,1,1,32,0.938737,1.94423,2.59624,-3.29773,0.105651,0.301789,0.0515406,0.420046,1,-1,1,0,1,1,0,conflict
DTLZ2,3,1,1,33,2.81596,0.414533,3.63226,3.26624,0.0881992,3.74314,0.175441,3.72369,1,1,1,1,1,1,1,agree
DTLZ2,3,1,1,34,2.40461,0.689016,3.40524,-3.04973,0.0275523,0.431812,0.0384516,0.546145,1,-1,1,1,1,1,0,conflict
DTLZ2,3,1,1,35,2.50771,0.216591,3.46214,-3.73219,0.0519568,0.0740119,0.193475,0.729532,1,-1,1,1,1,1,0,conflict
DTLZ2,3,1,1,36,1.8311,0.351847,3.08872,-3.81642,0.0241102,0.0298503,0.0641325,0.226024,1,-1,-1,1,0,0,1,conflict
DTLZ2,3,1,1,37,3.41226,0.10148,3.96135,3.74941,0.0418786,3.99646,0.292128,3.9862,1,1,1,1,1,1,1,agree
DTLZ2,3,1,1,38,1.89736,3.01577,3.12529,3.40831,0.0163244,3.81763,0.0053842,3.8139,1,1,1,1,1,1,1,agree
DTLZ2,3,1,1,39,-1.38672,3.62851,1.31283,-0.922822,1.57825,1.54691,0.303115,1.47595,-1,-1,-1,1,0,0,0,agree
DTLZ2,3,1,1,40,-2.5097,0.762892,0.693069,-1.63005,0.0440467,1.17612,0.054586,1.14975,-1,-1,-1,1,0,0,0,agree
DTLZ2,3,1,1,41,3.48228,0.0517066,4,-3.45374,0.16762,0.219998,0.764246,3.10885,1,-1,1,1,1,1,1,conflict
DTLZ2,3,1,1,42,-2.01934,1.00191,0.963695,2.47829,0.155891,3.33004,0.134645,3.01142,-1,1,-1,1,0,0,0,subwin
DTLZ2,3,1,1,43,-0.699275,1.0515,1.69223,-0.59917,0.446937,1.71659,0.298269,1.70932,-1,-1,1,0,1,1,1,agree
DTLZ2,3,1,1,44,1.37221,1.08937,2.83547,-3.57166,0.00997316,0.158177,0.00907281,0.182467,1,-1,1,1,1,1,0,conflict
DTLZ2,3,1,1,45,2.64378,0.0727633,3.53724,-3.30137,0.0974992,0.299881,0.57264,2.15372,1,-1,1,1,1,1,0,conflict
DTLZ2,3,1,1,46,2.97573,0.166948,3.72044,-3.43953,0.0386729,0.227448,0.188082,0.884416,1,-1,1,0,1,1,0,conflict
DTLZ2,3,1,1,47,0.985351,1.45473,2.62196,3.40767,0.0471013,3.81729,0.0313633,3.7798,1,1,1,0,1,1,1,agree
DTLZ2,3,1,1,48,-1.24495,2.43457,1.39107,-1.6355,3.4293,1.17326,0.584818,1.30064,-1,-1,-1,1,0,0,0,agree
DTLZ2,3,1,1,49,-2.99114,0.183669,0.427365,3.49208,0.102746,3.86155,0.358733,2.62959,-1,1,-1,1,0,0,1,conflict
DTLZ2,3,1,1,50,0.00464103,1.06476,2.08071,2.68242,0.256141,3.43706,0.193914,3.17405,1,1,1,1,1,1,0,agree
DTLZ2,3,1,2,1,2.85525,0.75861,3.48103,0.681912,1.49267,2.37815,0.663032,3.1094,1,1,1,0,1,1,1,agree
DTLZ2,3,1,2,2,3.78855,0.035544,3.96776,-3.67765,0.0126634,0.144281,0.262695,1.14869,1,-1,1,0,0,1,0,conflict
DTLZ2,3,1,2,3,-2.72307,1.53709,0.571857,3.5623,0.0203097,3.85408,0.0130414,3.81128,-1,1,-1,1,0,0,1,subwin
DTLZ2,3,1,2,4,-0.343938,0.0794583,1.81261,-3.92172,0.00282742,0.0192185,0.0343724,0.0808616,-1,-1,-1,1,0,0,0,agree
DTLZ2,3,1,2,5,1.10242,2.27107,2.56691,-3.95923,0.000484089,0,0.000213549,0.000548161,1,-1,1,1,1,1,0,conflict
DTLZ2,3,1,2,6,1.87374,1.57628,2.96916,-2.99405,0.0533761,0.494565,0.0327535,0.575616,1,-1,-1,1,0,0,0,conflict
DTLZ2,3,1,2,7,3.62353,0.150038,3.8817,-3.8678,0.00816322,0.0468481,0.051606,0.24475,1,-1,1,1,1,1,0,conflict
DTLZ2,3,1,2,8,-3.81961,0.0212958,0,3.66207,0.00776326,3.9052,0.26717,2.86185,-1,1,1,0,1,0,1,conflict
DTLZ2,3,1,2,9,2.20504,1.78604,3.14194,-3.78625,0.0296317,0.0886335,0.0163205,0.138465,1,-1,1,1,1,1,0,conflict
DTLZ2,3,1,2,10,-3.78691,0.00500493,0.0170506,3.54491,0.142347,3.84517,0.966028,0.1471,-1,1,-1,1,0,0,1,conflict
DTLZ2,3,1,2,11,-2.02492,0.222336,0.935955,2.35493,0.668615,3.23542,0.75045,1.50979,-1,1,-1,1,0,0,0,conflict
DTLZ2,3,1,2,12,1.5831,0.555191,2.81759,-3.94466,0.000520103,0.00746135,0.00093772,0.0100965,1,-1,-1,1,0,0,0,conflict
DTLZ2,3,1,2,13,-3.34221,0.0383511,0.248968,3.25066,0.0784682,3.69439,0.671703,1.38009,-1,1,1,1,1,0,1,conflict
