problem,M,run,gen,FE,N,M_total,p_err_F,p_err_S,k_easy,S_easy
DTLZ2,3,1,1,109,109,3,0.171333,0.0686667,2,[1 2]
DTLZ2,3,1,2,114,100,3,0.086,0.088,2,[1 2]
DTLZ2,3,1,3,118,100,3,0.0746667,0.0853333,2,[1 2]
DTLZ2,3,1,4,122,100,3,0.0546667,0.124667,2,[1 2]
DTLZ2,3,1,5,129,100,3,0.118,0.0646667,2,[1 2]
DTLZ2,3,1,6,135,100,3,0.172,0.17,2,[1 2]
DTLZ2,3,1,7,139,100,3,0.137333,0.0986667,2,[1 2]
DTLZ2,3,1,8,143,100,3,0.129333,0.272,2,[1 3]
DTLZ2,3,1,9,147,100,3,0.141333,0.281333,2,[1 3]
DTLZ2,3,1,10,151,100,3,0.136,0.189333,2,[1 3]
DTLZ2,3,1,11,155,100,3,0.183333,0.094,2,[1 3]
DTLZ2,3,1,12,159,100,3,0.167333,0.138667,2,[1 3]
DTLZ2,3,1,13,163,100,3,0.187333,0.185333,2,[1 3]
DTLZ2,3,1,14,167,100,3,0.180667,0.188667,2,[1 3]
DTLZ2,3,1,15,171,100,3,0.224667,0.148,2,[1 3]
DTLZ2,3,1,16,175,100,3,0.247333,0.265333,2,[1 3]
DTLZ2,3,1,17,179,100,3,0.298667,0.277333,2,[1 3]
DTLZ2,3,1,18,183,100,3,0.344667,0.236667,2,[1 3]
DTLZ2,3,1,19,187,100,3,0.284,0.212,2,[1 3]
DTLZ2,3,1,20,191,100,3,0.328667,0.228,2,[1 3]
DTLZ2,3,1,21,195,100,3,0.158,0.115333,2,[1 3]
DTLZ2,3,1,22,202,100,3,0.274667,0.113333,2,[1 3]
DTLZ2,3,1,23,206,100,3,0.206667,0.11,2,[1 3]
DTLZ2,3,1,24,210,100,3,0.224,0.118,2,[3 1]
DTLZ2,3,1,25,214,100,3,0.335333,0.167333,2,[3 1]
DTLZ2,3,1,26,218,100,3,0.304667,0.16,2,[3 1]
DTLZ2,3,1,27,222,100,3,0.308667,0.188667,2,[3 1]
DTLZ2,3,1,28,226,100,3,0.28,0.146667,2,[3 1]
DTLZ2,3,1,29,230,100,3,0.330667,0.208,2,[3 1]
DTLZ2,3,1,30,234,100,3,0.305333,0.18,2,[3 1]
DTLZ2,3,1,31,238,100,3,0.300667,0.176667,2,[3 1]
DTLZ2,3,1,32,242,100,3,0.310667,0.162,2,[3 1]
DTLZ2,3,1,33,246,100,3,0.23,0.138667,2,[3 1]
DTLZ2,3,1,34,251,100,3,0.236667,0.124,2,[3 1]
DTLZ2,3,1,35,255,100,3,0.300667,0.129333,2,[3 1]
DTLZ2,3,1,36,259,100,3,0.266,0.150667,2,[3 1]
DTLZ2,3,1,37,263,100,3,0.312,0.126,2,[3 1]
DTLZ2,3,1,38,267,100,3,0.325333,0.132667,2,[3 1]
DTLZ2,3,1,39,271,100,3,0.285333,0.114,2,[3 1]
DTLZ2,3,1,40,275,100,3,0.330667,0.138,2,[3 1]
DTLZ2,3,1,41,279,100,3,0.338667,0.133333,2,[3 1]
DTLZ2,3,1,42,283,100,3,0.312667,0.124,2,[3 1]
DTLZ2,3,1,43,287,100,3,0.308,0.104,2,[3 1]
DTLZ2,3,1,44,291,100,3,0.326667,0.0886667,2,[3 1]
DTLZ2,3,1,45,296,100,3,0.322,0.100667,2,[3 1]
DTLZ2,3,2,1,109,109,3,0.246667,0.0686667,2,[1 2]
DTLZ2,3,2,2,118,100,3,0.183333,0.0646667,2,[1 2]
DTLZ2,3,2,3,123,100,3,0.179333,0.0693333,2,[1 2]
DTLZ2,3,2,4,127,100,3,0.149333,0.0453333,2,[1 2]
DTLZ2,3,2,5,131,100,3,0.176,0.0646667,2,[1 2]
DTLZ2,3,2,6,135,100,3,0.158,0.102,2,[1 2]
DTLZ2,3,2,7,140,100,3,0.172667,0.152,2,[1 2]
DTLZ2,3,2,8,144,100,3,0.195333,0.16,2,[1 2]
DTLZ2,3,2,9,148,100,3,0.07,0.13,2,[1 2]
DTLZ2,3,2,10,152,100,3,0.0633333,0.0826667,2,[1 2]
DTLZ2,3,2,11,157,100,3,0.06,0.0913333,2,[1 2]
DTLZ2,3,2,12,161,100,3,0.121333,0.168667,2,[1 2]
DTLZ2,3,2,13,165,100,3,0.22,0.12,2,[1 2]
DTLZ2,3,2,14,169,100,3,0.236667,0.174667,2,[1 2]
DTLZ2,3,2,15,173,100,3,0.230667,0.102,2,[1 2]
DTLZ2,3,2,16,177,100,3,0.254667,0.106,2,[1 2]
DTLZ2,3,2,17,181,100,3,0.322,0.0993333,2,[1 2]
DTLZ2,3,2,18,185,100,3,0.294,0.154667,2,[1 2]
DTLZ2,3,2,19,189,100,3,0.167333,0.185333,2,[2 3]
DTLZ2,3,2,20,193,100,3,0.154,0.151333,2,[2 1]
DTLZ2,3,2,21,197,100,3,0.216,0.148,2,[1 2]
DTLZ2,3,2,22,201,100,3,0.176667,0.204,2,[1 2]
DTLZ2,3,2,23,205,100,3,0.172,0.0986667,2,[1 2]
DTLZ2,3,2,24,209,100,3,0.195333,0.122,2,[1 2]
DTLZ2,3,2,25,213,100,3,0.224,0.136667,2,[1 2]
DTLZ2,3,2,26,217,100,3,0.216667,0.078,2,[1 2]
DTLZ2,3,2,27,221,100,3,0.167333,0.163333,2,[1 2]
DTLZ2,3,2,28,225,100,3,0.220667,0.209333,2,[1 2]
DTLZ2,3,2,29,229,100,3,0.209333,0.164,2,[1 2]
DTLZ2,3,2,30,233,100,3,0.227333,0.193333,2,[1 2]
