Problem,M,Metric,View,Truth,ArmA,ArmB,HigherIsBetter,ValidPairs,MeanA,MeanB,MeanDeltaAminusB,MedianDeltaAminusB,MeanRelativeImprovementPct,PairedWinProbability,RankBiserial,PValueRaw
DTLZ2,10,IGD,-,-,lambda030,lambda050,0,25,0.919213438855345,0.948153859350209,-0.0289404204948635,-0.0332429141688257,2.59137192065109,0.6,0.261538461538462,0.252812901016408
DTLZ2,10,Precision,score_hybrid,population_final,lambda030,lambda050,1,25,0.394483582089552,0.421779104477612,-0.0272955223880597,-0.040597014925373,-4.94512538585211,0.28,-0.461538461538462,0.04357983755223
DTLZ2,10,Precision,score_hybrid,front_final,lambda030,lambda050,1,25,0.776859701492537,0.795128358208955,-0.0182686567164179,-0.0322388059701492,-0.803221402456526,0.4,-0.187692307692308,0.411839500245909
DTLZ2,10,Precision,score_hybrid,population_h1,lambda030,lambda050,1,25,0.955612121212121,0.960848484848485,-0.00523636363636363,-0.00363636363636355,-0.538502896946114,0.36,-0.421538461538462,0.0611667018417369
DTLZ2,10,Precision,score_v,population_final,lambda030,lambda050,1,25,0.382829850746269,0.401313432835821,-0.0184835820895522,-0.0334328358208955,-2.47412617465222,0.36,-0.273846153846154,0.231167212861145
DTLZ2,10,Precision,score_v,front_final,lambda030,lambda050,1,25,0.789205970149254,0.804919402985075,-0.0157134328358209,0.00716417910447753,-0.3346778737522,0.52,-0.129230769230769,0.572025665587246
DTLZ2,10,Precision,score_v,population_h1,lambda030,lambda050,1,25,0.9544,0.957721212121212,-0.00332121212121208,-0.00121212121212111,-0.336631529194149,0.44,-0.249230769230769,0.271234292842765
DTLZ2,10,Precision,anchor_margin,population_final,lambda030,lambda050,1,25,0.375880597014925,0.378340298507463,-0.00245970149253731,-0.0107462686567164,1.32561731319302,0.4,-0.0892307692307692,0.696412414499092
DTLZ2,10,Precision,anchor_margin,front_final,lambda030,lambda050,1,25,0.725850746268657,0.739964179104478,-0.0141134328358209,-0.0334328358208954,-0.0446658139889561,0.36,-0.212307692307692,0.360256521862842
DTLZ2,10,Precision,anchor_margin,population_h1,lambda030,lambda050,1,25,0.950690909090909,0.952727272727273,-0.00203636363636364,-0.000606060606060499,-0.207639255679667,0.44,-0.187692307692308,0.396550519968817
DTLZ2,20,IGD,-,-,lambda030,lambda050,0,25,1.01896421912056,1.02480922600414,-0.00584500688357763,-0.00282712475898106,0.373643599611131,0.52,0.0338461538461538,0.882352226991577
DTLZ2,20,Precision,score_hybrid,population_final,lambda030,lambda050,1,25,0.358829850746269,0.383832835820895,-0.0250029850746269,-0.0256716417910448,-5.22443372077839,0.36,-0.378461538461538,0.0979549378448583
DTLZ2,20,Precision,score_hybrid,front_final,lambda030,lambda050,1,25,0.882770149253731,0.888764179104478,-0.00599402985074627,-0.000597014925373118,-0.262212701276172,0.48,-0.0523076923076923,0.819087249013281
