Problem,M,Run,Seed,Stage,View,SelectionRule,Truth,TruthType,Horizon,NumberOfCheckpoints,ValidPrecisionCheckpoints,MeanSelectedRate,MeanPrecision,MeanRecall,MeanChance,MeanLift,MeanAUC,MeanRetentionRate
DTLZ2,10,1,11001,"S1_[0,0.25]",label_dyn,native,front_final,nondominated,FINAL,5,5,0.484,0.298862355107437,0.788262193946405,0.184,1.64708041051487,0.686119782304323,NaN
DTLZ2,10,1,11001,"S1_[0,0.25]",label_dyn,native,front_h1,nondominated,H1,5,5,0.484,1,0.521691868699815,0.928,1.08302274216142,0.749807417937385,NaN
DTLZ2,10,1,11001,"S1_[0,0.25]",label_dyn,native,front_h3,nondominated,H3,5,5,0.484,0.992465992326474,0.527614714175852,0.91,1.09415959511009,0.72214069042126,NaN
DTLZ2,10,1,11001,"S1_[0,0.25]",label_dyn,native,population_final,retention,FINAL,5,5,0.484,0.0187425475134043,1,0.01,2.03086174403734,0.752195494463536,0.0187425475134043
DTLZ2,10,1,11001,"S1_[0,0.25]",label_dyn,native,population_h1,retention,H1,5,5,0.484,0.99672131147541,0.512809546171537,0.94,1.06038998505524,0.739738106419102,0.99672131147541
DTLZ2,10,1,11001,"S1_[0,0.25]",label_dyn,native,population_h3,retention,H3,5,5,0.484,0.967166067763889,0.556052782558807,0.838,1.15413472441344,0.72251168539705,0.967166067763889
DTLZ2,10,1,11001,"S2_(0.25,0.50]",label_dyn,native,front_final,nondominated,FINAL,21,21,0.534285714285714,0.519981943679428,0.703909789910105,0.403333333333333,1.31188824180378,0.636986962182703,NaN
DTLZ2,10,1,11001,"S2_(0.25,0.50]",label_dyn,native,front_h1,nondominated,H1,21,21,0.534285714285714,0.993360810270552,0.537970597792624,0.985714285714286,1.00797503748894,0.674881025165687,NaN
DTLZ2,10,1,11001,"S2_(0.25,0.50]",label_dyn,native,front_h3,nondominated,H3,21,21,0.534285714285714,0.972628306183115,0.546598512362561,0.94952380952381,1.0247774093271,0.633803187909636,NaN
DTLZ2,10,1,11001,"S2_(0.25,0.50]",label_dyn,native,population_final,retention,FINAL,21,21,0.534285714285714,0.149267761728249,0.801204055825905,0.0976190476190476,1.50951534683906,0.648377357947091,0.149267761728249
