Problem,M,Stage,Truth,Metric,ViewA,ViewB,AvailablePairedRuns,ValidPairs,MeanA,MeanB,MeanDelta,MedianDelta,MeanRelativeImprovementPct,PValueRaw,PairedWinProbability,RankBiserial,PValueHolm,RejectHolm05
DTLZ2,10,"S1_[0,0.25]",front_final,Precision,score_hybrid,score_v,25,25,0.30688,0.30912,-0.00224,-0.00800000000000001,2.17235767875206,0.378637902659354,0.38,-0.185770750988142,1,0
DTLZ2,10,"S1_[0,0.25]",front_final,Precision,score_hybrid,anchor_margin,25,25,0.30688,0.2368,0.07008,0.032,36.2384263878958,0.00926456594669168,0.74,0.606666666666667,0.0648519616268418,0
DTLZ2,10,"S1_[0,0.25]",front_final,Precision,score_v,anchor_margin,25,25,0.30912,0.2368,0.07232,0.056,40.0920294131945,0.00785843570550243,0.78,0.62,0.0628674856440195,0
DTLZ2,10,"S1_[0,0.25]",front_final,AUC,score_hybrid,score_v,25,25,0.745236535781367,0.74193108409559,0.00330545168577643,-0.00117691505946316,1.01172609569281,0.967805826528675,0.44,0.00923076923076923,1,0
DTLZ2,10,"S1_[0,0.25]",front_final,AUC,score_hybrid,anchor_margin,25,25,0.745236535781367,0.676763256058266,0.0684732797231006,0.0771232066710515,11.352054282802,0.0015692533679153,0.84,0.723076923076923,0.0109847735754071,1
DTLZ2,10,"S1_[0,0.25]",front_final,AUC,score_v,anchor_margin,25,25,0.74193108409559,0.676763256058266,0.0651678280373242,0.0793950475323929,11.4977472795062,0.0160327748216405,0.72,0.550769230769231,0.0801638741082026,0
DTLZ2,10,"S1_[0,0.25]",front_final,Lift,score_hybrid,score_v,25,25,2.09293581534788,2.09284433320482,9.14821430628887e-05,-0.0612856251300187,2.51296410537661,0.692551847114631,0.4,-0.0942028985507246,1,0
DTLZ2,10,"S1_[0,0.25]",front_final,Lift,score_hybrid,anchor_margin,25,25,2.09293581534788,1.68338360816272,0.40955220718516,0.105555555555556,37.7380288694788,0.0450095794058843,0.68,0.458461538461538,0.270057476435306,0
DTLZ2,10,"S1_[0,0.25]",front_final,Lift,score_v,anchor_margin,25,25,2.09284433320482,1.68338360816272,0.409460725042097,0.33,40.921213392199,0.0264309737781526,0.68,0.507692307692308,0.185016816447068,0
DTLZ2,10,"S1_[0,0.25]",front_h1,Precision,score_hybrid,score_v,25,25,0.9872,0.98432,0.00288,0,0.301051464701508,0.17138671875,0.6,0.43956043956044,0.3427734375,0
DTLZ2,10,"S1_[0,0.25]",front_h1,Precision,score_hybrid,anchor_margin,25,25,0.9872,0.93056,0.05664,0.024,7.0244721081052,0.000392164473692996,0.82,0.861660079051383,0.00470597368431596,1
DTLZ2,10,"S1_[0,0.25]",front_h1,Precision,score_v,anchor_margin,25,25,0.98432,0.93056,0.05376,0.024,6.69829620154943,0.000879769788046771,0.76,0.826839826839827,0.00879769788046771,1
DTLZ2,10,"S1_[0,0.25]",front_h1,AUC,score_hybrid,score_v,25,25,0.91428804760547,0.942410375749531,-0.0281223281440612,-0.0277016566884988,-2.87112242102737,0.000545135029590116,0.24,-0.790769230769231,0.00545135029590116,1
