Problem,M,Run,Seed,Stage,View,SelectionRule,Truth,TruthType,Horizon,NumberOfCheckpoints,ValidPrecisionCheckpoints,MeanSelectedRate,MeanPrecision,MeanRecall,MeanChance,MeanLift,MeanAUC,MeanRetentionRate
DTLZ2,10,1,11001,"S1_[0,0.25]",anchor_margin,top25,front_final,nondominated,FINAL,5,5,0.25,0.376,0.518479275110854,0.184,2.07391710044342,0.750581534194371,NaN
DTLZ2,10,1,11001,"S1_[0,0.25]",anchor_margin,top25,front_h1,nondominated,H1,5,5,0.25,1,0.270755685540356,0.928,1.08302274216142,0.882789214991342,NaN
DTLZ2,10,1,11001,"S1_[0,0.25]",anchor_margin,top25,front_h3,nondominated,H3,5,5,0.25,0.992,0.273397798155873,0.91,1.09359119262349,0.825406165137281,NaN
DTLZ2,10,1,11001,"S1_[0,0.25]",anchor_margin,top25,population_final,retention,FINAL,5,5,0.25,0.032,0.888888888888889,0.01,3.55555555555556,0.8983998056163,0.032
DTLZ2,10,1,11001,"S1_[0,0.25]",anchor_margin,top25,population_h1,retention,H1,5,5,0.25,1,0.26596948789269,0.94,1.06387795157076,0.839558518809034,1
DTLZ2,10,1,11001,"S1_[0,0.25]",anchor_margin,top25,population_h3,retention,H3,5,5,0.25,0.968,0.288755020080321,0.838,1.15502008032128,0.805364103472714,0.968
DTLZ2,10,1,11001,"S1_[0,0.25]",label_dyn,native,front_final,nondominated,FINAL,5,5,0.484,0.298862355107437,0.788262193946405,0.184,1.64708041051487,0.686119782304323,NaN
DTLZ2,10,1,11001,"S1_[0,0.25]",label_dyn,native,front_h1,nondominated,H1,5,5,0.484,1,0.521691868699815,0.928,1.08302274216142,0.749807417937385,NaN
DTLZ2,10,1,11001,"S1_[0,0.25]",label_dyn,native,front_h3,nondominated,H3,5,5,0.484,0.992465992326474,0.527614714175852,0.91,1.09415959511009,0.72214069042126,NaN
DTLZ2,10,1,11001,"S1_[0,0.25]",label_dyn,native,population_final,retention,FINAL,5,5,0.484,0.0187425475134043,1,0.01,2.03086174403734,0.752195494463536,0.0187425475134043
DTLZ2,10,1,11001,"S1_[0,0.25]",label_dyn,native,population_h1,retention,H1,5,5,0.484,0.99672131147541,0.512809546171537,0.94,1.06038998505524,0.739738106419102,0.99672131147541
DTLZ2,10,1,11001,"S1_[0,0.25]",label_dyn,native,population_h3,retention,H3,5,5,0.484,0.967166067763889,0.556052782558807,0.838,1.15413472441344,0.72251168539705,0.967166067763889
DTLZ2,10,1,11001,"S1_[0,0.25]",score_hybrid,top25,front_final,nondominated,FINAL,5,5,0.25,0.336,0.458232504337768,0.184,1.83293001735107,0.703294972359625,NaN
DTLZ2,10,1,11001,"S1_[0,0.25]",score_hybrid,top25,front_h1,nondominated,H1,5,5,0.25,1,0.270755685540356,0.928,1.08302274216142,0.989945749118901,NaN
DTLZ2,10,1,11001,"S1_[0,0.25]",score_hybrid,top25,front_h3,nondominated,H3,5,5,0.25,1,0.275525457730341,0.91,1.10210183092136,0.895103762415689,NaN
DTLZ2,10,1,11001,"S1_[0,0.25]",score_hybrid,top25,population_final,retention,FINAL,5,5,0.25,0.04,1,0.01,4,0.926238328300184,0.04
DTLZ2,10,1,11001,"S1_[0,0.25]",score_hybrid,top25,population_h1,retention,H1,5,5,0.25,1,0.26596948789269,0.94,1.06387795157076,0.904809446402554,1
DTLZ2,10,1,11001,"S1_[0,0.25]",score_hybrid,top25,population_h3,retention,H3,5,5,0.25,0.992,0.295955249569707,0.838,1.18382099827883,0.873024661671898,0.992
DTLZ2,10,1,11001,"S1_[0,0.25]",score_v,top25,front_final,nondominated,FINAL,5,5,0.25,0.264,0.360702525544631,0.184,1.44281010217852,0.648555447398237,NaN
DTLZ2,10,1,11001,"S1_[0,0.25]",score_v,top25,front_h1,nondominated,H1,5,5,0.25,1,0.270755685540356,0.928,1.08302274216142,0.987964415975428,NaN
DTLZ2,10,1,11001,"S1_[0,0.25]",score_v,top25,front_h3,nondominated,H3,5,5,0.25,1,0.275525457730341,0.91,1.10210183092136,0.889496089517931,NaN
DTLZ2,10,1,11001,"S1_[0,0.25]",score_v,top25,population_final,retention,FINAL,5,5,0.25,0.032,0.888888888888889,0.01,3.55555555555556,0.917074525321948,0.032
