Problem,M,Stage,Truth,Metric,ViewA,ViewB,AvailablePairedRuns,ValidPairs,MeanA,MeanB,MeanDelta,MedianDelta,MeanRelativeImprovementPct,PValueRaw,PairedWinProbability,RankBiserial,PValueHolm,RejectHolm05
WFG3,2,"S4_(0.75,1.00]",front_final,Precision,score_hybrid,score_v,1,1,0.625,0.25,0.375,0.375,150,NaN,1,1,NaN,0
WFG3,2,"S4_(0.75,1.00]",front_final,Precision,score_hybrid,anchor_margin,1,1,0.625,0.625,0,0,0,NaN,0.5,0,NaN,0
WFG3,2,"S4_(0.75,1.00]",front_final,Precision,score_v,anchor_margin,1,1,0.25,0.625,-0.375,-0.375,-60,NaN,0,-1,NaN,0
WFG3,2,"S4_(0.75,1.00]",front_final,AUC,score_hybrid,score_v,1,1,0.786363636363636,0.545454545454545,0.240909090909091,0.240909090909091,44.1666666666667,NaN,1,1,NaN,0
WFG3,2,"S4_(0.75,1.00]",front_final,AUC,score_hybrid,anchor_margin,1,1,0.786363636363636,0.8,-0.0136363636363637,-0.0136363636363637,-1.70454545454546,NaN,0,-1,NaN,0
WFG3,2,"S4_(0.75,1.00]",front_final,AUC,score_v,anchor_margin,1,1,0.545454545454545,0.8,-0.254545454545455,-0.254545454545455,-31.8181818181818,NaN,0,-1,NaN,0
WFG3,2,"S4_(0.75,1.00]",front_final,Lift,score_hybrid,score_v,1,1,2,0.8,1.2,1.2,150,NaN,1,1,NaN,0
WFG3,2,"S4_(0.75,1.00]",front_final,Lift,score_hybrid,anchor_margin,1,1,2,2,0,0,0,NaN,0.5,0,NaN,0
WFG3,2,"S4_(0.75,1.00]",front_final,Lift,score_v,anchor_margin,1,1,0.8,2,-1.2,-1.2,-60,NaN,0,-1,NaN,0
WFG3,2,"S4_(0.75,1.00]",front_h1,Precision,score_hybrid,score_v,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",front_h1,Precision,score_hybrid,anchor_margin,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",front_h1,Precision,score_v,anchor_margin,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",front_h1,AUC,score_hybrid,score_v,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",front_h1,AUC,score_hybrid,anchor_margin,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",front_h1,AUC,score_v,anchor_margin,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",front_h1,Lift,score_hybrid,score_v,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",front_h1,Lift,score_hybrid,anchor_margin,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",front_h1,Lift,score_v,anchor_margin,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",front_h3,Precision,score_hybrid,score_v,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",front_h3,Precision,score_hybrid,anchor_margin,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",front_h3,Precision,score_v,anchor_margin,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",front_h3,AUC,score_hybrid,score_v,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",front_h3,AUC,score_hybrid,anchor_margin,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",front_h3,AUC,score_v,anchor_margin,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",front_h3,Lift,score_hybrid,score_v,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",front_h3,Lift,score_hybrid,anchor_margin,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",front_h3,Lift,score_v,anchor_margin,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_final,Precision,score_hybrid,score_v,1,1,0.75,0.375,0.375,0.375,100,NaN,1,1,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_final,Precision,score_hybrid,anchor_margin,1,1,0.75,0.75,0,0,0,NaN,0.5,0,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_final,Precision,score_v,anchor_margin,1,1,0.375,0.75,-0.375,-0.375,-50,NaN,0,-1,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_final,AUC,score_hybrid,score_v,1,1,0.591093117408907,0.461538461538462,0.129554655870445,0.129554655870445,28.0701754385965,NaN,1,1,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_final,AUC,score_hybrid,anchor_margin,1,1,0.591093117408907,0.744939271255061,-0.153846153846154,-0.153846153846154,-20.6521739130435,NaN,0,-1,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_final,AUC,score_v,anchor_margin,1,1,0.461538461538462,0.744939271255061,-0.283400809716599,-0.283400809716599,-38.0434782608696,NaN,0,-1,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_final,Lift,score_hybrid,score_v,1,1,1.26315789473684,0.631578947368421,0.631578947368421,0.631578947368421,100,NaN,1,1,NaN,0
