Problem,M,Run,Seed,Stage,View,SelectionRule,Truth,TruthType,Horizon,NumberOfCheckpoints,ValidPrecisionCheckpoints,MeanSelectedRate,MeanPrecision,MeanRecall,MeanChance,MeanLift,MeanAUC,MeanRetentionRate
WFG3,2,1,40201,"S4_(0.75,1.00]",anchor_margin,top25,front_final,nondominated,FINAL,1,1,0.25,0.625,0.5,0.3125,2,0.8,NaN
WFG3,2,1,40201,"S4_(0.75,1.00]",anchor_margin,top25,front_h1,nondominated,H1,1,0,0.25,NaN,NaN,NaN,NaN,NaN,NaN
WFG3,2,1,40201,"S4_(0.75,1.00]",anchor_margin,top25,front_h3,nondominated,H3,1,0,0.25,NaN,NaN,NaN,NaN,NaN,NaN
WFG3,2,1,40201,"S4_(0.75,1.00]",anchor_margin,top25,population_final,retention,FINAL,1,1,0.25,0.75,0.315789473684211,0.59375,1.26315789473684,0.744939271255061,0.75
WFG3,2,1,40201,"S4_(0.75,1.00]",anchor_margin,top25,population_h1,retention,H1,1,0,0.25,NaN,NaN,NaN,NaN,NaN,NaN
WFG3,2,1,40201,"S4_(0.75,1.00]",anchor_margin,top25,population_h3,retention,H3,1,0,0.25,NaN,NaN,NaN,NaN,NaN,NaN
WFG3,2,1,40201,"S4_(0.75,1.00]",label_dyn,native,front_final,nondominated,FINAL,1,1,0.3125,0.7,0.7,0.3125,2.24,0.781818181818182,NaN
WFG3,2,1,40201,"S4_(0.75,1.00]",label_dyn,native,front_h1,nondominated,H1,1,0,0.3125,NaN,NaN,NaN,NaN,NaN,NaN
WFG3,2,1,40201,"S4_(0.75,1.00]",label_dyn,native,front_h3,nondominated,H3,1,0,0.3125,NaN,NaN,NaN,NaN,NaN,NaN
WFG3,2,1,40201,"S4_(0.75,1.00]",label_dyn,native,population_final,retention,FINAL,1,1,0.3125,0.8,0.421052631578947,0.59375,1.34736842105263,0.633603238866397,0.8
WFG3,2,1,40201,"S4_(0.75,1.00]",label_dyn,native,population_h1,retention,H1,1,0,0.3125,NaN,NaN,NaN,NaN,NaN,NaN
WFG3,2,1,40201,"S4_(0.75,1.00]",label_dyn,native,population_h3,retention,H3,1,0,0.3125,NaN,NaN,NaN,NaN,NaN,NaN
WFG3,2,1,40201,"S4_(0.75,1.00]",score_hybrid,top25,front_final,nondominated,FINAL,1,1,0.25,0.625,0.5,0.3125,2,0.786363636363636,NaN
WFG3,2,1,40201,"S4_(0.75,1.00]",score_hybrid,top25,front_h1,nondominated,H1,1,0,0.25,NaN,NaN,NaN,NaN,NaN,NaN
WFG3,2,1,40201,"S4_(0.75,1.00]",score_hybrid,top25,front_h3,nondominated,H3,1,0,0.25,NaN,NaN,NaN,NaN,NaN,NaN
WFG3,2,1,40201,"S4_(0.75,1.00]",score_hybrid,top25,population_final,retention,FINAL,1,1,0.25,0.75,0.315789473684211,0.59375,1.26315789473684,0.591093117408907,0.75
WFG3,2,1,40201,"S4_(0.75,1.00]",score_hybrid,top25,population_h1,retention,H1,1,0,0.25,NaN,NaN,NaN,NaN,NaN,NaN
WFG3,2,1,40201,"S4_(0.75,1.00]",score_hybrid,top25,population_h3,retention,H3,1,0,0.25,NaN,NaN,NaN,NaN,NaN,NaN
WFG3,2,1,40201,"S4_(0.75,1.00]",score_v,top25,front_final,nondominated,FINAL,1,1,0.25,0.25,0.2,0.3125,0.8,0.545454545454545,NaN
WFG3,2,1,40201,"S4_(0.75,1.00]",score_v,top25,front_h1,nondominated,H1,1,0,0.25,NaN,NaN,NaN,NaN,NaN,NaN
WFG3,2,1,40201,"S4_(0.75,1.00]",score_v,top25,front_h3,nondominated,H3,1,0,0.25,NaN,NaN,NaN,NaN,NaN,NaN
WFG3,2,1,40201,"S4_(0.75,1.00]",score_v,top25,population_final,retention,FINAL,1,1,0.25,0.375,0.157894736842105,0.59375,0.631578947368421,0.461538461538462,0.375
WFG3,2,1,40201,"S4_(0.75,1.00]",score_v,top25,population_h1,retention,H1,1,0,0.25,NaN,NaN,NaN,NaN,NaN,NaN
WFG3,2,1,40201,"S4_(0.75,1.00]",score_v,top25,population_h3,retention,H3,1,0,0.25,NaN,NaN,NaN,NaN,NaN,NaN
