Problem,Run,File,Status,IGD,Runtime,FE,D,Seconds
WFG9,1,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG9_M10_D30_1.mat,done,5.97276016427137,332.7907173,300,30,334.2702169
WFG9,2,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG9_M10_D30_2.mat,done,6.10521876663001,315.4448903,300,30,316.6477721
WFG9,3,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG9_M10_D30_3.mat,done,5.9111949355265,303.8781496,300,30,304.9579551
WFG9,4,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG9_M10_D30_4.mat,done,5.87043140423806,288.5704445,300,30,289.7230474
WFG9,5,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG9_M10_D30_5.mat,done,5.55733096777479,290.7558717,300,30,292.0831858
WFG9,6,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG9_M10_D30_6.mat,done,5.56307268216424,294.0869633,300,30,295.2985187
WFG9,7,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG9_M10_D30_7.mat,done,5.74802733792925,297.8546275,300,30,298.9995473
WFG9,8,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG9_M10_D30_8.mat,done,6.82534341376947,289.5369323,300,30,290.7913993
WFG9,9,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG9_M10_D30_9.mat,done,6.12669016209245,283.9079709,300,30,285.0014792
WFG9,10,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG9_M10_D30_10.mat,done,6.33105515644602,234.905039,300,30,235.8066654
