[2026-09-14 09:48:24] part 1 attempt 1 launching MATLAB (alg=REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted params=3000,0.50,0.25,0.70,6 func=run_WeightedWFG_M5D10)
[2026-09-14 09:48:30] PlatEMO root: D:\PlatEMO-master\PlatEMO-master\PlatEMO
[2026-09-14 09:48:41] WFG1: M=5 D=10 maxFE=300 (canonical index 8)
[2026-09-14 09:48:45] WFG2: M=5 D=10 maxFE=300 (canonical index 9)
[2026-09-14 09:48:45] WFG3: M=5 D=10 maxFE=300 (canonical index 10)
[2026-09-14 09:48:46] WFG4: M=5 D=10 maxFE=300 (canonical index 11)
[2026-09-14 09:48:46] WFG5: M=5 D=10 maxFE=300 (canonical index 12)
[2026-09-14 09:48:46] WFG6: M=5 D=10 maxFE=300 (canonical index 13)
[2026-09-14 09:48:46] WFG7: M=5 D=10 maxFE=300 (canonical index 14)
[2026-09-14 09:48:46] WFG8: M=5 D=10 maxFE=300 (canonical index 15)
[2026-09-14 09:48:46] WFG9: M=5 D=10 maxFE=300 (canonical index 16)
[2026-09-14 09:48:46] Algorithm REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted | parameters [3000            0.5           0.25            0.7              6]
[2026-09-14 09:48:46] SaveCount 30 | Runs 30 | M 5 | requested D 10 | N 100 | maxFE 300 | modeRunId 1 | seedBase 20260912
[2026-09-14 09:48:46] Slice 1/4 -> 68 of 270 jobs
[2026-09-14 09:48:49] [skip] D:\REMOandDREMO²âÊÔ¼¯\5Ä¿±ê\n10\REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted\REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted_WFG1_M5_D10_1.mat (valid, final IGD 2.144141)
[2026-09-14 09:50:56] [done] WFG1 run 5 seed 20768917 | IGD first 2.73344 -> final 2.22333 | runtime 124.6s | wall 125.3s | ok
[2026-09-14 09:52:55] [done] WFG1 run 9 seed 20768921 | IGD first 2.70021 -> final 2.01153 | runtime 118.1s | wall 118.6s | ok
[2026-09-14 09:55:06] [done] WFG1 run 13 seed 20768925 | IGD first 2.76162 -> final 2.08125 | runtime 128.4s | wall 128.8s | ok
[2026-09-14 09:57:02] [done] WFG1 run 17 seed 20768929 | IGD first 2.64772 -> final 2.15817 | runtime 115.2s | wall 115.5s | ok
[2026-09-14 09:58:52] [done] WFG1 run 21 seed 20768933 | IGD first 2.6721 -> final 2.13301 | runtime 107.8s | wall 108.2s | ok
[2026-09-14 10:00:49] [done] WFG1 run 25 seed 20768937 | IGD first 2.73474 -> final 2.16068 | runtime 115.9s | wall 116.2s | ok
[2026-09-14 10:02:48] [done] WFG1 run 29 seed 20768941 | IGD first 2.61062 -> final 2.06055 | runtime 117.8s | wall 118.1s | ok
[2026-09-14 10:04:49] [done] WFG2 run 3 seed 20769915 | IGD first 1.92142 -> final 0.893215 | runtime 119.1s | wall 119.4s | ok
[2026-09-14 10:06:49] [done] WFG2 run 7 seed 20769919 | IGD first 1.85139 -> final 0.816858 | runtime 118.2s | wall 118.5s | ok
[2026-09-14 10:08:52] [done] WFG2 run 11 seed 20769923 | IGD first 2.16383 -> final 0.891915 | runtime 120.4s | wall 120.7s | ok
[2026-09-14 10:10:51] [done] WFG2 run 15 seed 20769927 | IGD first 2.98872 -> final 0.883344 | runtime 117.0s | wall 117.3s | ok
[2026-09-14 10:12:49] [done] WFG2 run 19 seed 20769931 | IGD first 2.05816 -> final 0.718767 | runtime 116.5s | wall 116.8s | ok
[2026-09-14 10:14:45] [done] WFG2 run 23 seed 20769935 | IGD first 1.89065 -> final 0.773033 | runtime 114.2s | wall 114.5s | ok
[2026-09-14 10:16:40] [done] WFG2 run 27 seed 20769939 | IGD first 1.54323 -> final 0.872453 | runtime 112.4s | wall 112.7s | ok
