[2026-09-14 09:48:25] part 3 attempt 1 launching MATLAB (alg=REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted params=3000,0.50,0.25,0.70,6 func=run_WeightedWFG_M5D10)
[2026-09-14 09:48:31] PlatEMO root: D:\PlatEMO-master\PlatEMO-master\PlatEMO
[2026-09-14 09:48:41] WFG1: M=5 D=10 maxFE=300 (canonical index 8)
[2026-09-14 09:48:46] WFG2: M=5 D=10 maxFE=300 (canonical index 9)
[2026-09-14 09:48:46] WFG3: M=5 D=10 maxFE=300 (canonical index 10)
[2026-09-14 09:48:46] WFG4: M=5 D=10 maxFE=300 (canonical index 11)
[2026-09-14 09:48:46] WFG5: M=5 D=10 maxFE=300 (canonical index 12)
[2026-09-14 09:48:46] WFG6: M=5 D=10 maxFE=300 (canonical index 13)
[2026-09-14 09:48:46] WFG7: M=5 D=10 maxFE=300 (canonical index 14)
[2026-09-14 09:48:46] WFG8: M=5 D=10 maxFE=300 (canonical index 15)
[2026-09-14 09:48:46] WFG9: M=5 D=10 maxFE=300 (canonical index 16)
[2026-09-14 09:48:46] Algorithm REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted | parameters [3000            0.5           0.25            0.7              6]
[2026-09-14 09:48:46] SaveCount 30 | Runs 30 | M 5 | requested D 10 | N 100 | maxFE 300 | modeRunId 1 | seedBase 20260912
[2026-09-14 09:48:46] Slice 3/4 -> 67 of 270 jobs
[2026-09-14 09:50:48] [done] WFG1 run 3 seed 20768915 | IGD first 2.72598 -> final 2.13325 | runtime 117.7s | wall 118.6s | ok
[2026-09-14 09:52:45] [done] WFG1 run 7 seed 20768919 | IGD first 2.74369 -> final 2.2103 | runtime 115.9s | wall 116.3s | ok
[2026-09-14 09:54:58] [done] WFG1 run 11 seed 20768923 | IGD first 2.7438 -> final 2.17414 | runtime 130.8s | wall 131.2s | ok
[2026-09-14 09:56:52] [done] WFG1 run 15 seed 20768927 | IGD first 2.67318 -> final 2.06411 | runtime 112.2s | wall 112.6s | ok
[2026-09-14 09:58:45] [done] WFG1 run 19 seed 20768931 | IGD first 2.60205 -> final 2.05701 | runtime 111.8s | wall 112.1s | ok
[2026-09-14 10:00:42] [done] WFG1 run 23 seed 20768935 | IGD first 2.70951 -> final 2.18181 | runtime 115.4s | wall 115.8s | ok
[2026-09-14 10:02:37] [done] WFG1 run 27 seed 20768939 | IGD first 2.63843 -> final 2.12193 | runtime 113.4s | wall 113.8s | ok
[2026-09-14 10:02:39] [skip] D:\REMOandDREMO²âÊÔ¼¯\5Ä¿±ê\n10\REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted\REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted_WFG2_M5_D10_1.mat (valid, final IGD 0.834633)
[2026-09-14 10:04:40] [done] WFG2 run 5 seed 20769917 | IGD first 2.03959 -> final 0.830145 | runtime 118.8s | wall 119.1s | ok
[2026-09-14 10:06:42] [done] WFG2 run 9 seed 20769921 | IGD first 1.8687 -> final 1.09823 | runtime 120.0s | wall 120.3s | ok
[2026-09-14 10:08:36] [done] WFG2 run 13 seed 20769925 | IGD first 1.80419 -> final 0.766999 | runtime 113.1s | wall 113.4s | ok
