M,problem,algorithm,source_algorithm,mean,std,symbol,source_file,source_sheet,source_cell,raw
10,DTLZ1,REMO,REMO,2.0514e+2,3.91e+1,=,pruned_weight十目标.xlsx,IGD,D2,2.0514e+2 (3.91e+1) =
10,DTLZ1,PIEA,PIEA,2.4301e+2,6.61e+1,=,pruned_weight十目标.xlsx,IGD,E2,2.4301e+2 (6.61e+1) =
10,DTLZ1,MCEA/D,MCEAD,2.1832e+2,5.22e+1,=,pruned_weight十目标.xlsx,IGD,F2,2.1832e+2 (5.22e+1) =
10,DTLZ1,CSEA,CSEA,2.3385e+2,4.87e+1,=,pruned_weight十目标.xlsx,IGD,G2,2.3385e+2 (4.87e+1) =
10,DTLZ1,PC-SAEA,PCSAEA_N100,3.5954e+2,3.38e+1,-,pruned_weight十目标.xlsx,IGD,H2,3.5954e+2 (3.38e+1) -
10,DTLZ1,K-RVEA,KRVEA_100,2.7635e+2,3.14e+1,-,pruned_weight十目标.xlsx,IGD,I2,2.7635e+2 (3.14e+1) -
10,DTLZ1,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted,2.1986e+2,3.82e+1,,pruned_weight十目标.xlsx,IGD,J2,2.1986e+2 (3.82e+1)
10,DTLZ2,REMO,REMO,1.1068e+0,8.95e-2,+,pruned_weight十目标.xlsx,IGD,D3,1.1068e+0 (8.95e-2) +
10,DTLZ2,PIEA,PIEA,9.7965e-1,5.61e-2,+,pruned_weight十目标.xlsx,IGD,E3,9.7965e-1 (5.61e-2) +
10,DTLZ2,MCEA/D,MCEAD,1.0988e+0,5.45e-2,+,pruned_weight十目标.xlsx,IGD,F3,1.0988e+0 (5.45e-2) +
10,DTLZ2,CSEA,CSEA,1.2996e+0,9.73e-2,-,pruned_weight十目标.xlsx,IGD,G3,1.2996e+0 (9.73e-2) -
10,DTLZ2,PC-SAEA,PCSAEA_N100,1.5128e+0,5.88e-2,-,pruned_weight十目标.xlsx,IGD,H3,1.5128e+0 (5.88e-2) -
10,DTLZ2,K-RVEA,KRVEA_100,1.4256e+0,1.07e-1,-,pruned_weight十目标.xlsx,IGD,I3,1.4256e+0 (1.07e-1) -
10,DTLZ2,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted,1.1945e+0,1.00e-1,,pruned_weight十目标.xlsx,IGD,J3,1.1945e+0 (1.00e-1)
10,DTLZ3,REMO,REMO,8.0997e+2,1.30e+2,+,pruned_weight十目标.xlsx,IGD,D4,8.0997e+2 (1.30e+2) +
10,DTLZ3,PIEA,PIEA,5.3462e+2,8.55e+1,+,pruned_weight十目标.xlsx,IGD,E4,5.3462e+2 (8.55e+1) +
10,DTLZ3,MCEA/D,MCEAD,5.5143e+2,1.58e+2,+,pruned_weight十目标.xlsx,IGD,F4,5.5143e+2 (1.58e+2) +
10,DTLZ3,CSEA,CSEA,8.8395e+2,1.49e+2,=,pruned_weight十目标.xlsx,IGD,G4,8.8395e+2 (1.49e+2) =
10,DTLZ3,PC-SAEA,PCSAEA_N100,1.2945e+3,1.26e+2,-,pruned_weight十目标.xlsx,IGD,H4,1.2945e+3 (1.26e+2) -
10,DTLZ3,K-RVEA,KRVEA_100,1.0208e+3,1.11e+2,-,pruned_weight十目标.xlsx,IGD,I4,1.0208e+3 (1.11e+2) -
10,DTLZ3,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted,9.0751e+2,1.01e+2,,pruned_weight十目标.xlsx,IGD,J4,9.0751e+2 (1.01e+2)
10,DTLZ4,REMO,REMO,1.1272e+0,9.69e-2,+,pruned_weight十目标.xlsx,IGD,D5,1.1272e+0 (9.69e-2) +
10,DTLZ4,PIEA,PIEA,1.2340e+0,5.33e-2,=,pruned_weight十目标.xlsx,IGD,E5,1.2340e+0 (5.33e-2) =
10,DTLZ4,MCEA/D,MCEAD,1.2517e+0,1.69e-2,=,pruned_weight十目标.xlsx,IGD,F5,1.2517e+0 (1.69e-2) =
10,DTLZ4,CSEA,CSEA,1.2233e+0,7.96e-2,+,pruned_weight十目标.xlsx,IGD,G5,1.2233e+0 (7.96e-2) +
10,DTLZ4,PC-SAEA,PCSAEA_N100,1.6761e+0,7.62e-2,-,pruned_weight十目标.xlsx,IGD,H5,1.6761e+0 (7.62e-2) -
10,DTLZ4,K-RVEA,KRVEA_100,1.6232e+0,1.10e-1,-,pruned_weight十目标.xlsx,IGD,I5,1.6232e+0 (1.10e-1) -
