M,problem,algorithm,source_algorithm,mean,std,symbol,source_file,source_sheet,source_cell,raw
10,DTLZ1,REMO,REMO,2.0748e+2,4.35e+1,=,10目标.xlsx,IGD,F2,2.0748e+2 (4.35e+1) =
10,DTLZ1,PIEA,PIEA,2.4207e+2,7.32e+1,=,10目标.xlsx,IGD,G2,2.4207e+2 (7.32e+1) =
10,DTLZ1,MCEA/D,MCEAD,2.3531e+2,4.54e+1,=,10目标.xlsx,IGD,H2,2.3531e+2 (4.54e+1) =
10,DTLZ1,CSEA,CSEA,2.2281e+2,4.96e+1,=,10目标.xlsx,IGD,J2,2.2281e+2 (4.96e+1) =
10,DTLZ1,PC-SAEA,PCSAEA_N100,3.6163e+2,2.25e+1,-,10目标.xlsx,IGD,K2,3.6163e+2 (2.25e+1) -
10,DTLZ1,K-RVEA,KRVEA_100,2.7418e+2,3.36e+1,-,10目标.xlsx,IGD,L2,2.7418e+2 (3.36e+1) -
10,DTLZ1,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Original,2.2944e+2,3.62e+1,,10目标.xlsx,IGD,M2,2.2944e+2 (3.62e+1)
10,DTLZ2,REMO,REMO,1.0902e+0,9.26e-2,=,10目标.xlsx,IGD,F3,1.0902e+0 (9.26e-2) =
10,DTLZ2,PIEA,PIEA,9.6871e-1,5.69e-2,+,10目标.xlsx,IGD,G3,9.6871e-1 (5.69e-2) +
10,DTLZ2,MCEA/D,MCEAD,1.0974e+0,6.08e-2,=,10目标.xlsx,IGD,H3,1.0974e+0 (6.08e-2) =
10,DTLZ2,CSEA,CSEA,1.3229e+0,9.81e-2,-,10目标.xlsx,IGD,J3,1.3229e+0 (9.81e-2) -
10,DTLZ2,PC-SAEA,PCSAEA_N100,1.5019e+0,6.71e-2,-,10目标.xlsx,IGD,K3,1.5019e+0 (6.71e-2) -
10,DTLZ2,K-RVEA,KRVEA_100,1.4250e+0,1.14e-1,-,10目标.xlsx,IGD,L3,1.4250e+0 (1.14e-1) -
10,DTLZ2,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Original,1.0946e+0,8.88e-2,,10目标.xlsx,IGD,M3,1.0946e+0 (8.88e-2)
10,DTLZ3,REMO,REMO,8.0813e+2,1.50e+2,+,10目标.xlsx,IGD,F4,8.0813e+2 (1.50e+2) +
10,DTLZ3,PIEA,PIEA,5.5459e+2,1.06e+2,+,10目标.xlsx,IGD,G4,5.5459e+2 (1.06e+2) +
10,DTLZ3,MCEA/D,MCEAD,5.7499e+2,1.31e+2,+,10目标.xlsx,IGD,H4,5.7499e+2 (1.31e+2) +
10,DTLZ3,CSEA,CSEA,9.0082e+2,1.72e+2,=,10目标.xlsx,IGD,J4,9.0082e+2 (1.72e+2) =
10,DTLZ3,PC-SAEA,PCSAEA_N100,1.2880e+3,1.27e+2,-,10目标.xlsx,IGD,K4,1.2880e+3 (1.27e+2) -
10,DTLZ3,K-RVEA,KRVEA_100,1.0405e+3,1.12e+2,-,10目标.xlsx,IGD,L4,1.0405e+3 (1.12e+2) -
10,DTLZ3,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Original,9.3919e+2,1.40e+2,,10目标.xlsx,IGD,M4,9.3919e+2 (1.40e+2)
10,DTLZ4,REMO,REMO,1.1487e+0,1.05e-1,=,10目标.xlsx,IGD,F5,1.1487e+0 (1.05e-1) =
10,DTLZ4,PIEA,PIEA,1.2452e+0,4.05e-2,=,10目标.xlsx,IGD,G5,1.2452e+0 (4.05e-2) =
10,DTLZ4,MCEA/D,MCEAD,1.2487e+0,1.91e-2,-,10目标.xlsx,IGD,H5,1.2487e+0 (1.91e-2) -
10,DTLZ4,CSEA,CSEA,1.2198e+0,8.16e-2,=,10目标.xlsx,IGD,J5,1.2198e+0 (8.16e-2) =
10,DTLZ4,PC-SAEA,PCSAEA_N100,1.6504e+0,6.98e-2,-,10目标.xlsx,IGD,K5,1.6504e+0 (6.98e-2) -
10,DTLZ4,K-RVEA,KRVEA_100,1.6340e+0,1.25e-1,-,10目标.xlsx,IGD,L5,1.6340e+0 (1.25e-1) -
10,DTLZ4,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Original,1.1814e+0,1.12e-1,,10目标.xlsx,IGD,M5,1.1814e+0 (1.12e-1)
10,DTLZ5,REMO,REMO,6.2052e-1,1.47e-1,=,10目标.xlsx,IGD,F6,6.2052e-1 (1.47e-1) =
10,DTLZ5,PIEA,PIEA,2.9016e-1,3.54e-2,+,10目标.xlsx,IGD,G6,2.9016e-1 (3.54e-2) +
10,DTLZ5,MCEA/D,MCEAD,3.7432e-1,6.73e-2,+,10目标.xlsx,IGD,H6,3.7432e-1 (6.73e-2) +
10,DTLZ5,CSEA,CSEA,7.6415e-1,1.07e-1,-,10目标.xlsx,IGD,J6,7.6415e-1 (1.07e-1) -
10,DTLZ5,PC-SAEA,PCSAEA_N100,9.9841e-1,8.22e-2,-,10目标.xlsx,IGD,K6,9.9841e-1 (8.22e-2) -
10,DTLZ5,K-RVEA,KRVEA_100,8.9678e-1,9.15e-2,-,10目标.xlsx,IGD,L6,8.9678e-1 (9.15e-2) -
10,DTLZ5,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Original,6.6049e-1,1.47e-1,,10目标.xlsx,IGD,M6,6.6049e-1 (1.47e-1)
10,DTLZ6,REMO,REMO,1.6378e+1,7.30e-1,-,10目标.xlsx,IGD,F7,1.6378e+1 (7.30e-1) -
10,DTLZ6,PIEA,PIEA,5.4851e+0,1.81e+0,+,10目标.xlsx,IGD,G7,5.4851e+0 (1.81e+0) +
10,DTLZ6,MCEA/D,MCEAD,8.9744e+0,1.77e+0,+,10目标.xlsx,IGD,H7,8.9744e+0 (1.77e+0) +
10,DTLZ6,CSEA,CSEA,1.6064e+1,6.81e-1,-,10目标.xlsx,IGD,J7,1.6064e+1 (6.81e-1) -
10,DTLZ6,PC-SAEA,PCSAEA_N100,1.7394e+1,3.36e-1,-,10目标.xlsx,IGD,K7,1.7394e+1 (3.36e-1) -
10,DTLZ6,K-RVEA,KRVEA_100,1.5606e+1,1.13e+0,-,10目标.xlsx,IGD,L7,1.5606e+1 (1.13e+0) -
10,DTLZ6,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Original,1.4463e+1,1.10e+0,,10目标.xlsx,IGD,M7,1.4463e+1 (1.10e+0)
10,DTLZ7,REMO,REMO,2.1252e+1,2.44e+0,-,10目标.xlsx,IGD,F8,2.1252e+1 (2.44e+0) -
10,DTLZ7,PIEA,PIEA,1.8588e+1,5.79e+0,-,10目标.xlsx,IGD,G8,1.8588e+1 (5.79e+0) -
10,DTLZ7,MCEA/D,MCEAD,2.0445e+1,4.67e+0,-,10目标.xlsx,IGD,H8,2.0445e+1 (4.67e+0) -
10,DTLZ7,CSEA,CSEA,2.7611e+1,2.24e+0,-,10目标.xlsx,IGD,J8,2.7611e+1 (2.24e+0) -
10,DTLZ7,PC-SAEA,PCSAEA_N100,2.8416e+1,2.27e+0,-,10目标.xlsx,IGD,K8,2.8416e+1 (2.27e+0) -
10,DTLZ7,K-RVEA,KRVEA_100,1.6513e+0,2.10e-1,+,10目标.xlsx,IGD,L8,1.6513e+0 (2.10e-1) +
10,DTLZ7,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Original,1.2122e+1,2.80e+0,,10目标.xlsx,IGD,M8,1.2122e+1 (2.80e+0)
10,WFG1,REMO,REMO,3.2354e+0,8.74e-2,=,10目标.xlsx,IGD,F9,3.2354e+0 (8.74e-2) =
10,WFG1,PIEA,PIEA,3.3433e+0,4.96e-2,-,10目标.xlsx,IGD,G9,3.3433e+0 (4.96e-2) -
10,WFG1,MCEA/D,MCEAD,3.4587e+0,3.65e-2,-,10目标.xlsx,IGD,H9,3.4587e+0 (3.65e-2) -
10,WFG1,CSEA,CSEA,3.2723e+0,6.63e-2,-,10目标.xlsx,IGD,J9,3.2723e+0 (6.63e-2) -
10,WFG1,PC-SAEA,PCSAEA_N100,3.3878e+0,2.76e-2,-,10目标.xlsx,IGD,K9,3.3878e+0 (2.76e-2) -
10,WFG1,K-RVEA,KRVEA_100,3.2911e+0,5.53e-2,-,10目标.xlsx,IGD,L9,3.2911e+0 (5.53e-2) -
10,WFG1,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Original,3.1933e+0,2.79e-2,,10目标.xlsx,IGD,M9,3.1933e+0 (2.79e-2)
10,WFG2,REMO,REMO,3.5108e+0,1.08e+0,-,10目标.xlsx,IGD,F10,3.5108e+0 (1.08e+0) -
10,WFG2,PIEA,PIEA,2.3710e+0,4.69e-1,-,10目标.xlsx,IGD,G10,2.3710e+0 (4.69e-1) -
10,WFG2,MCEA/D,MCEAD,3.4836e+0,9.77e-1,-,10目标.xlsx,IGD,H10,3.4836e+0 (9.77e-1) -
10,WFG2,CSEA,CSEA,3.5554e+0,1.03e+0,-,10目标.xlsx,IGD,J10,3.5554e+0 (1.03e+0) -
10,WFG2,PC-SAEA,PCSAEA_N100,3.3237e+0,6.68e-1,-,10目标.xlsx,IGD,K10,3.3237e+0 (6.68e-1) -
10,WFG2,K-RVEA,KRVEA_100,2.0560e+0,1.83e-1,=,10目标.xlsx,IGD,L10,2.0560e+0 (1.83e-1) =
10,WFG2,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Original,2.1211e+0,6.82e-1,,10目标.xlsx,IGD,M10,2.1211e+0 (6.82e-1)
10,WFG3,REMO,REMO,1.5188e+0,1.01e-1,+,10目标.xlsx,IGD,F11,1.5188e+0 (1.01e-1) +
10,WFG3,PIEA,PIEA,1.1823e+0,1.49e-1,+,10目标.xlsx,IGD,G11,1.1823e+0 (1.49e-1) +
10,WFG3,MCEA/D,MCEAD,1.2551e+0,4.56e-2,+,10目标.xlsx,IGD,H11,1.2551e+0 (4.56e-2) +
10,WFG3,CSEA,CSEA,1.5723e+0,8.05e-2,+,10目标.xlsx,IGD,J11,1.5723e+0 (8.05e-2) +
10,WFG3,PC-SAEA,PCSAEA_N100,1.6974e+0,4.69e-2,=,10目标.xlsx,IGD,K11,1.6974e+0 (4.69e-2) =
10,WFG3,K-RVEA,KRVEA_100,1.7832e+0,5.17e-2,-,10目标.xlsx,IGD,L11,1.7832e+0 (5.17e-2) -
10,WFG3,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Original,1.7006e+0,5.87e-2,,10目标.xlsx,IGD,M11,1.7006e+0 (5.87e-2)
10,WFG4,REMO,REMO,8.1770e+0,9.93e-1,-,10目标.xlsx,IGD,F12,8.1770e+0 (9.93e-1) -
10,WFG4,PIEA,PIEA,5.7766e+0,5.86e-1,+,10目标.xlsx,IGD,G12,5.7766e+0 (5.86e-1) +
10,WFG4,MCEA/D,MCEAD,7.1626e+0,8.70e-1,=,10目标.xlsx,IGD,H12,7.1626e+0 (8.70e-1) =
10,WFG4,CSEA,CSEA,9.0803e+0,8.62e-1,-,10目标.xlsx,IGD,J12,9.0803e+0 (8.62e-1) -
10,WFG4,PC-SAEA,PCSAEA_N100,8.9409e+0,5.66e-1,-,10目标.xlsx,IGD,K12,8.9409e+0 (5.66e-1) -
10,WFG4,K-RVEA,KRVEA_100,6.5438e+0,6.36e-1,=,10目标.xlsx,IGD,L12,6.5438e+0 (6.36e-1) =
10,WFG4,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Original,6.6311e+0,6.38e-1,,10目标.xlsx,IGD,M12,6.6311e+0 (6.38e-1)
10,WFG5,REMO,REMO,6.9444e+0,5.14e-1,-,10目标.xlsx,IGD,F13,6.9444e+0 (5.14e-1) -
10,WFG5,PIEA,PIEA,5.7544e+0,2.59e-1,=,10目标.xlsx,IGD,G13,5.7544e+0 (2.59e-1) =
10,WFG5,MCEA/D,MCEAD,6.6193e+0,3.95e-1,-,10目标.xlsx,IGD,H13,6.6193e+0 (3.95e-1) -
10,WFG5,CSEA,CSEA,7.1022e+0,4.09e-1,-,10目标.xlsx,IGD,J13,7.1022e+0 (4.09e-1) -
10,WFG5,PC-SAEA,PCSAEA_N100,6.9282e+0,3.32e-1,-,10目标.xlsx,IGD,K13,6.9282e+0 (3.32e-1) -
