Algorithm,Problem,M,D,Run,Step,FE,IGDp
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,1,100,7.943745561358695
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,2,106,7.763799408599719
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,3,112,7.390019654526823
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,4,118,7.024059582722376
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,5,124,6.792050100781331
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,6,130,5.390806325271644
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,7,136,4.935554090089123
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,8,142,4.834448387120848
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,9,148,4.7187067926922275
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,10,154,4.702669192492085
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,11,160,4.623344606482903
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,12,166,4.591687175762692
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,13,172,4.564639818851838
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,14,178,4.5196073424079035
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,15,184,4.514568576098365
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,16,190,4.437478748502929
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,17,196,4.429368260724181
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,18,202,4.420440274290866
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,19,208,4.415657509874126
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,20,214,4.346061034120816
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,21,220,4.180182283227222
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,22,226,4.166837239997198
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,23,232,4.150374181559733
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,24,238,4.135132872756565
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,25,250,4.1257947886882596
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,26,256,4.114110112259718
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,27,268,4.039128660200615
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,28,280,4.022373530310201
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,29,286,3.967176336957065
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,1,30,300,3.874852048071443
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,10,1,100,8.000295926140513
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,10,2,106,7.083224194563633
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,10,3,112,6.998422457770346
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,10,4,118,6.271194213460893
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,10,5,124,6.049101695761332
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,10,6,130,5.836062568446346
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,10,7,136,5.658014248089018
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,10,8,142,5.632397467874934
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,10,9,148,5.5475266208174645
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,10,10,154,5.507215653168196
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,10,11,160,5.404160002561528
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,10,12,166,5.294375016730958
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,10,13,172,5.266470234385504
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,10,14,178,5.255284821373072
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,10,15,184,4.789779668211965
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,10,16,190,4.704846792916574
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,10,17,196,4.547908356048964
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,10,18,202,4.153292168051242
REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,WFG7,10,30,10,19,208,4.1462952786629
