Name,f1,f2,ReferenceLabel,S,H,HybridSelected,DistanceToKnownPF
A,0.907106781186547,0.907106781186547,0,0.5,0.4,1,-1.11022302462516e-16
R,1.2,0.2,0,0.49999875000325,0.3999990000026,1,0
B,0.643912781543504,1.27170025771309,1,0.233031563998264,0.386425251198611,0,0.16
C,0.7,1.45,0,0.204537153736355,0.163629722989084,0,0.346291201783626
D,0.3,1.6,1,0.344828406660805,0.475862725328644,1,0.40356688476182
E,1.55,0.4,0,0.298508046336733,0.238806437069386,0,0.364734406395618
F,0.2,2.5,0,0.303029247019396,0.242423397615517,0,1.3
G,2.1,0.7,0,0.18518549382775,0.1481483950622,0,0.96468827043885
H,1.55,1.5,0,0.327803327750698,0.262242662200559,0,0.874166481399131
I,1.1,2.1,0,0.153481743482497,0.122785394785998,0,1.10237960416286
J,0.35,2.2,0,0.266667367113049,0.213333893690439,0,1.00561711201316
K,2,0.25,0,0.32786981456891,0.262295851655128,0,0.800694310536911
