Arm,Problem,M,Run,IGD,IGDp,FEWithinBudget,HandleIdentity,Runtime,SurvivalRateAll,SurvivalRateLate,SurvivalRatePooled,SurvivalRateEarly,SurvivalRateStage1,SurvivalRateStage2,SurvivalRateStage3,SurvivalRateStage4,OracleHitRate,OracleHitRateLate,OracleGainRatio,OracleGainRatioLate,OracleAlgorithmGain,OracleOracleGain,OraclePoolConsidered,OracleSubsampledFraction,OracleRowCount,BatchSizeMean,BatchSizeMin,BatchSizeMax,BatchSpreadMean,PoolRawMean,PoolUniqueMean,LastRoundUniqueMean,SelectedFromLastRoundMean,RetainedCountMean,GenerationCount,EvaluatedTotal,SurvivorTotal,AggregationChangedFraction,IndicatorOperationalFraction,IndicatorAvailableFraction,IndicatorModeFraction,ExploreModeFraction,LambdaTMean,PErrMean,FallbackGenerationCount,TruncatedGenerationCount,meta_M,meta_Run,meta_CompletedFE,meta_MaxFE,meta_ActualD,meta_Gmax,meta_ProblemN,meta_PMix,meta_QKeep,meta_NMin,meta_NMax,meta_RGood,meta_Lambda0,meta_OracleEvery,meta_OraclePoolLimit,meta_OracleReferenceSize,meta_SchemaVersion,meta_ArmID
V0_REMO_RULE,DTLZ2,20,1,1.1576768978949024,0.8029242617687713,1.0,1.0,166.80207439999998,0.8711982781771224,0.8234852207762424,0.825,0.9189113355780024,,0.9189113355780024,0.8226301884390119,0.8241692466460269,0.0434534543925668,0.0696229581678498,0.1487413785928034,0.2013611170318375,0.0170657176238053,0.1223414009292311,400.0,1.0,18.0,11.11111111111111,4.0,24.0,1.8290282391300847,3010.0,3010.0,60.0,1.0,60.0,18.0,200.0,165.0,0.1134259259259259,0.0,1.0,0.0,0.0,0.1390062753540412,0.0232107552392249,0.0,1.0,20.0,1.0,300.0,300.0,30.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,DTLZ2,20,2,1.2491734857860957,0.9304069442269476,1.0,1.0,159.42666790000004,0.8641634960022059,0.8444342694342696,0.855,0.967741935483871,,0.967741935483871,0.8852564102564103,0.7780982905982905,0.0038709677419354,0.0,0.0686580178363597,0.0658694718038573,0.0082364997763351,0.1157525262723906,400.0,1.0,25.0,8.0,4.0,31.0,1.8303677031420276,3010.0,3010.0,60.0,1.0,60.0,25.0,200.0,171.0,0.1616666666666666,0.0,1.0,0.0,0.0,0.0942350942401475,0.0742491103202847,0.0,1.0,20.0,2.0,300.0,300.0,30.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,DTLZ2,20,3,1.1421155875418962,0.8114253175361918,1.0,1.0,127.1957961,0.8168507554536967,0.7986362347969491,0.81,0.901851851851852,,0.901851851851852,0.8392781986531986,0.768154761904762,0.0373328877005347,0.038189935064935,0.1160055835335118,0.1120546491204634,0.0124245444449795,0.090515784837012,400.0,1.0,17.0,11.764705882352942,4.0,32.0,1.7154983471536154,3010.0,3010.0,60.0,1.0,60.0,17.0,200.0,162.0,0.1654411764705882,0.0,1.0,0.0,0.0,0.0951721365493607,0.0637638685367385,0.0,1.0,20.0,3.0,300.0,300.0,30.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,DTLZ2,20,4,1.2449981397887306,0.9567075876173304,1.0,1.0,118.1022886,0.7871218752652576,0.7658493467316997,0.765,0.8793028322440087,,0.8793028322440087,0.7925170068027212,0.7347370766488414,0.0336550245098039,0.0362933634992458,0.0949591111667823,0.0971551687853987,0.01369541835311,0.1372896361829206,400.0,1.0,16.0,12.5,3.0,21.0,1.8934306968567125,3010.0,3009.9375,60.0,1.0,60.0,16.0,200.0,153.0,0.0924479166666666,0.0,1.0,0.0,0.0,0.1115324280018452,0.0262010676156583,0.0,1.0,20.0,4.0,300.0,300.0,30.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,DTLZ2,20,5,1.293709321281744,1.002108212031899,1.0,1.0,110.6170033,0.7056505008678922,0.6111684319194199,0.725,0.9654761904761904,,0.9654761904761904,0.6125108225108225,0.6100497730932514,0.022292490118577,0.0182776380404838,0.0561332056307276,0.0563180411070978,0.0079722646486458,0.1295989815413273,400.0,1.0,15.0,13.333333333333334,4.0,23.0,1.902295195437273,3010.0,3009.9333333333334,60.0,1.0,60.0,15.0,200.0,145.0,0.0958333333333333,0.0,1.0,0.0,0.0,0.1106859276833179,0.0291340450771055,0.0,1.0,20.0,5.0,300.0,300.0,30.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,DTLZ2,20,6,1.228813070276999,0.9084676786165744,1.0,1.0,113.2358921,0.730454594747358,0.6578126040626041,0.695,0.9483805668016194,,0.9483805668016194,0.7811760461760462,0.485103785103785,0.0170715249662618,0.0128205128205128,0.0853145744542056,0.0628661021622379,0.0116298606274247,0.1230739097907684,400.0,1.0,16.0,12.5,4.0,25.0,1.8448693260548412,3010.0,3009.8125,60.0,1.0,60.0,16.0,200.0,139.0,0.1197916666666666,0.0,1.0,0.0,0.0,0.1172418404837221,0.0367437722419928,0.0,0.0,20.0,6.0,300.0,300.0,30.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,DTLZ2,20,7,1.1354309168397891,0.8212234375267831,1.0,1.0,146.54710999999998,0.7447654970252223,0.7176463027856217,0.785,0.8984409310496266,,0.8984409310496266,0.8344402673350041,0.6539405039405041,0.0398080799825651,0.0342584402181925,0.1055990246878487,0.0811789054798313,0.0102608737607562,0.0894065832130736,400.0,1.0,20.0,10.0,4.0,23.0,1.6858514906547082,3010.0,3009.95,60.0,1.0,60.0,20.0,200.0,157.0,0.1333333333333333,0.0,1.0,0.0,0.0,0.0879005371029392,0.0586476868327402,0.0,1.0,20.0,7.0,300.0,300.0,30.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,DTLZ2,20,8,1.1299595935291395,0.8049950718197654,1.0,1.0,168.64865449999996,0.7786043205160853,0.7426585179526355,0.815,0.9583333333333334,,0.9583333333333334,0.8793650793650793,0.630807694978818,0.024312850140056,0.0119485294117647,0.1094510516046344,0.0708134724076333,0.013388937515433,0.0815344384160313,400.0,1.0,24.0,8.333333333333334,2.0,17.0,1.607835515999411,3010.0,3009.958333333333,60.0,1.0,60.0,24.0,200.0,163.0,0.1371527777777778,0.0,1.0,0.0,0.0,0.0972008863846052,0.0531138790035587,0.0,1.0,20.0,8.0,300.0,300.0,30.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,DTLZ2,20,9,1.2664389673455387,0.918466936457216,1.0,1.0,77.3018806,0.7194926538108356,0.6359690656565656,0.74,0.942222222222222,,0.942222222222222,0.6565656565656566,0.6236111111111111,0.0372298745026017,0.0357744107744107,0.1166619911156946,0.116185145815234,0.0124725640503377,0.1085937582275589,400.0,1.0,11.0,18.181818181818183,6.0,27.0,1.7786435642916243,3010.0,3010.0,60.0,1.0,60.0,11.0,200.0,148.0,0.1306818181818181,0.0,1.0,0.0,0.0,0.1087103598260181,0.0261404076350695,0.0,1.0,20.0,9.0,300.0,300.0,30.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,DTLZ2,20,10,1.2041549600014727,0.8806125270136658,1.0,1.0,98.7970505,0.787313329221849,0.7572083618136248,0.77,0.8976982097186701,,0.8976982097186701,0.8076933404940922,0.668859649122807,0.0186090225563909,0.0191387559808612,0.1078313614533657,0.1041816387222161,0.0149137455787059,0.146158499756408,400.0,1.0,14.0,14.285714285714286,4.0,23.0,1.772064798077767,3010.0,3009.928571428572,60.0,1.0,60.0,14.0,200.0,154.0,0.1086309523809523,0.0,1.0,0.0,0.0,0.1143463160669566,0.025775292323335,0.0,1.0,20.0,10.0,300.0,300.0,30.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,DTLZ7,20,1,30.87735168197008,30.826038974572747,1.0,1.0,134.1119782,0.6795887437617004,0.6498483449107199,0.785,0.9323821339950372,,0.9323821339950372,0.6151165011459129,0.7135233918128655,0.0159279778393351,0.0178018575851393,0.1555369270495393,0.1425123759633703,1.084742786949924,6.869922344409004,400.0,1.0,19.0,10.526315789473683,4.0,31.0,1.8808226609344685,3010.0,3010.0,60.0,1.0,60.0,19.0,200.0,157.0,0.0921052631578947,0.0,1.0,0.0,0.0,0.1086744015039575,0.0177561341075107,0.0,1.0,20.0,1.0,300.0,300.0,30.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,DTLZ7,20,2,26.47296698249544,26.421399514327533,1.0,1.0,74.31730009999998,0.869514557535948,0.8516289036550474,0.88,0.95,,0.95,0.8432737632737632,0.8620728291316526,0.0,0.0,0.3270307459678012,0.3169842250924778,2.4258887024099733,8.090924171629352,400.0,1.0,11.0,18.181818181818183,5.0,31.0,1.6465442920676798,3010.0,3010.0,60.0,1.0,60.0,11.0,200.0,176.0,0.0757575757575757,0.0,1.0,0.0,0.0,0.1145235210946954,0.01656421869945,0.0,1.0,20.0,2.0,300.0,300.0,30.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,DTLZ7,20,3,27.32572290924372,27.270849729557444,1.0,1.0,125.124789,0.8604366036822179,0.8078551506972559,0.875,0.92616341991342,,0.92616341991342,0.7929262258209627,0.8302485380116958,0.0046620046620046,0.0038461538461538,0.1933123229535206,0.1947349903661142,1.4524145910237745,8.101231437117102,400.0,1.0,18.0,11.11111111111111,4.0,26.0,1.8573772301818865,3010.0,3009.9444444444443,60.0,1.0,60.0,18.0,200.0,175.0,0.0960648148148148,0.0,1.0,0.0,0.0,0.1393018247587247,0.0180308422301304,0.0,1.0,20.0,3.0,300.0,300.0,30.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,DTLZ7,20,4,22.95282941832752,22.880765493303752,1.0,1.0,60.94049100000001,0.8394365721997299,0.8224561403508771,0.83,0.8733974358974358,,0.8733974358974358,0.871578947368421,0.7733333333333334,0.0,0.0,0.3323939830274261,0.35466947683466,4.411136372861612,12.31612747138478,400.0,1.0,9.0,22.22222222222222,16.0,30.0,1.7493391904062685,3010.0,3010.0,60.0,1.0,60.0,9.0,200.0,166.0,0.1018518518518518,0.0,1.0,0.0,0.0,0.1325770250281915,0.0125741399762752,0.0,1.0,20.0,4.0,300.0,300.0,30.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,DTLZ7,20,5,23.19158500954212,23.130359235141437,1.0,1.0,68.7160864,0.8554061218690375,0.8251947155673863,0.875,0.9258994032395568,,0.9258994032395568,0.9402691511387165,0.7388888888888889,0.0075714285714285,0.0051020408163265,0.7009110825203891,0.5,2.7091786199763828,3.210740487797686,400.0,1.0,10.0,20.0,9.0,30.0,1.7091056818284371,3010.0,3010.0,60.0,1.0,60.0,10.0,200.0,175.0,0.075,0.0,1.0,0.0,0.0,0.1145671279820746,0.0098932384341637,0.0,1.0,20.0,5.0,300.0,300.0,30.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,DTLZ7,20,6,25.432131601401966,25.36274802835895,1.0,1.0,85.04759670000001,0.8625674736785848,0.8097242263908929,0.86,0.9682539682539684,,0.9682539682539684,0.8500881834215167,0.7693602693602694,0.0041152263374485,0.0061728395061728,0.3389700381477953,0.328115773880297,3.907060202533248,10.349803929338762,400.0,1.0,9.0,22.22222222222222,16.0,27.0,1.690517701272832,3010.0,3009.8888888888887,60.0,1.0,60.0,9.0,200.0,172.0,0.0694444444444444,0.0,1.0,0.0,0.0,0.1284878739949914,0.0088572558323448,0.0,1.0,20.0,6.0,300.0,300.0,30.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,DTLZ7,20,7,18.88677136701314,18.817501669308683,1.0,1.0,82.9326348,0.9089834462088466,0.8844491058564286,0.9,0.9335177865612648,,0.9335177865612648,0.9203378817413904,0.8306159420289855,0.0026315789473684,0.0052631578947368,0.3812273995273657,0.5512277387884484,3.3734321463215053,8.019238449047425,400.0,1.0,10.0,20.0,4.0,38.0,1.827090629380389,3010.0,3009.8,60.0,1.0,60.0,10.0,200.0,180.0,0.09375,0.0,1.0,0.0,0.0,0.1515204758138921,0.0087544483985765,0.0,1.0,20.0,7.0,300.0,300.0,30.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,DTLZ7,20,8,28.799258855627777,28.74437319055961,1.0,1.0,91.580332,0.8822916814256039,0.8630636493727926,0.865,0.9335664335664337,,0.9335664335664337,0.8114236999147485,0.894047619047619,0.0,0.0,0.2244690324746457,0.1867915457391298,3.032600480349434,9.211325690641786,400.0,1.0,11.0,18.181818181818183,4.0,30.0,1.8102023356214036,3010.0,3010.0,60.0,1.0,60.0,11.0,200.0,173.0,0.1022727272727272,0.0,1.0,0.0,0.0,0.1011894508549313,0.010158524749272,0.0,1.0,20.0,8.0,300.0,300.0,30.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,DTLZ7,20,9,22.352726827266945,22.28499151051277,1.0,1.0,115.9019567,0.8630202412529998,0.838389260803054,0.895,0.8946886446886445,,0.8946886446886445,0.8086080586080587,0.8979516651930445,0.0,0.0,0.2552079812496424,0.2868255325396555,2.406913248829808,11.954078620677388,400.0,1.0,16.0,12.5,4.0,29.0,1.9476964193393205,3010.0,3009.9375,60.0,1.0,60.0,16.0,200.0,179.0,0.1145833333333333,0.0,1.0,0.0,0.0,0.154987647456175,0.0137900355871886,0.0,1.0,20.0,9.0,300.0,300.0,30.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,DTLZ7,20,10,35.090888701158434,35.05833193628842,1.0,1.0,354.1609354000001,0.5965986394557823,0.5445945945945947,0.6,0.7569444444444445,,0.7569444444444445,0.5394736842105263,0.55,0.010204081632653,0.0135135135135135,0.0844059512006904,0.1141962869185811,0.3678758292990015,6.05484729559012,400.0,1.0,49.0,4.081632653061225,4.0,6.0,2.117761198767163,3010.0,3010.0,60.0,1.0,60.0,49.0,200.0,120.0,0.1318027210884353,0.0,1.0,0.0,0.0,0.1154339942382646,0.0137700631854165,0.0,1.0,20.0,10.0,300.0,300.0,30.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,WFG3,20,1,2.5592222557077844,2.155495420708716,1.0,1.0,130.3548894,0.789171877802087,0.7688810443605841,0.79,0.8838624338624338,,0.8838624338624338,0.7959688223115334,0.7538322788322788,0.01890756302521,0.0178571428571428,0.0543753324899731,0.0477409871616151,0.0187137861439415,0.3607397677812358,400.0,1.0,17.0,11.764705882352942,4.0,23.0,1.6169266112546403,3010.0,3009.823529411765,60.0,1.0,60.0,17.0,200.0,158.0,0.0625,0.0,1.0,0.0,0.0,0.0996185929492397,0.029307096504082,0.0,1.0,20.0,1.0,300.0,300.0,31.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,WFG3,20,2,2.686917854559673,2.371074217869417,1.0,1.0,108.06308,0.676959390663634,0.6342859116410643,0.725,0.8761022927689593,,0.8761022927689593,0.7013276970707312,0.6074691974691974,0.0084399772981087,0.0042016806722689,0.0162318697027359,0.0109433749949957,0.0069410002870946,0.2763603045814301,400.0,1.0,17.0,11.764705882352942,4.0,27.0,1.774180225481777,3010.0,3009.8823529411766,60.0,1.0,60.0,17.0,200.0,145.0,0.1176470588235294,0.0,1.0,0.0,0.0,0.0875967405546639,0.0352522503663387,0.0,1.0,20.0,2.0,300.0,300.0,31.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,WFG3,20,3,2.8115035129740638,2.537530011458528,1.0,1.0,185.88647690000005,0.6750044911229123,0.6310780565588258,0.74,0.9605263157894736,,0.9605263157894736,0.769111570247934,0.5298534798534799,0.0124125874125874,0.0125739644970414,0.0202077771645784,0.0177039350733191,0.0074150086412975,0.2624635657399702,400.0,1.0,30.0,6.666666666666667,2.0,22.0,1.9265259795478569,3010.0,3009.9,60.0,1.0,60.0,30.0,200.0,148.0,0.1451388888888889,0.0,1.0,0.0,0.0,0.0942326369667413,0.0239145907473309,0.0,1.0,20.0,3.0,300.0,300.0,31.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,WFG3,20,4,2.6525608520521406,2.414418958707308,1.0,1.0,141.99323469999996,0.6428437556981981,0.6064804639804641,0.675,0.8852657004830918,,0.8852657004830918,0.7076109076109076,0.5237373737373737,0.0127599243856332,0.0125,0.0265701112321761,0.0123092725513673,0.0100135137240392,0.3103803082904142,400.0,1.0,23.0,8.695652173913043,2.0,23.0,1.8312375996858496,3010.0,3010.0,60.0,1.0,60.0,23.0,200.0,135.0,0.1068840579710145,0.0,1.0,0.0,0.0,0.0927712104801691,0.0257775027077208,0.0,1.0,20.0,4.0,300.0,300.0,31.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,WFG3,20,5,2.687902683447717,2.4848593490691355,1.0,1.0,230.2293025,0.6663020621353953,0.6241779293503432,0.685,0.8408163265306122,,0.8408163265306122,0.7052910052910054,0.5372710622710624,0.0069444444444444,0.0086206896551724,0.0257692838688428,0.0203140994610044,0.0102600798983278,0.3029303452632461,400.0,1.0,36.0,5.555555555555555,2.0,14.0,1.889037702032383,3010.0,3010.0,60.0,1.0,60.0,36.0,200.0,137.0,0.1313657407407407,0.0,1.0,0.0,0.0,0.1029877806335398,0.0221826809015421,0.0,1.0,20.0,5.0,300.0,300.0,31.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,WFG3,20,6,2.730441885035287,2.2460594012036155,1.0,1.0,130.2037462,0.7370103785103785,0.6974071679954033,0.8,0.9614285714285714,,0.9614285714285714,0.7422542735042734,0.6836080586080586,0.0017857142857142,0.0,0.016402862842614,0.0077469124546118,0.0071857969756971,0.3343016910728446,400.0,1.0,20.0,10.0,4.0,28.0,1.6523812421646344,3010.0,3009.9,60.0,1.0,60.0,20.0,200.0,160.0,0.0885416666666666,0.0,1.0,0.0,0.0,0.0803727000131804,0.0213879003558718,0.0,1.0,20.0,6.0,300.0,300.0,31.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,WFG3,20,7,2.901951842217361,2.460899918604823,1.0,1.0,156.24100529999998,0.6760543106131341,0.6325774754346183,0.77,0.9803921568627452,,0.9803921568627452,0.8049603174603174,0.5264957264957265,0.0041666666666666,0.0047619047619047,0.0151783795105102,0.0079598976550108,0.0087477679094643,0.3355003702490198,400.0,1.0,24.0,8.333333333333334,2.0,19.0,1.7869838187496805,3010.0,3010.0,60.0,1.0,60.0,24.0,200.0,154.0,0.0859375,0.0,1.0,0.0,0.0,0.0852520869030358,0.0303084223013048,0.0,1.0,20.0,7.0,300.0,300.0,31.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,WFG3,20,8,2.842777242255204,2.422215130428631,1.0,1.0,191.9571626,0.6698798328108674,0.622060606060606,0.765,0.96875,,0.96875,0.6383333333333334,0.6112121212121212,0.0020283975659229,0.0,0.0195055013713928,0.0128140666245549,0.0074641273872407,0.3118719764883821,400.0,1.0,29.0,6.896551724137931,4.0,24.0,1.9095291212994403,3010.0,3009.9655172413795,60.0,1.0,60.0,29.0,200.0,153.0,0.1278735632183908,0.0,1.0,0.0,0.0,0.0923087518123105,0.0278070928948337,0.0,0.0,20.0,8.0,300.0,300.0,31.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,WFG3,20,9,2.546525544784098,2.2722600158652813,1.0,1.0,113.8254017,0.7325370335515262,0.6905999958173871,0.8,0.9422222222222222,,0.9422222222222222,0.8631987577639751,0.6278368096549914,0.0046296296296296,0.0033333333333333,0.037549315546431,0.0108454748486418,0.0158546191506047,0.2562072944541466,400.0,1.0,18.0,11.11111111111111,3.0,30.0,1.7151081144034943,3010.0,3009.833333333333,60.0,1.0,60.0,18.0,200.0,160.0,0.1087962962962963,0.0,1.0,0.0,0.0,0.082652036378015,0.0352708580466587,0.0,1.0,20.0,9.0,300.0,300.0,31.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
V0_REMO_RULE,WFG3,20,10,2.7917765591027117,2.463904363122134,1.0,1.0,156.0844894,0.7115911914172784,0.686274307702879,0.765,0.8445048309178743,,0.8445048309178743,0.7583694083694085,0.6502267573696144,0.01,0.0119047619047619,0.0131679595809668,0.0146181906767715,0.0036341329354448,0.3095182725494054,400.0,1.0,25.0,8.0,4.0,23.0,1.8107916745425,3010.0,3010.0,60.0,1.0,60.0,25.0,200.0,153.0,0.1116666666666666,0.0,1.0,0.0,0.0,0.087766400421774,0.0306334519572953,0.0,0.0,20.0,10.0,300.0,300.0,31.0,3000.0,100.0,0.5,0.8,4.0,6.0,0.25,0.35,1.0,400.0,300.0,1.0,0.0
