arm,metric,mean,low,high
V0_REMO_RULE,BatchSizeMean,10.386350250584416,9.298366716547639,11.407833916500994
V0_REMO_RULE,BatchSpreadMean,1.8061713043220822,1.7771110317338688,1.8367414019412256
V0_REMO_RULE,SurvivalRateLate,0.756318774198723,0.7331050409242396,0.7761475143069337
V0_REMO_RULE,OracleGainRatioLate,0.12316321484859141,0.10093089962330667,0.14559404946425075
V1_POOL_ONLY,BatchSizeMean,5.882352941176471,5.882352941176471,5.882352941176471
V1_POOL_ONLY,BatchSpreadMean,1.6373776156640396,1.6008691120239882,1.6707900963306273
V1_POOL_ONLY,SurvivalRateLate,0.706,0.6769958333333334,0.7338333333333333
V1_POOL_ONLY,OracleGainRatioLate,0.08605611577028435,0.0742602973897162,0.10037868986401571
V2_EXPLORE_ONLY,BatchSizeMean,5.882352941176471,5.882352941176471,5.882352941176471
V2_EXPLORE_ONLY,BatchSpreadMean,2.030886959759409,1.972117356513957,2.0850714914728683
V2_EXPLORE_ONLY,SurvivalRateLate,0.6765,0.6496624999999999,0.7034999999999999
V2_EXPLORE_ONLY,OracleGainRatioLate,0.08143230301750469,0.0685199740819996,0.09385579574946169
V3_INDICATOR_ONLY,BatchSizeMean,5.882352941176471,5.882352941176471,5.882352941176471
V3_INDICATOR_ONLY,BatchSpreadMean,1.0314181227346557,1.0050418769962255,1.0588918909190426
V3_INDICATOR_ONLY,SurvivalRateLate,0.7606666666666667,0.7448333333333333,0.7765
V3_INDICATOR_ONLY,OracleGainRatioLate,0.059069762797058036,0.05172452223880157,0.06627047020849663
V4_FULL,BatchSizeMean,5.882352941176471,5.882352941176471,5.882352941176471
V4_FULL,BatchSpreadMean,1.4793750320998769,1.4490892466582426,1.5101723314104762
V4_FULL,SurvivalRateLate,0.7701666666666667,0.7543333333333334,0.7863333333333334
V4_FULL,OracleGainRatioLate,0.10478076116515667,0.09422319709705097,0.11574852309250853
