M,Problem,Algorithm,Run,Snapshots,FirstFE,LastFE,FinalIGD
10,WFG1,REMO,1,30,100,304,3.195338074
10,WFG1,REMO,10,30,100,300,3.27772066
10,WFG1,REMO,11,30,100,300,3.23384123
10,WFG1,REMO,12,30,100,302,3.153885246
10,WFG1,REMO,13,23,100,308,3.069676022
10,WFG1,REMO,14,27,100,303,3.172347145
10,WFG1,REMO,15,24,100,303,3.218016861
10,WFG1,REMO,16,30,100,300,3.293429419
10,WFG1,REMO,17,30,100,301,3.346995559
10,WFG1,REMO,18,28,100,301,3.310889482
10,WFG1,REMO,19,30,100,302,3.285632052
10,WFG1,REMO,2,30,100,301,3.069559524
10,WFG1,REMO,20,30,100,308,3.22659011
10,WFG1,REMO,21,30,100,301,3.170416582
10,WFG1,REMO,22,30,100,300,3.245527551
10,WFG1,REMO,23,29,100,304,3.305217767
10,WFG1,REMO,24,30,100,302,3.060536471
10,WFG1,REMO,25,30,100,302,3.220160106
10,WFG1,REMO,26,30,100,300,3.128161089
10,WFG1,REMO,27,30,100,303,3.23407025
10,WFG1,REMO,28,30,100,303,3.243534719
10,WFG1,REMO,29,28,100,302,3.289626258
10,WFG1,REMO,3,30,100,300,3.284058814
10,WFG1,REMO,30,30,100,304,3.261427112
10,WFG1,REMO,4,30,100,302,3.225169836
10,WFG1,REMO,5,30,100,304,3.346623002
10,WFG1,REMO,6,28,100,302,3.232737349
10,WFG1,REMO,7,30,100,302,3.154209801
10,WFG1,REMO,8,30,100,303,3.301679624
10,WFG1,REMO,9,30,100,304,3.350638812
10,WFG6,REMO,1,30,100,301,5.815235207
10,WFG6,REMO,10,30,100,301,6.685983499
10,WFG6,REMO,11,30,100,300,5.925970876
10,WFG6,REMO,12,30,100,300,7.148406371
10,WFG6,REMO,13,30,100,300,6.455125844
10,WFG6,REMO,14,30,100,301,6.645068537
10,WFG6,REMO,15,30,100,301,5.966173889
10,WFG6,REMO,16,30,100,300,6.57129359
10,WFG6,REMO,17,30,100,302,6.853984039
10,WFG6,REMO,18,30,100,302,6.046310017
10,WFG6,REMO,19,30,100,301,5.963118513
10,WFG6,REMO,2,30,100,301,7.069193299
10,WFG6,REMO,20,30,100,300,5.671469785
10,WFG6,REMO,21,30,100,300,5.847110859
10,WFG6,REMO,22,30,100,300,5.883925424
10,WFG6,REMO,23,30,100,301,6.736857681
10,WFG6,REMO,24,30,100,300,7.522177346
10,WFG6,REMO,25,30,100,300,7.187920568
10,WFG6,REMO,26,30,100,300,6.165573526
10,WFG6,REMO,27,30,100,300,6.607261237
10,WFG6,REMO,28,30,100,301,7.03542606
10,WFG6,REMO,29,30,100,300,7.18883885
10,WFG6,REMO,3,30,100,303,6.595265053
10,WFG6,REMO,30,30,100,300,6.014895189
10,WFG6,REMO,4,30,100,300,7.095160929
10,WFG6,REMO,5,30,100,301,6.132390468
10,WFG6,REMO,6,30,100,300,6.412905001
10,WFG6,REMO,7,30,100,300,5.383741439
10,WFG6,REMO,8,30,100,301,6.330441038
10,WFG6,REMO,9,30,100,300,6.526661985
10,WFG7,REMO,1,30,100,302,6.527336383
10,WFG7,REMO,10,30,100,300,5.235780647
10,WFG7,REMO,11,30,100,301,7.485124973
10,WFG7,REMO,12,30,100,300,6.102829291
10,WFG7,REMO,13,30,100,301,6.720099171
10,WFG7,REMO,14,30,100,302,7.263817996
10,WFG7,REMO,15,30,100,301,5.292858948
10,WFG7,REMO,16,30,100,303,5.449605049
10,WFG7,REMO,17,30,100,302,6.345561853
10,WFG7,REMO,18,30,100,300,5.246924743
10,WFG7,REMO,19,30,100,303,7.116006989
10,WFG7,REMO,2,30,100,301,6.022027066
10,WFG7,REMO,20,30,100,303,5.584337566
10,WFG7,REMO,21,30,100,300,7.054425401
10,WFG7,REMO,22,30,100,301,5.983903924
10,WFG7,REMO,23,30,100,303,5.792096895
