Problem,M,Run,Seed,Stage,View,SelectionRule,Truth,TruthType,Horizon,NumberOfCheckpoints,ValidPrecisionCheckpoints,MeanSelectedRate,MeanPrecision,MeanRecall,MeanChance,MeanLift,MeanAUC,MeanRetentionRate
DTLZ2,10,1,11001,"S1_[0,0.25]",anchor_margin,top25,population_final,retention,FINAL,5,5,0.25,0.112,0.793333333333333,0.036,3.17333333333333,0.728246227221219,0.112
DTLZ2,10,1,11001,"S1_[0,0.25]",score_hybrid,top25,population_final,retention,FINAL,5,5,0.25,0.088,0.653333333333333,0.036,2.61333333333333,0.715254717242296,0.088
DTLZ2,10,1,11001,"S1_[0,0.25]",score_v,top25,population_final,retention,FINAL,5,5,0.25,0.088,0.653333333333333,0.036,2.61333333333333,0.703682957393484,0.088
DTLZ2,10,1,11001,"S2_(0.25,0.50]",anchor_margin,top25,population_final,retention,FINAL,21,21,0.25,0.173333333333333,0.443985574027591,0.106190476190476,1.77594229611036,0.635538429908762,0.173333333333333
DTLZ2,10,1,11001,"S2_(0.25,0.50]",score_hybrid,top25,population_final,retention,FINAL,21,21,0.25,0.173333333333333,0.410594439796121,0.106190476190476,1.64237775918448,0.659144193619098,0.173333333333333
DTLZ2,10,1,11001,"S2_(0.25,0.50]",score_v,top25,population_final,retention,FINAL,21,21,0.25,0.161904761904762,0.391946930287266,0.106190476190476,1.56778772114907,0.629646426047518,0.161904761904762
DTLZ2,10,1,11001,"S3_(0.50,0.75]",anchor_margin,top25,population_final,retention,FINAL,20,20,0.25,0.388,0.333745863426408,0.293,1.33498345370563,0.622310571212823,0.388
DTLZ2,10,1,11001,"S3_(0.50,0.75]",score_hybrid,top25,population_final,retention,FINAL,20,20,0.25,0.346,0.304976401426892,0.293,1.21990560570757,0.626856535748806,0.346
DTLZ2,10,1,11001,"S3_(0.50,0.75]",score_v,top25,population_final,retention,FINAL,20,20,0.25,0.29,0.250853372660463,0.293,1.00341349064185,0.556038691454239,0.29
DTLZ2,10,1,11001,"S4_(0.75,1.00]",anchor_margin,top25,population_final,retention,FINAL,21,21,0.25,0.64,0.251339095937418,0.638095238095238,1.00535638374967,0.52156994384563,0.64
DTLZ2,10,1,11001,"S4_(0.75,1.00]",score_hybrid,top25,population_final,retention,FINAL,21,21,0.25,0.653333333333333,0.253516460700155,0.638095238095238,1.01406584280062,0.514959041645216,0.653333333333333
DTLZ2,10,1,11001,"S4_(0.75,1.00]",score_v,top25,population_final,retention,FINAL,21,21,0.25,0.636190476190476,0.246177166832366,0.638095238095238,0.984708667329463,0.502287375928494,0.636190476190476
DTLZ2,10,2,11002,"S1_[0,0.25]",anchor_margin,top25,population_final,retention,FINAL,5,5,0.25,0.024,0.146666666666667,0.044,0.586666666666667,0.563511507505878,0.024
DTLZ2,10,2,11002,"S1_[0,0.25]",score_hybrid,top25,population_final,retention,FINAL,5,5,0.25,0.056,0.343333333333333,0.044,1.37333333333333,0.594174929914994,0.056
DTLZ2,10,2,11002,"S1_[0,0.25]",score_v,top25,population_final,retention,FINAL,5,5,0.25,0.04,0.236666666666667,0.044,0.946666666666667,0.51003964324471,0.04
DTLZ2,10,2,11002,"S2_(0.25,0.50]",anchor_margin,top25,population_final,retention,FINAL,21,21,0.25,0.0971428571428571,0.258542251399394,0.09,1.03416900559758,0.539909935191558,0.0971428571428571
DTLZ2,10,2,11002,"S2_(0.25,0.50]",score_hybrid,top25,population_final,retention,FINAL,21,21,0.25,0.144761904761905,0.38840762412191,0.09,1.55363049648764,0.607147862187449,0.144761904761905
DTLZ2,10,2,11002,"S2_(0.25,0.50]",score_v,top25,population_final,retention,FINAL,21,21,0.25,0.201904761904762,0.539217792789221,0.09,2.15687117115688,0.623823985023848,0.201904761904762
DTLZ2,10,2,11002,"S3_(0.50,0.75]",anchor_margin,top25,population_final,retention,FINAL,20,20,0.25,0.264,0.27199246899416,0.2375,1.08796987597664,0.589201358113837,0.264
DTLZ2,10,2,11002,"S3_(0.50,0.75]",score_hybrid,top25,population_final,retention,FINAL,20,20,0.25,0.354,0.373544449790319,0.2375,1.49417779916128,0.630986480870718,0.354
DTLZ2,10,2,11002,"S3_(0.50,0.75]",score_v,top25,population_final,retention,FINAL,20,20,0.25,0.346,0.387364847583353,0.2375,1.54945939033341,0.62820962530736,0.346
DTLZ2,10,2,11002,"S4_(0.75,1.00]",anchor_margin,top25,population_final,retention,FINAL,21,21,0.25,0.662857142857143,0.257024721384584,0.65047619047619,1.02809888553833,0.553915967743202,0.662857142857143
DTLZ2,10,2,11002,"S4_(0.75,1.00]",score_hybrid,top25,population_final,retention,FINAL,21,21,0.25,0.72,0.288087867039351,0.65047619047619,1.15235146815741,0.546599993339647,0.72
DTLZ2,10,2,11002,"S4_(0.75,1.00]",score_v,top25,population_final,retention,FINAL,21,21,0.25,0.636190476190476,0.249250459039232,0.65047619047619,0.997001836156929,0.495210919237944,0.636190476190476
DTLZ2,10,3,11003,"S1_[0,0.25]",anchor_margin,top25,population_final,retention,FINAL,5,5,0.25,0.144,0.3,0.12,1.2,0.61657196969697,0.144
DTLZ2,10,3,11003,"S1_[0,0.25]",score_hybrid,top25,population_final,retention,FINAL,5,5,0.25,0.208,0.433333333333333,0.12,1.73333333333333,0.675757575757576,0.208
DTLZ2,10,3,11003,"S1_[0,0.25]",score_v,top25,population_final,retention,FINAL,5,5,0.25,0.208,0.433333333333333,0.12,1.73333333333333,0.661742424242424,0.208
DTLZ2,10,3,11003,"S2_(0.25,0.50]",anchor_margin,top25,population_final,retention,FINAL,21,21,0.25,0.11047619047619,0.180852061922385,0.159047619047619,0.723408247689539,0.476888702103126,0.11047619047619
DTLZ2,10,3,11003,"S2_(0.25,0.50]",score_hybrid,top25,population_final,retention,FINAL,21,21,0.25,0.104761904761905,0.17034494634561,0.159047619047619,0.681379785382439,0.466288110372772,0.104761904761905
DTLZ2,10,3,11003,"S2_(0.25,0.50]",score_v,top25,population_final,retention,FINAL,21,21,0.25,0.0838095238095238,0.139070934266644,0.159047619047619,0.556283737066576,0.417889172963383,0.0838095238095238
DTLZ2,10,3,11003,"S3_(0.50,0.75]",anchor_margin,top25,population_final,retention,FINAL,20,20,0.25,0.402,0.328249066041652,0.314,1.31299626416661,0.613781392978129,0.402
DTLZ2,10,3,11003,"S3_(0.50,0.75]",score_hybrid,top25,population_final,retention,FINAL,20,20,0.25,0.382,0.291539125053165,0.314,1.16615650021266,0.563236653537761,0.382
DTLZ2,10,3,11003,"S3_(0.50,0.75]",score_v,top25,population_final,retention,FINAL,20,20,0.25,0.336,0.243834188347193,0.314,0.975336753388773,0.450530592166011,0.336
DTLZ2,10,3,11003,"S4_(0.75,1.00]",anchor_margin,top25,population_final,retention,FINAL,21,21,0.25,0.678095238095238,0.243776912790606,0.706190476190476,0.975107651162426,0.462942407065737,0.678095238095238
DTLZ2,10,3,11003,"S4_(0.75,1.00]",score_hybrid,top25,population_final,retention,FINAL,21,21,0.25,0.779047619047619,0.281391444681273,0.706190476190476,1.12556577872509,0.543924785176556,0.779047619047619
DTLZ2,10,3,11003,"S4_(0.75,1.00]",score_v,top25,population_final,retention,FINAL,21,21,0.25,0.784761904761905,0.28267485835113,0.706190476190476,1.13069943340452,0.558620944181299,0.784761904761905
