Problem,M,Run,Seed,Stage,anchor_margin,score_hybrid,score_v,Hybrid - Direction,Hybrid - Margin
DTLZ2,10,1,11001,"S1_[0,0.25]",0.112,0.088,0.088,0.0,-0.024000000000000007
DTLZ2,10,1,11001,"S2_(0.25,0.50]",0.173333333333333,0.173333333333333,0.161904761904762,0.01142857142857101,0.0
DTLZ2,10,1,11001,"S3_(0.50,0.75]",0.388,0.346,0.29,0.055999999999999994,-0.04200000000000004
DTLZ2,10,1,11001,"S4_(0.75,1.00]",0.64,0.653333333333333,0.636190476190476,0.017142857142857015,0.013333333333332975
DTLZ2,10,2,11002,"S1_[0,0.25]",0.024,0.056,0.04,0.016,0.032
DTLZ2,10,2,11002,"S2_(0.25,0.50]",0.0971428571428571,0.144761904761905,0.201904761904762,-0.057142857142856995,0.04761904761904791
DTLZ2,10,2,11002,"S3_(0.50,0.75]",0.264,0.354,0.346,0.008000000000000007,0.08999999999999997
DTLZ2,10,2,11002,"S4_(0.75,1.00]",0.662857142857143,0.72,0.636190476190476,0.083809523809524,0.05714285714285694
DTLZ2,10,3,11003,"S1_[0,0.25]",0.144,0.208,0.208,0.0,0.064
DTLZ2,10,3,11003,"S2_(0.25,0.50]",0.11047619047619,0.104761904761905,0.0838095238095238,0.020952380952381194,-0.005714285714285006
DTLZ2,10,3,11003,"S3_(0.50,0.75]",0.402,0.382,0.336,0.045999999999999985,-0.020000000000000018
DTLZ2,10,3,11003,"S4_(0.75,1.00]",0.678095238095238,0.779047619047619,0.784761904761905,-0.005714285714286005,0.10095238095238102
DTLZ2,10,4,11004,"S1_[0,0.25]",0.056,0.08,0.104,-0.023999999999999994,0.024
DTLZ2,10,4,11004,"S2_(0.25,0.50]",0.100952380952381,0.106666666666667,0.0990476190476191,0.0076190476190479,0.005714285714286005
DTLZ2,10,4,11004,"S3_(0.50,0.75]",0.268,0.358,0.364,-0.006000000000000005,0.08999999999999997
DTLZ2,10,4,11004,"S4_(0.75,1.00]",0.777142857142857,0.826666666666667,0.857142857142857,-0.03047619047618999,0.04952380952380997
DTLZ2,10,5,11005,"S1_[0,0.25]",0.048,0.112,0.16,-0.048,0.064
DTLZ2,10,5,11005,"S2_(0.25,0.50]",0.0380952380952381,0.215238095238095,0.220952380952381,-0.005714285714286005,0.1771428571428569
DTLZ2,10,5,11005,"S3_(0.50,0.75]",0.33,0.378,0.368,0.010000000000000009,0.04799999999999999
DTLZ2,10,5,11005,"S4_(0.75,1.00]",0.685714285714286,0.765714285714286,0.754285714285714,0.01142857142857201,0.07999999999999996
DTLZ2,10,6,11006,"S1_[0,0.25]",0.0,0.04,0.024,0.016,0.04
DTLZ2,10,6,11006,"S2_(0.25,0.50]",0.0552380952380952,0.140952380952381,0.131428571428571,0.00952380952380999,0.0857142857142858
DTLZ2,10,6,11006,"S3_(0.50,0.75]",0.338,0.388,0.324,0.064,0.04999999999999999
DTLZ2,10,6,11006,"S4_(0.75,1.00]",0.704761904761905,0.756190476190476,0.733333333333333,0.02285714285714302,0.051428571428570935
DTLZ2,10,7,11007,"S1_[0,0.25]",0.072,0.16,0.16,0.0,0.08800000000000001
DTLZ2,10,7,11007,"S2_(0.25,0.50]",0.12,0.156190476190476,0.139047619047619,0.017142857142856988,0.036190476190475995
DTLZ2,10,7,11007,"S3_(0.50,0.75]",0.224,0.214,0.178,0.036000000000000004,-0.010000000000000009
DTLZ2,10,7,11007,"S4_(0.75,1.00]",0.613333333333333,0.620952380952381,0.63047619047619,-0.009523809523808935,0.0076190476190480805
DTLZ2,10,8,11008,"S1_[0,0.25]",0.04,0.08,0.08,0.0,0.04
DTLZ2,10,8,11008,"S2_(0.25,0.50]",0.154285714285714,0.198095238095238,0.175238095238095,0.022857142857142992,0.04380952380952399
DTLZ2,10,8,11008,"S3_(0.50,0.75]",0.442,0.45,0.42,0.030000000000000027,0.008000000000000007
DTLZ2,10,8,11008,"S4_(0.75,1.00]",0.819047619047619,0.687619047619048,0.628571428571429,0.059047619047619015,-0.131428571428571
DTLZ2,10,9,11009,"S1_[0,0.25]",0.096,0.128,0.104,0.024000000000000007,0.032
DTLZ2,10,9,11009,"S2_(0.25,0.50]",0.104761904761905,0.188571428571429,0.173333333333333,0.015238095238095994,0.083809523809524
DTLZ2,10,9,11009,"S3_(0.50,0.75]",0.264,0.474,0.462,0.011999999999999955,0.20999999999999996
DTLZ2,10,9,11009,"S4_(0.75,1.00]",0.687619047619048,0.796190476190476,0.790476190476191,0.005714285714285006,0.10857142857142799
DTLZ2,10,10,11010,"S1_[0,0.25]",0.0,0.04,0.04,0.0,0.04
DTLZ2,10,10,11010,"S2_(0.25,0.50]",0.0952380952380953,0.211428571428571,0.220952380952381,-0.009523809523810017,0.11619047619047569
DTLZ2,10,10,11010,"S3_(0.50,0.75]",0.302,0.398,0.46,-0.062,0.09600000000000003
DTLZ2,10,10,11010,"S4_(0.75,1.00]",0.615238095238095,0.607619047619048,0.6,0.0076190476190479695,-0.007619047619047081
DTLZ2,10,11,11011,"S1_[0,0.25]",0.016,0.048,0.048,0.0,0.032
