M,Problem,Comparator,Comparator_mean,Comparator_SD,HPDC_mean,HPDC_SD,IGD_ratio,log2_ratio,source_symbol
10,DTLZ1,REMO,207.48,43.5,229.44,36.2,1.1058415268941586,0.14514465433846696,=
10,DTLZ1,PIEA,242.07,73.2,229.44,36.2,0.947825009294832,-0.07730736648741972,=
10,DTLZ1,MCEAD,235.31,45.4,229.44,36.2,0.9750541838425906,-0.03644570311333593,=
10,DTLZ1,R2AEA,272.06,24.9,229.44,36.2,0.8433433801367345,-0.24580792878128638,-
10,DTLZ1,PCSAEA,368.55,28.0,229.44,36.2,0.6225478225478225,-0.6837434292687787,-
10,DTLZ1,KRVEA,368.55,28.0,229.44,36.2,0.6225478225478225,-0.6837434292687787,-
10,DTLZ1,CSEA,222.81,49.6,229.44,36.2,1.029756294600781,0.04230294500837975,=
10,DTLZ2,REMO,1.0902,0.0926,1.0946,0.0888,1.0040359567051917,0.0058109362522163165,=
10,DTLZ2,PIEA,0.96871,0.0569,1.0946,0.0888,1.1299563336808747,0.17626702184464013,+
10,DTLZ2,MCEAD,1.0974,0.0608,1.0946,0.0888,0.9974485146710407,-0.0036857192623843595,=
10,DTLZ2,R2AEA,1.4611,0.0568,1.0946,0.0888,0.7491615905824379,-0.4166511601979237,-
10,DTLZ2,PCSAEA,1.5378,0.0687,1.0946,0.0888,0.7117960723110938,-0.49046412280524543,-
10,DTLZ2,KRVEA,1.5416,0.0616,1.0946,0.0888,0.7100415153087701,-0.49402471508823276,-
10,DTLZ2,CSEA,1.3229,0.0981,1.0946,0.0888,0.8274245974752438,-0.27330024859292285,-
10,DTLZ3,REMO,808.13,150.0,939.19,140.0,1.1621768774825834,0.2168296563908113,+
10,DTLZ3,PIEA,554.59,106.0,939.19,140.0,1.6934852774121423,0.7599954445841699,+
10,DTLZ3,MCEAD,574.99,131.0,939.19,140.0,1.6334023200403487,0.7078801819832079,+
10,DTLZ3,R2AEA,563.53,66.5,939.19,140.0,1.666619345908825,0.7369246319310926,+
10,DTLZ3,PCSAEA,1339.3,86.7,939.19,140.0,0.7012543866198762,-0.5119902045171649,-
10,DTLZ3,KRVEA,1357.4,110.0,939.19,140.0,0.6919036393104464,-0.5313569656511242,-
10,DTLZ3,CSEA,900.82,172.0,939.19,140.0,1.042594524988344,0.06017818899351825,=
10,DTLZ4,REMO,1.1487,0.105,1.1814,0.112,1.0284669626534342,0.04049545105139282,=
10,DTLZ4,PIEA,1.2452,0.0405,1.1814,0.112,0.9487632508833922,-0.07587996484646976,=
10,DTLZ4,MCEAD,1.2487,0.0191,1.1814,0.112,0.9461039481060304,-0.07992939422073156,-
10,DTLZ4,R2AEA,1.5944,0.072,1.1814,0.112,0.7409683893627697,-0.43251609821634823,-
10,DTLZ4,PCSAEA,1.7339,0.0589,1.1814,0.112,0.681354172674318,-0.5535231786812573,-
10,DTLZ4,KRVEA,1.7361,0.0676,1.1814,0.112,0.6804907551408329,-0.555352532868706,-
10,DTLZ4,CSEA,1.2198,0.0816,1.1814,0.112,0.9685194294146582,-0.0461471039431787,=
10,DTLZ5,REMO,0.62052,0.147,0.66049,0.147,1.0644137175272352,0.09005900818321111,=
10,DTLZ5,PIEA,0.29016,0.0354,0.66049,0.147,2.276295836779708,1.1866880684174765,+
10,DTLZ5,MCEAD,0.37432,0.0673,0.66049,0.147,1.7645063047659757,0.8192645850274455,+
10,DTLZ5,R2AEA,0.9865,0.0839,0.66049,0.147,0.6695286365940193,-0.5787823321105271,-
10,DTLZ5,PCSAEA,0.98455,0.0603,0.66049,0.147,0.6708547051952669,-0.5759277558719099,-
10,DTLZ5,KRVEA,0.99808,0.0484,0.66049,0.147,0.6617605803142033,-0.5956187389863958,-
10,DTLZ5,CSEA,0.76415,0.107,0.66049,0.147,0.8643460053654387,-0.2103191432643929,-
10,DTLZ6,REMO,16.378,0.73,14.463,1.1,0.883074856514837,-0.1793923574152775,-
10,DTLZ6,PIEA,5.4851,1.81,14.463,1.1,2.636779639386702,1.398777007513455,+
10,DTLZ6,MCEAD,8.9744,1.77,14.463,1.1,1.6115840613300054,0.6884794423229835,+
10,DTLZ6,R2AEA,13.116,1.22,14.463,1.1,1.1026989935956084,0.14103902872434532,+
10,DTLZ6,PCSAEA,18.023,0.17,14.463,1.1,0.8024746157687399,-0.3174723378969905,-
10,DTLZ6,KRVEA,18.042,0.158,14.463,1.1,0.8016295310941136,-0.31899243817775313,-
10,DTLZ6,CSEA,16.064,0.681,14.463,1.1,0.900336155378486,-0.15146433883336596,-
10,DTLZ7,REMO,21.252,2.44,12.122,2.8,0.5703933747412009,-0.8099708702646155,-
10,DTLZ7,PIEA,18.588,5.79,12.122,2.8,0.6521411663438778,-0.6167438023022698,-
10,DTLZ7,MCEAD,20.445,4.67,12.122,2.8,0.5929078014184397,-0.7541203152052732,-
10,DTLZ7,R2AEA,6.2038,1.22,12.122,2.8,1.9539636996679455,0.966403665466228,+
10,DTLZ7,PCSAEA,29.1,1.69,12.122,2.8,0.4165635738831615,-1.2633914054745536,-
10,DTLZ7,KRVEA,28.736,1.88,12.122,2.8,0.4218402004454343,-1.245231507532692,-
10,DTLZ7,CSEA,27.611,2.24,12.122,2.8,0.4390279236536163,-1.187615391948078,-
10,WFG1,REMO,3.2354,0.0874,3.1933,0.0279,0.9869876985844099,-0.01889599126127616,=
10,WFG1,PIEA,3.3433,0.0496,3.1933,0.0279,0.9551341488948044,-0.06622472053107421,-
10,WFG1,MCEAD,3.4587,0.0365,3.1933,0.0279,0.923265966981814,-0.1151817872411562,-
10,WFG1,R2AEA,3.1986,0.032,3.1933,0.0279,0.9983430250734696,-0.0023924922070316336,=
10,WFG1,PCSAEA,3.4196,0.0168,3.1933,0.0279,0.9338226693180488,-0.09877948326618434,-
10,WFG1,KRVEA,3.4256,0.021,3.1933,0.0279,0.9321870621205043,-0.10130860512155078,-
10,WFG1,CSEA,3.2723,0.0663,3.1933,0.0279,0.9758579592335666,-0.03525692294168452,-
10,WFG2,REMO,3.5108,1.08,2.1211,0.682,0.6041642930386237,-0.7269871736125634,-
10,WFG2,PIEA,2.371,0.469,2.1211,0.682,0.8946014339940954,-0.1606830239867109,-
10,WFG2,MCEAD,3.4836,0.977,2.1211,0.682,0.6088816167183374,-0.7157663389651585,-
10,WFG2,R2AEA,2.2469,0.113,2.1211,0.682,0.9440117495215631,-0.08312327886909922,-
10,WFG2,PCSAEA,3.5949,0.63,2.1211,0.682,0.5900303207321483,-0.7611390006740181,-
10,WFG2,KRVEA,3.878,0.6,2.1211,0.682,0.5469571944301187,-0.8705001646114954,-
10,WFG2,CSEA,3.5554,1.03,2.1211,0.682,0.5965854756145582,-0.7451992404356943,-
10,WFG3,REMO,1.5188,0.101,1.7006,0.0587,1.1196997629707663,0.16311193894305545,+
10,WFG3,PIEA,1.1823,0.149,1.7006,0.0587,1.4383828131607883,0.5244476877031548,+
10,WFG3,MCEAD,1.2551,0.0456,1.7006,0.0587,1.3549517966695879,0.43824152763616553,+
10,WFG3,R2AEA,1.5946,0.0499,1.7006,0.0587,1.0664743509344035,0.09284926879642849,+
10,WFG3,PCSAEA,1.6472,0.0393,1.7006,0.0587,1.0324186498300145,0.0460281079298904,+
10,WFG3,KRVEA,1.6496,0.0464,1.7006,0.0587,1.0309165858389913,0.04392760519403626,+
10,WFG3,CSEA,1.5723,0.0805,1.7006,0.0587,1.0816002035235006,0.11316732820307278,+
10,WFG4,REMO,8.177,0.993,6.6311,0.638,0.8109453344747463,-0.30232342870657075,-
10,WFG4,PIEA,5.7766,0.586,6.6311,0.638,1.1479243845860887,0.199027612766613,+
10,WFG4,MCEAD,7.1626,0.87,6.6311,0.638,0.9257951023371401,-0.11123516441635044,=
10,WFG4,R2AEA,5.7901,0.316,6.6311,0.638,1.1452479231792196,0.19565994663958589,+
10,WFG4,PCSAEA,9.139,0.455,6.6311,0.638,0.7255826676879309,-0.46278810089981676,-
10,WFG4,KRVEA,9.27,0.398,6.6311,0.638,0.7153290183387271,-0.4833211271990825,-
10,WFG4,CSEA,9.0803,0.862,6.6311,0.638,0.7302732288580774,-0.45349175121276,-
10,WFG5,REMO,6.9444,0.514,5.9732,0.4,0.8601463049363517,-0.21734602175396261,-
10,WFG5,PIEA,5.7544,0.259,5.9732,0.4,1.0380230779924926,0.053838518970560294,=
10,WFG5,MCEAD,6.6193,0.395,5.9732,0.4,0.9023914915474447,-0.14817462994340477,-
10,WFG5,R2AEA,6.5834,0.462,5.9732,0.4,0.9073123310143695,-0.14032882876400538,-
10,WFG5,PCSAEA,7.075,0.197,5.9732,0.4,0.8442685512367492,-0.24422611975651623,-
10,WFG5,KRVEA,6.9475,0.247,5.9732,0.4,0.8597625044980209,-0.2179899012378334,-
10,WFG5,CSEA,7.1022,0.409,5.9732,0.4,0.8410351722001634,-0.2497619594512903,-
10,WFG6,REMO,6.4255,0.479,5.2773,0.201,0.8213057349622598,-0.28400872281583395,-
10,WFG6,PIEA,5.936,0.403,5.2773,0.201,0.8890330188679246,-0.16969109284874972,-
10,WFG6,MCEAD,7.2512,0.673,5.2773,0.201,0.7277829876434246,-0.45841976716109967,-
10,WFG6,R2AEA,5.256,0.132,5.2773,0.201,1.0040525114155252,0.005834723449723933,=
10,WFG6,PCSAEA,7.371,0.374,5.2773,0.201,0.715954415954416,-0.4820603593112675,-
10,WFG6,KRVEA,7.3224,0.302,5.2773,0.201,0.7207063257948214,-0.4725165866403966,-
10,WFG6,CSEA,7.4553,0.514,5.2773,0.201,0.7078588386785241,-0.4984664083691173,-
10,WFG7,REMO,6.2812,0.742,5.2969,0.257,0.8432942749793033,-0.24589193469318232,-
10,WFG7,PIEA,6.9139,0.504,5.2969,0.257,0.7661233167965982,-0.3843514648626139,-
10,WFG7,MCEAD,8.1581,0.629,5.2969,0.257,0.6492810826050184,-0.623084919142343,-
